label,training_seed,iteration,mean_episode_return,std_episode_return,best_return_so_far,validation_return,best_validation_return,critic_loss,mean_ratio,clip_fraction,mean_log_prob,mean_action_std,mean_entropy,num_steps
macro_core_strong_gap_rawobs,11,0,-0.005316976777871435,0.002065743482686402,-0.005316976777871435,-0.0041825867189355884,-0.0041825867189355884,4.207359904650168e-05,0.950844122061955,0.1375,6.301835745538091,7.524805326124719e-05,-8.075781991747688,720.0
macro_core_strong_gap_rawobs,11,1,-0.004583802641299372,0.002223598684525072,-0.004583802641299372,-0.006856167917056989,-0.0041825867189355884,8.36181362821939e-06,2.012466119493637,0.125,2.042591550833864,7.532334691050657e-05,-8.074781886077561,720.0
macro_core_strong_gap_rawobs,11,2,-0.004896872130468594,0.0025772083480356603,-0.004583802641299372,-0.004891463884913138,-0.0041825867189355884,1.426644462588391e-06,1.0119685870588593,0.2,4.36601031996843,7.530091567536791e-05,-8.075079729664239,720.0
macro_core_strong_gap_rawobs,11,3,-0.004655285211000822,0.002174293843826609,-0.004583802641299372,-0.00489273603616606,-0.0041825867189355884,3.723934961345213e-07,1.9157198234001442,0.2,3.956752957658041,7.54377103035656e-05,-8.073264738120276,720.0
macro_core_strong_gap_rawobs,11,4,-0.003968098817542638,0.001880055536451753,-0.003968098817542638,-0.004347032446388675,-0.0041825867189355884,3.251503618277954e-07,1.0225201977347584,0.0625,5.569245419427522,7.57922423013248e-05,-8.06857608165851,720.0
macro_core_strong_gap_rawobs,11,5,-0.004038272349601131,0.0014900918440701335,-0.003968098817542638,-0.0037086735716724707,-0.0037086735716724707,2.7497400278439316e-07,0.9966055729645955,0.0,6.922004358867142,7.536266352843684e-05,-8.07426005105508,720.0
macro_core_strong_gap_rawobs,11,6,-0.003810461346770823,0.002717244284204337,-0.003810461346770823,-0.004140787589212136,-0.0037086735716724707,5.511356040597457e-07,0.9196738661091356,0.125,2.9595860101619005,7.528437928893218e-05,-8.075299357835847,720.0
macro_core_strong_gap_rawobs,11,7,-0.004598790726188625,0.00218800653640725,-0.003810461346770823,-0.004357403059216697,-0.0037086735716724707,5.178797571391364e-07,0.9806034406136778,0.025,7.45337807879684,7.518848314647545e-05,-8.076573955180347,720.0
macro_core_strong_gap_rawobs,11,8,-0.004371963704339619,0.0012610009792037313,-0.003810461346770823,-0.005591324014251087,-0.0037086735716724707,3.853488582961413e-07,0.9934235540886004,0.0,7.660319756984312,7.482036078688265e-05,-8.081481973786506,720.0
macro_core_strong_gap_rawobs,11,9,-0.0040807649409084195,0.0015854971101572101,-0.003810461346770823,-0.007061636281282921,-0.0037086735716724707,3.632014621896478e-07,0.9915464073915808,0.0375,7.4770765303358475,7.470286246739879e-05,-8.08305361384498,720.0
macro_core_strong_gap_rawobs,11,10,-0.003978798397611126,0.0015208178531819132,-0.003810461346770823,-0.005155172530071464,-0.0037086735716724707,5.629090277784392e-07,0.9905261494476788,0.0875,7.705743439973856,7.47245574448912e-05,-8.082763239057572,720.0
macro_core_strong_gap_rawobs,11,11,-0.0038252181666304807,0.0021704353491894817,-0.003810461346770823,-0.0040711808116218615,-0.0037086735716724707,4.121438678175739e-07,0.9884260493634744,0.0125,3.5723480331063415,7.493142826484705e-05,-8.079998619243186,720.0
macro_core_strong_gap_rawobs,11,12,-0.004809025036185668,0.0020491282786897335,-0.003810461346770823,-0.005080656936374,-0.0037086735716724707,5.111452192591752e-07,1.0629724683371164,0.0125,5.864951851857109,7.495140675253841e-05,-8.079732031173815,720.0
macro_core_strong_gap_rawobs,11,13,-0.00500970617632335,0.001801185417949255,-0.003810461346770823,-0.004294979313002502,-0.0037086735716724707,6.220354482803108e-07,0.9848080264351265,0.075,1.6340891792813452,7.487053598845697e-05,-8.080811589621076,720.0
macro_core_strong_gap_rawobs,11,14,-0.004400889505919864,0.0013562641588092384,-0.003810461346770823,-0.004986501584685612,-0.0037086735716724707,4.2332296940689867e-07,0.9778224608699017,0.025,2.866501524725889,7.487772804223801e-05,-8.08071553436684,720.0
macro_core_strong_gap_rawobs,11,15,-0.0052655057673610195,0.0015657242162791939,-0.003810461346770823,-0.004877377491743383,-0.0037086735716724707,5.976690031515914e-07,1.0030995079379772,0.0,6.197363810015257,7.472316886946208e-05,-8.08278182181508,720.0
macro_core_strong_gap_rawobs,11,16,-0.005546284357159366,0.0028801521109019044,-0.003810461346770823,-0.003845130686395342,-0.0037086735716724707,9.169124536612085e-07,1.0104253753726593,0.0375,0.36375400037957045,7.451203974350038e-05,-8.085611305135831,720.0
macro_core_strong_gap_rawobs,11,17,-0.004921537913377045,0.0016949957123503997,-0.003810461346770823,-0.0047914800340172585,-0.0037086735716724707,7.481723443716625e-07,0.987236752535407,0.025,3.6874660886192117,7.434460621010275e-05,-8.087860900415047,720.0
macro_core_strong_gap_rawobs,11,18,-0.004634371626925039,0.0010636662011775234,-0.003810461346770823,-0.004736991585435609,-0.0037086735716724707,5.99696165458968e-07,1.0111949728469771,0.05,4.065685456831853,7.43137958806636e-05,-8.088275412201085,720.0
macro_core_strong_gap_rawobs,11,19,-0.003778944887046212,0.0014531713346446365,-0.003778944887046212,-0.003772607756210191,-0.0037086735716724707,6.077076066963238e-07,1.0119617920235957,0.0,6.435646415002746,7.43901185546932e-05,-8.087248906866359,720.0
macro_core_strong_gap_rawobs,11,20,-0.0046637787752850275,0.0017780011559511203,-0.003778944887046212,-0.0061450959776214445,-0.0037086735716724707,6.417187967254556e-07,1.000758425072757,0.025,6.421044919801517,7.44473957070824e-05,-8.086479246670125,720.0
macro_core_strong_gap_rawobs,11,21,-0.005465390050674957,0.0022729532970832927,-0.003778944887046212,-0.0062210920422743204,-0.0037086735716724707,7.617039979971809e-07,0.9728917182696423,0.025,3.0319534474108187,7.443480347805544e-05,-8.086648403616033,720.0
macro_core_strong_gap_rawobs,11,22,-0.00516208276788883,0.0014087421415293418,-0.003778944887046212,-0.005257590750040382,-0.0037086735716724707,5.756116936900678e-07,0.97370770012348,0.0375,2.3404475653687733,7.40246991765677e-05,-8.092173214588813,720.0
macro_core_strong_gap_rawobs,11,23,-0.004210029283144095,0.001179195051058537,-0.003778944887046212,-0.004329836159913035,-0.0037086735716724707,4.597740980691399e-07,1.0059899597033066,0.025,6.9852893932800075,7.395196581432166e-05,-8.093156252936213,720.0
macro_core_strong_gap_rawobs,11,24,-0.0054777481298506495,0.0016715636931662135,-0.003778944887046212,-0.005738665414263407,-0.0037086735716724707,6.864381332831363e-07,0.9690264083904212,0.075,4.23423693537362,7.408765366301649e-05,-8.091323123573002,720.0
macro_core_strong_gap_rawobs,11,25,-0.004466289653008739,0.0017265601145276175,-0.003778944887046212,-0.006094880689712204,-0.0037086735716724707,5.043469463108412e-07,0.9586580549958768,0.1125,4.069053078540286,7.433099195432733e-05,-8.088044040835955,720.0
macro_core_strong_gap_rawobs,11,26,-0.005154359020409136,0.00205364915017004,-0.003778944887046212,-0.006758086886258672,-0.0037086735716724707,8.248487393759407e-07,1.0419384467826298,0.0625,3.1520497579684363,7.397532148395522e-05,-8.092840480636807,720.0
macro_core_strong_gap_rawobs,11,27,-0.004651545424051005,0.0015902224694022261,-0.003778944887046212,-0.005415903769277612,-0.0037086735716724707,3.9196691238082385e-07,0.9556769203089388,0.05,6.072093470267589,7.40880672484522e-05,-8.091317541208584,720.0
macro_core_strong_gap_rawobs,11,28,-0.004564795824881187,0.0021605025197783917,-0.003778944887046212,-0.003925116886583864,-0.0037086735716724707,4.888142327639836e-07,1.0030706545282242,0.0,7.32384908699369,7.41246044873216e-05,-8.090824503208777,720.0
macro_core_strong_gap_rawobs,11,29,-0.005660071741459167,0.0018944198546365337,-0.003778944887046212,-0.003713198127886113,-0.0037086735716724707,9.786601373898386e-07,0.9587699482069031,0.0625,-2.338662390696695,7.4148725076633e-05,-8.090499150165243,720.0
macro_core_strong_gap_rawobs,11,30,-0.0048642263507373855,0.0018813046755499214,-0.003778944887046212,-0.004985046505604147,-0.0037086735716724707,6.733406209262939e-07,1.0072455293551008,0.0,4.032956501552083,7.415608500016969e-05,-8.09039989615536,720.0
macro_core_strong_gap_rawobs,11,31,-0.0053903783781746656,0.0011864023471285894,-0.003778944887046212,-0.006374230330615672,-0.0037086735716724707,4.522607976074023e-07,0.9998170245836949,0.0,4.251485759976619,7.407567952928057e-05,-8.09148475781143,720.0
macro_core_strong_gap_rawobs,22,0,-0.004709204469665868,0.001755353584834852,-0.004709204469665868,-0.0035510900546773545,-0.0035510900546773545,6.007893406330216e-06,0.9467965412213128,0.125,5.552773077040105,7.504872333766123e-05,-8.078434477648784,720.0
macro_core_strong_gap_rawobs,22,1,-0.004814900305286209,0.0010716782757400245,-0.004709204469665868,-0.00419861434278003,-0.0035510900546773545,4.6689910765053017e-07,1.0025351708103911,0.1375,4.189028284349715,7.496407594265022e-05,-8.079563013405746,720.0
macro_core_strong_gap_rawobs,22,2,-0.004685434273546062,0.0020017847179960037,-0.004685434273546062,-0.004836020202817493,-0.0035510900546773545,3.9381238859007845e-07,0.9912153958352679,0.0875,4.218908060960631,7.508258031943909e-05,-8.07798344603143,720.0
macro_core_strong_gap_rawobs,22,3,-0.004850523678947442,0.0018502088249146562,-0.004685434273546062,-0.003654993000065174,-0.0035510900546773545,5.280376126064898e-07,0.9870270769485838,0.05,3.82193138067971,7.525366464675573e-05,-8.075707422691746,720.0
macro_core_strong_gap_rawobs,22,4,-0.005447334845970646,0.0022681452893701984,-0.004685434273546062,-0.003674248773204038,-0.0035510900546773545,5.434301391926862e-07,0.984039672595413,0.0375,3.096300662474468,7.54182011510983e-05,-8.073523384299774,720.0
macro_core_strong_gap_rawobs,22,5,-0.003890165096055004,0.0018162156621478642,-0.003890165096055004,-0.004508072925845739,-0.0035510900546773545,4.5677748303541156e-07,0.9976904104561694,0.0,4.595249225779655,7.548480308123951e-05,-8.072640672457096,720.0
macro_core_strong_gap_rawobs,22,6,-0.004638732233421781,0.002236851920107965,-0.003890165096055004,-0.005971883805778167,-0.0035510900546773545,8.06924694113125e-07,0.9677254882527766,0.0375,5.349380860944828,7.552740599738195e-05,-8.07207644102796,720.0
