variant_architecture,variant_name,training_seed,best_validation_return,final_validation_return,final_mean_episode_return,best_validation_return_selected,final_validation_return_selected,final_mean_episode_return_selected
belief_state,macro_core_moderate_gap_belief_state,11,-0.001113750566967,-0.0021804400146941,-0.0027033234275534,-0.0021804400146941,-0.0021804400146941,-0.0027033234275534
raw_observations,macro_core_moderate_gap_raw_observations,11,-0.0010808161943589,-0.0023885742119955,-0.0021086958648621,-0.0011587538630465,-0.0011587538630465,-0.0016190973625405
belief_state,macro_core_strong_gap_belief_state,11,-0.0014707893860596,-0.0033063935614064,-0.0027876301550028,-0.0033063935614064,-0.0033063935614064,-0.0027876301550028
raw_observations,macro_core_strong_gap_raw_observations,11,-0.0012141698032659,-0.0032796445204988,-0.0022981754479404,-0.0012141698032659,-0.0012141698032659,-0.0017785371731845
belief_state,thin_information_moderate_gap_belief_state,11,-0.0009049201029813,-0.0034575553369409,-0.0027541201005199,-0.0015856870180047,-0.0015856870180047,-0.0036774353550532
raw_observations,thin_information_moderate_gap_raw_observations,11,-0.0018961939864119,-0.008104005650401,-0.0057047083372249,-0.0029544069553497,-0.0029544069553497,-0.0041837403865687
belief_state,thin_information_strong_gap_belief_state,11,-0.0015951307297023165,-0.0035923138710898077,-0.0023092752983280896,-0.0016066597606580863,-0.0016066597606580863,-0.002722983368000064
raw_observations,thin_information_strong_gap_raw_observations,11,-0.003825361801614356,-0.011391551212035389,-0.006357031403739075,-0.005795071927614372,-0.005795071927614372,-0.006202288517419587
