variant_architecture,variant_name,scenario_name,scenario_label,policy_name,policy_label,training_seed,evaluation_seed,input_mode,include_distributional_state,mean_policy_loss,cumulative_policy_loss,mean_reference_loss,cumulative_reference_loss,mean_excess_loss,cumulative_excess_loss,mean_abs_rate_gap,policy_rate_rmse,policy_instrument_volatility,mean_state_rmse,distribution_state_rmse,regime_accuracy,stress_brier_score,unstable,impact_nominal_rate_pp,impact_inflation_pp,impact_output_gap_pct,impact_low_liquidity_gap_pp,impact_mean_mpc_gap_pp,peak_low_liquidity_gap,peak_mean_mpc_gap,peak_low_liquidity_gap_difference_vs_reference,peak_mean_mpc_gap_difference_vs_reference
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",classical_filtered_rule,Classical: normal-only filter + fixed rule,-1,900,belief_state,1,4.8874633638086275e-05,0.0029324780182851,2.856634691552082e-05,0.0017139808149312,2.030828672256544e-05,0.0012184972033539,0.0007998372183362,0.0010717627280458,0.0015301137486634,0.0006356699544635,0.0009141200466789,0.8666666666666667,0.1564080284245304,0,0.011328327030957,0.0120388878334098,0.2409193319671457,-0.0073156370662386,0.0411661596199864,0.0046133844534569,0.0095674751928602,0.0010903554065528,0.0021519516681226
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",learning_policy,Learning-based policy,11,900,belief_state,1,1.2344344459434298e-05,0.000740660667566,4.8874633638086275e-05,0.0029324780182851,-3.653028917865197e-05,-0.0021918173507191,0.0016590797373458,0.0018828267186973,0.0004552005712925,0.0006125030736237,0.0008541443075587,0.8666666666666667,0.166007225240118,0,0.0015158137168823,0.0120388878334098,0.2409193319671457,-0.0073156370662386,0.0411661596199864,0.0029009291337067,0.0065906169986344,0.0017124553197502,0.0035310867218082
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",full_information_rule,Полная информация,-1,900,belief_state,1,2.856634691552082e-05,0.0017139808149312,2.856634691552082e-05,0.0017139808149312,0.0,0.0,0.0,0.0,0.0011085587419502,0.0006168870448136,0.0008663851455623,0.8666666666666667,0.1560501774145805,0,0.0192789868709469,0.0120388878334098,0.2409193319671457,-0.0073156370662386,0.0411661596199864,0.0035861366948695,0.0076333912276299,0.0,0.0
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",classical_filtered_rule,Classical: normal-only filter + fixed rule,-1,901,belief_state,1,0.0001838863241408,0.0110331794484508,3.142722347403665e-05,0.0018856334084421,0.0001524591006668,0.0091475460400086,0.0043582221700631,0.0053564146133786,0.0027403931241237,0.0010079246455892,0.0016074975388634,0.5333333333333333,0.2936094021049941,0,-0.0007118966485602,0.0019184452292647,-0.0534710809072212,0.0178683584013853,0.0419759172322499,0.0072499806898075,0.0149976091733525,0.0049515937561127,0.0092502087774303
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",learning_policy,Learning-based policy,11,901,belief_state,1,5.210762533318611e-05,0.0031264575199911,0.0001838863241408,0.0110331794484508,-0.0001317786988076,-0.0079067219284596,0.0028719407581435,0.0031426791679075,0.0016766298544212,0.0009559482164555,0.0015059542150749,0.4833333333333333,0.3081565657510227,0,-0.0053460509572223,0.0019184452292647,-0.0534710809072212,0.0178683584013853,0.0419759172322499,0.0043956338572758,0.0104695350889402,0.0035078765727422,0.0065877995963516
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",full_information_rule,Полная информация,-1,901,belief_state,1,3.142722347403665e-05,0.0018856334084421,3.142722347403665e-05,0.0018856334084421,0.0,0.0,0.0,0.0,0.0017757276108724,0.0009608859790252,0.0015148721010551,0.5166666666666667,0.3039004594725464,0,-5.1830851220936e-05,0.0019184452292647,-0.0534710809072212,0.0178683584013853,0.0419759172322499,0.003918475628538,0.009526631469382,0.0,0.0
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",classical_filtered_rule,Classical: normal-only filter + fixed rule,-1,902,belief_state,1,0.0002445608624928,0.0146736517495727,0.0002074545056107,0.0124472703366444,3.710635688213875e-05,0.0022263814129283,0.0008345694053524,0.001333317408186,0.0023687969340435,0.0006716165769971,0.0010358578285001,0.8833333333333333,0.0873716383889868,0,0.0009477129525466,0.0060879902255175,-0.0344389297529125,0.0073630661892098,-0.0685544309387492,0.007804335917647,0.0193037733826077,0.0026373746397182,0.0051830324633294
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",learning_policy,Learning-based policy,11,902,belief_state,1,0.00013820649313,0.0082923895878047,0.0002445608624928,0.0146736517495727,-0.0001063543693627,-0.0063812621617679,0.0023333210452534,0.0027299179516282,0.0028079551943014,0.000660604298469,0.0010100369998234,0.8833333333333333,0.0901525460353383,0,-0.0042377987946932,0.0060879902255175,-0.0344389297529125,0.0073630661892098,-0.0685544309387492,0.007069227469411,0.0149874652981299,0.003135434514638,0.0061924409476782
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",full_information_rule,Полная информация,-1,902,belief_state,1,0.0002074545056107,0.0124472703366444,0.0002074545056107,0.0124472703366444,0.0,0.0,0.0,0.0,0.0024069525364435,0.0006724091333335,0.001037403978641,0.8666666666666667,0.0920365162718894,0,-0.0074164896938101,0.0060879902255175,-0.0344389297529125,0.0073630661892098,-0.0685544309387492,0.0079793670413602,0.0165719401843155,0.0,0.0
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",classical_filtered_rule,Classical: normal-only filter + fixed rule,-1,903,belief_state,1,2.760485043202117e-05,0.0016562910259212,2.1542671787165347e-05,0.0012925603072299,6.062178644855822e-06,0.0003637307186913,0.0011008008957755,0.0012463334618875,0.0017910535275754,0.0005754891878695,0.0007668593672637,0.9333333333333332,0.1133182543566975,0,0.0174483380706903,0.0161910836336654,0.2267024955120136,0.0033026723466192,-0.0742135505838837,0.0012952075949956,0.0073776310039077,0.0004374484988033,0.001860264616771
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",learning_policy,Learning-based policy,11,903,belief_state,1,1.9395961608517812e-05,0.001163757696511,2.760485043202117e-05,0.0016562910259212,-8.208888823503357e-06,-0.0004925333294102,0.0007978372177683,0.0009211131345426,0.000958778395334,0.0005761949523121,0.000762672174273,0.8666666666666667,0.1142472107750034,0,0.006621499900618,0.0161910836336654,0.2267024955120136,0.0033026723466192,-0.0742135505838837,0.0011665040375151,0.0070863609553921,0.0003178774241002,0.0014337636657092
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",full_information_rule,Полная информация,-1,903,belief_state,1,2.1542671787165347e-05,0.0012925603072299,2.1542671787165347e-05,0.0012925603072299,0.0,0.0,0.0,0.0,0.0014806563561038,0.0005761443453284,0.0007727106636414,0.8333333333333334,0.1421279410506187,0,0.0105971944904271,0.0161910836336654,0.2267024955120136,0.0033026723466192,-0.0742135505838837,0.001037111798061,0.0062841487291643,0.0,0.0
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",classical_filtered_rule,Classical: normal-only filter + fixed rule,-1,904,belief_state,1,4.897321493498071e-05,0.0029383928960988,4.1386858495317105e-05,0.002483211509719,7.586356439663593e-06,0.0004551813863798,0.0004777125970952,0.000554994233899,0.0015418377980584,0.0004660220640141,0.0006183717253492,0.7833333333333333,0.1400943741133001,0,0.0233635346952416,0.0352429779634663,0.2495169972494478,-0.0027955151037157,-0.1943965078337859,0.0012545820158232,0.0058228823660325,0.0002234635594148,0.0009489221162808
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",learning_policy,Learning-based policy,11,904,belief_state,1,1.548785991863827e-05,0.0009292715951182,4.897321493498071e-05,0.0029383928960988,-3.348535501634245e-05,-0.0020091213009805,0.0014241025049589,0.0016349844438425,0.0007908476457119,0.0004654214606073,0.000617562466635,0.6333333333333333,0.2023482264446144,0,0.0132376934461828,0.0352429779634663,0.2495169972494478,-0.0027955151037157,-0.1943965078337859,0.0007236073420554,0.0056044828876496,0.0005565023124924,0.002367972303381
belief_state,macro_core_moderate_gap_belief_state,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",full_information_rule,Полная информация,-1,904,belief_state,1,4.1386858495317105e-05,0.002483211509719,4.1386858495317105e-05,0.002483211509719,0.0,0.0,0.0,0.0,0.0016825723728871,0.0004630053344444,0.0006109081280857,0.8333333333333334,0.1307787097903596,0,0.0250098918556348,0.0352429779634663,0.2495169972494478,-0.0027955151037157,-0.1943965078337859,0.0011980483555517,0.0055225225849072,0.0,0.0
