scenario_name,scenario_label,evaluation_seed,classical_cumulative_policy_loss,belief_cumulative_policy_loss,rawobs_cumulative_policy_loss,full_information_cumulative_policy_loss,rawobs_minus_classical,belief_minus_classical,rawobs_minus_belief
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",900,0.0029324780182851,0.000740660667566,0.0009241787058171,0.0017139808149312,-0.002008299312468,-0.0021918173507191,0.00018351803825110001
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",901,0.0110331794484508,0.0031264575199911,0.0022558289846672,0.0018856334084421,-0.0087773504637836,-0.0079067219284597,-0.0008706285353239003
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",902,0.0146736517495727,0.0082923895878047,0.0046818054476335,0.0124472703366444,-0.0099918463019392,-0.006381262161768,-0.0036105841401711993
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",903,0.0016562910259212,0.001163757696511,0.0010354126492309,0.0012925603072299,-0.0006208783766902999,-0.0004925333294101999,-0.00012834504728009995
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",904,0.0029383928960988,0.0009292715951182,0.0010346646132247,0.002483211509719,-0.0019037282828741,-0.0020091213009806,0.00010539301810649998
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",905,0.0104777918167467,0.0022706919422297,0.0023464865920936,0.0119296363100561,-0.0081313052246531,-0.008207099874517,7.57946498638998e-05
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",906,0.0104873590738162,0.0026481070194329,0.0026380123540789,0.0055249632958601,-0.0078493467197373,-0.0078392520543833,-1.0094665354000183e-05
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",907,0.0018205256914715,0.0008844244365642,0.0009179426988642,0.0024461197624822,-0.0009025829926073,-0.0009361012549073,3.351826229999993e-05
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",908,0.0075464400111011,0.0009432979278391,0.0018738631259669,0.0081340987370242,-0.0056725768851342,-0.006603142083262,0.0009305651981278
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",909,0.0124867476984387,0.0009949536310419,0.0023884970626942,0.0129686222132265,-0.0100982506357445,-0.0114917940673968,0.0013935434316523
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",900,0.0029458746850987,0.0008154031601899,0.0009927272690215,0.0019205733396628,-0.0019531474160771997,-0.0021304715249087997,0.00017732410883160006
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",901,0.0158046463023241,0.0063705317253624,0.0039386001043829,0.0030861507621334,-0.011866046197941198,-0.009434114576961698,-0.0024319316209794996
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",902,0.0129957468781135,0.0054180129134237,0.0043934792968472,0.0108410620657344,-0.0086022675812663,-0.007577733964689799,-0.0010245336165765001
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",903,0.0016562910259212,0.0010421522574575,0.0010282557281995,0.0012925603072299,-0.0006280352977216998,-0.0006141387684637,-1.3896529257999843e-05
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",904,0.0029383928960988,0.0010074205527573,0.0008932410016547,0.002483211509719,-0.0020451518944440998,-0.0019309723433415,-0.00011417955110259992
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",905,0.0101104049690438,0.0029848635170849,0.0033833783860882,0.0126038585590314,-0.0067270265829556,-0.0071255414519589,0.00039851486900329986
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",906,0.0103984048575349,0.0026140491489046,0.0027033174170757,0.0057329885922095,-0.0076950874404592,-0.007784355708630301,8.926826817110033e-05
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",907,0.0050620431020555,0.0013314962520362,0.0014631983165672,0.0032786933190504,-0.0035988447854882998,-0.0037305468500193,0.00013170206453099994
