phi_pi,phi_x,determinate,stable_root_count,roots_outside_unit_circle_count,infinite_root_count,spectral_radius
0.5,0.0,False,4,1,1,
0.55,0.0,False,4,1,1,
0.6,0.0,False,4,1,1,
0.65,0.0,False,4,1,1,
0.7,0.0,False,4,1,1,
0.75,0.0,False,4,1,1,
0.8,0.0,False,4,1,1,
0.8500000000000001,0.0,False,4,1,1,
0.9,0.0,False,4,1,1,
0.95,0.0,False,4,1,1,
1.0,0.0,False,3,1,1,
1.05,0.0,True,3,2,1,0.7999999999999999
1.1,0.0,True,3,2,1,0.8000000000000006
1.15,0.0,True,3,2,1,0.8
1.2000000000000002,0.0,True,3,2,1,0.8
1.25,0.0,True,3,2,1,0.7999999999999999
1.3,0.0,True,3,2,1,0.7999999999999997
1.35,0.0,True,3,2,1,0.7999999999999999
1.4,0.0,True,3,2,1,0.8
1.4500000000000002,0.0,True,3,2,1,0.7999999999999999
1.5,0.0,True,3,2,1,0.8
1.55,0.0,True,3,2,1,0.8
1.6,0.0,True,3,2,1,0.7999999999999999
1.6500000000000001,0.0,True,3,2,1,0.8000000000000003
1.7000000000000002,0.0,True,3,2,1,0.8000000000000002
1.75,0.0,True,3,2,1,0.8000000000000003
1.8,0.0,True,3,2,1,0.7999999999999999
1.85,0.0,True,3,2,1,0.8000000000000003
1.9000000000000001,0.0,True,3,2,1,0.8000000000000002
1.9500000000000002,0.0,True,3,2,1,0.8000000000000003
2.0,0.0,True,3,2,1,0.8000000000000002
2.05,0.0,True,3,2,1,0.7999999999999997
2.1,0.0,True,3,2,1,0.7999999999999995
2.1500000000000004,0.0,True,3,2,1,0.8000000000000002
2.2,0.0,True,3,2,1,0.7999999999999999
2.25,0.0,True,3,2,1,0.8
2.3,0.0,True,3,2,1,0.8
2.35,0.0,True,3,2,1,0.8
2.4000000000000004,0.0,True,3,2,1,0.7999999999999998
2.45,0.0,True,3,2,1,0.7999999999999998
2.5,0.0,True,3,2,1,0.8000000000000002
0.5,0.04,False,4,1,1,
0.55,0.04,False,4,1,1,
0.6,0.04,False,4,1,1,
0.65,0.04,False,4,1,1,
0.7,0.04,False,4,1,1,
0.75,0.04,False,4,1,1,
0.8,0.04,False,4,1,1,
0.8500000000000001,0.04,False,4,1,1,
0.9,0.04,False,4,1,1,
0.95,0.04,False,4,1,1,
1.0,0.04,True,3,2,1,0.8000000000000002
1.05,0.04,True,3,2,1,0.8
1.1,0.04,True,3,2,1,0.7999999999999999
1.15,0.04,True,3,2,1,0.8
1.2000000000000002,0.04,True,3,2,1,0.7999999999999998
1.25,0.04,True,3,2,1,0.7999999999999998
1.3,0.04,True,3,2,1,0.7999999999999999
1.35,0.04,True,3,2,1,0.8
