t,eps_demand,eps_costpush,eps_monetary,internal_linear_residual_max_abs,r_n,u,nu,x,pi,i
0,-1.315967183570239,0.14643165146824455,-2.275172311782878,6.938893903907228e-18,-0.01962643282715031,-0.0009117188860297005,-0.006127582571466438,-0.012312859595550884,-0.009597319014625976,-0.026679990891180838
1,0.3418321832868489,1.179240371618659,-0.8175873269996745,5.204170427930421e-18,-0.012282824428851757,0.011336544273171741,-0.005107759603232405,-0.026324437060839586,0.013885304622855189,0.0025579788006305846
2,1.0843960776954626,-0.7198953817046602,0.14737475325274213,1.734723475976807e-18,0.0010177012338732205,-0.001530681680460731,-0.0021854429184843473,0.005336091841769105,-0.001696790017751583,-0.002062582024227171
3,-0.13593615325328076,0.09386752148890617,1.5269537351340803,8.673617379884035e-19,-0.0005452005454342308,0.00017333437465869624,0.0027246628785930274,-0.0030867904499402793,-0.0004167303507016504,0.0005561721275704131
4,0.8812159680588113,-0.6777214471458357,-2.7649622263558378,6.071532165918825e-18,0.008375999244240729,-0.006690547284129009,-0.005550074126593081,0.023772203729807793,-0.006256416397156519,-0.0030485968574239693
5,0.8948033777302304,0.7639095274379486,0.16551152771457467,1.0408340855860843e-17,0.015648833172694887,0.004293821632314981,-0.002361258244010104,0.009970946331714258,0.014745787873288538,0.024742896731779825
6,-0.5581907689757559,1.5984078393234942,-1.787211865114611,8.673617379884035e-18,0.006937158848398346,0.018130989209392434,-0.005648658784791579,-0.01856096024848607,0.03411984595956098,0.03625063003030686
7,-0.7843783419660694,-1.4663452864855158,0.37130709331816886,2.8189256484623115e-18,-0.0022940563409420247,-0.005597958260158941,-0.0018960616591003673,0.008622296817381851,-0.010003458502484372,-0.012590101004135998
8,-0.4665425184015298,2.111190379707566,0.017806432331857514,6.938893903907228e-18,-0.006500670256768915,0.01831292466699619,-0.0009035147487205399,-0.035786642117365985,0.027403485070702345,0.022308391798649987
9,-0.23880700459249624,0.5727004006438987,-0.7321968109692886,7.806255641895632e-18,-0.0075886062513401,0.014883466339937082,-0.0022822494017834915,-0.030016857075328435,0.021458240403768914,0.014896682666205663
10,-1.0839092477907986,0.5350059734140298,-0.4890183946095106,5.204170427930421e-18,-0.01690997747898007,0.01279179290410884,-0.002363670687415522,-0.03548437095766793,0.0136909309608262,0.00043054027498981535
11,0.9759745442574668,0.334779959807586,0.11642103002007415,2.6020852139652106e-18,-0.00376823654060939,0.00974369605013028,-0.0008907827686575756,-0.018997141234858513,0.014504728945502667,0.01136774003216717
12,0.06845036680970293,-0.0863103165556799,0.40752852254214017,2.168404344971009e-18,-0.0023300855643904853,0.004008744859508341,0.0005734299220265626,-0.009352621645404754,0.005450498059963208,0.0040728661892689986
13,-0.39722598376301377,-1.957704700389777,0.07780009613088436,8.673617379884035e-18,-0.005836328289142527,-0.0175726745741436,0.0004812152013404922,0.02301347258918503,-0.03183229963215769,-0.03576049795230352
14,-0.46059713094687194,-1.3769205899864945,0.7806849585133502,1.214306433183765e-17,-0.009275033940782731,-0.022555543186936745,0.0021923199969536215,0.026503851817469986,-0.04194622030125606,-0.04747508454619547
