scenario,scenario_label,mean_policy_loss,cumulative_policy_loss,mean_full_information_loss,cumulative_full_information_loss,mean_excess_loss,cumulative_excess_loss,mean_abs_rate_gap,policy_rate_rmse,mean_abs_inflation_gap,mean_abs_output_gap_difference,mean_abs_consumption_difference,peak_low_liquidity_share_difference,peak_mean_mpc_difference
macro_core,"Фильтрация: инфляция, выпуск и ставка",5.010580461439256e-07,3.006348276863554e-05,1.3571728343644453e-06,8.143037006186671e-05,-8.561147882205194e-07,-5.136688729323117e-05,0.0006751252734909478,0.0009029469769399124,0.000654505214497185,0.0002310414705218755,0.00012798766398459672,0.0009060168060842644,0.001160850722872836
full_macro,Фильтрация: расширенный макронабор,5.110589541059797e-07,3.0663537246358784e-05,1.3571728343644453e-06,8.143037006186671e-05,-8.461138802584653e-07,-5.0766832815507917e-05,0.0006573770631951854,0.000890231283392163,0.0006394362788088115,0.0002389057724687819,0.00013041293227107528,0.0009299485371848659,0.0011039643091698692
thin_information,Фильтрация: инфляция и ставка,5.405339239512095e-07,3.243203543707257e-05,1.3571728343644453e-06,8.143037006186671e-05,-8.166389104132357e-07,-4.899833462479414e-05,0.0006715430855128143,0.0009225479771133914,0.0006485296103854806,0.00026706478319413196,0.0001400790973829798,0.0011591071499779115,0.0012332248150490333
high_noise,Фильтрация: высокий шум измерения,4.937649549099651e-07,2.9625897294597905e-05,1.3571728343644453e-06,8.143037006186671e-05,-8.6340787945448e-07,-5.18044727672688e-05,0.0006601905193964484,0.0009112121117241857,0.0006322650133814341,0.0002580721032303224,0.00013383034126967507,0.0010044315429866835,0.0009057771526689989
distribution_augmented,Фильтрация: с распределительной статистикой,5.07963642450544e-07,3.0477818547032638e-05,1.3571728343644453e-06,8.143037006186671e-05,-8.492091919139013e-07,-5.0952551514834076e-05,0.0006641985570876656,0.0008970629636271116,0.000648064748619533,0.00024405597822589145,0.00013234199470451012,0.0009409478832832496,0.0012134829318884155
