scenario,scenario_label,period,true_rstar_gap,filtered_rstar_gap,filtered_std_rstar_gap,lower_rstar_gap,upper_rstar_gap,error_rstar_gap,true_productivity_gap,filtered_productivity_gap,filtered_std_productivity_gap,lower_productivity_gap,upper_productivity_gap,error_productivity_gap,true_fiscal_gap,filtered_fiscal_gap,filtered_std_fiscal_gap,lower_fiscal_gap,upper_fiscal_gap,error_fiscal_gap,true_inflation_gap,filtered_inflation_gap,filtered_std_inflation_gap,lower_inflation_gap,upper_inflation_gap,error_inflation_gap,true_output_gap,filtered_output_gap,filtered_std_output_gap,lower_output_gap,upper_output_gap,error_output_gap,true_low_liquidity_gap,filtered_low_liquidity_gap,filtered_std_low_liquidity_gap,lower_low_liquidity_gap,upper_low_liquidity_gap,error_low_liquidity_gap,true_mean_mpc_gap,filtered_mean_mpc_gap,filtered_std_mean_mpc_gap,lower_mean_mpc_gap,upper_mean_mpc_gap,error_mean_mpc_gap,full_information_rate,filtered_rate,additional_policy_wedge
macro_core,"Фильтрация: инфляция, выпуск и ставка",0,2.4603067149651487e-07,-8.66990549386418e-07,0.0003780796004260785,-0.0007419030073845003,0.0007401690262857274,-1.1130212208829328e-06,0.00010156930519480452,-3.6499835196877546e-06,0.0007929631687353545,-0.0015578577942409824,0.001550557827201607,-0.00010521928871449227,3.12572700191676e-05,-6.229108600397135e-07,0.0004889077344783805,-0.0009588820704376653,0.000957636248717586,-3.188018087920731e-05,0.0,-5.190374024214589e-05,0.0001247464716905734,-0.0002964068247556697,0.00019259934427137793,-5.190374024214589e-05,0.0,-0.000194880970139525,0.00039465640260042946,-0.0009684075192363667,0.0005786455789573168,-0.000194880970139525,0.0,3.1800510926392e-05,0.0002878313223185962,-0.0005323488808180565,0.0005959499026708405,3.1800510926392e-05,0.0,0.0002717791979111243,0.0010457984947212767,-0.001777985851742578,0.0023215442475648267,0.0002717791979111243,0.0010000738092014489,0.0009690751833459863,-3.099862585546272e-05
macro_core,"Фильтрация: инфляция, выпуск и ставка",1,5.995823357246602e-05,-1.4174071416508967e-06,0.00037733592305450866,-0.0007409958163284878,0.000738161002045186,-6.137564071411692e-05,-0.00015039834411336394,-1.3218745719653973e-05,0.0007634939248003418,-0.0015096668383283239,0.001483229346889016,0.00013717959839370996,-0.00018497983448627857,-1.60990457360386e-06,0.0004868115607948829,-0.0009557605637315743,0.0009525407545843667,0.0001833699299126747,0.00024083014867668374,0.00019633671433544255,0.0001196386227679167,-3.815498628967419e-05,0.00043082841496055926,-4.449343434124119e-05,0.002369595551308072,0.0026440317394487343,0.00039201553071531876,0.0018756812992467096,0.003412382179650759,0.0002744361881406622,5.9994122976411764e-05,0.00010395388771011454,0.00015608511195515685,-0.0002019729317219929,0.000409880707142222,4.395976473370277e-05,0.0002987820589898563,0.0006889790630027449,0.0010375853786781268,-0.0013446882792063836,0.002722646405211873,0.0003901970040128886,0.0009152725365913144,0.0008654301178799718,-2.8143380612518768e-05
macro_core,"Фильтрация: инфляция, выпуск и ставка",2,-3.863072535847405e-06,2.607853855258279e-06,0.0003768986332457431,-0.0007361134673063982,0.0007413291750169147,6.470926391105684e-06,-5.6684469677775745e-05,-2.238828849491086e-05,0.0007478551671771414,-0.001488184416162108,0.0014434078391722864,3.4296181182864886e-05,-0.0001709993224975879,-4.541630443178169e-06,0.0004859901577977138,-0.0009570823397266972,0.0009479990788403409,0.00016645769205440972,0.00034824742025068006,0.00039771852973760613,0.00011951964190716964,0.00016346003159955366,0.0006319770278756586,4.947110948692608e-05,0.0033399059070913727,0.0033340871723039943,0.000391968554542477,0.002565828805400739,0.0041023455392072495,-5.818734787378394e-06,-1.208754018192643e-05,2.7457222157131837e-05,0.00013407318723569588,-0.00023532622482483207,0.00029024066913909574,3.954476233905827e-05,-0.0007947739298470931,-0.0012520056353053908,0.0010297951142923239,-0.0032704040593183456,0.000766392788707564,-0.0004572317054582977,0.0009214896644818984,0.0009105850460158802,2.398507463192176e-05
macro_core,"Фильтрация: инфляция, выпуск и ставка",3,-0.00018140197940692517,4.952651912023685e-06,0.00037665901169122606,-0.0007332990110027793,0.0007432043148268267,0.00018635463131894884,-0.0006389448396672905,-5.468148881529937e-05,0.0007403662072690059,-0.0015057992550625509,0.001396436277431952,0.0005842633508519911,-0.0008189107282657807,-9.815482856322614e-06,0.0004857142629302972,-0.0009618154381997051,0.00094218447248706,0.0008090952454094582,0.00038216552140845093,0.0003593829489360061,0.00011951556747095043,0.00012513243669294325,0.000593633461179069,-2.2782572472444828e-05,0.0035698044698557036,0.0035782433916463127,0.00039194580572889207,0.002810029612417684,0.004346457170874941,8.438921790609056e-06,-0.00013925180417942836,-0.00015237326181783792,0.0001325178340092085,-0.0004121082164758866,0.00010736169284021073,-1.3121457638409561e-05,-0.0010073653609328178,-0.0007659677109466992,0.0010276903754050332,-0.002780240846740564,0.0012483054248471656,0.0002413976499861186,0.000896464323568643,0.0009348017819926628,4.5970691350232395e-05
macro_core,"Фильтрация: инфляция, выпуск и ставка",4,-0.00024512583953023093,1.812770183647035e-05,0.0003765284780930614,-0.00071986811522593,0.0007561235188988707,0.00026325354136670127,-0.000800806669985169,-0.00017006192500526696,0.0007369618416774253,-0.0016145071346930207,0.0012743832846824866,0.000630744744979902,-0.000969230124469117,-3.182571707650153e-05,0.00048563465606719924,-0.000983669642968212,0.0009200182088152089,0.0009374044073926155,0.0005499152864334571,0.0005223641279612253,0.00011951430230661448,0.0002881160954402609,0.0007566121604821896,-2.7551158472231873e-05,0.005274155066594697,0.005129687852742126,0.0003919341117378079,0.004361496993736023,0.005897878711748229,-0.00014446721385257075,-0.00022537207401669706,-0.000177795025905516,0.00013247196368528863,-0.00043744007472868167,8.18500229176497e-05,4.7577048111181064e-05,-0.0017239625649060656,-0.001359129525179565,0.0010270785211699306,-0.003372203426672629,0.0006539443763134991,0.0003648330397265007,0.0009992299685313377,0.0010872267100061862,6.116052057803462e-05
macro_core,"Фильтрация: инфляция, выпуск и ставка",5,-0.00040668627459998876,3.59842318839635e-05,0.0003764560577515195,-0.0007018696413090147,0.0007738381050769417,0.00044267050648395226,-0.0007387433223903835,-0.00032893922190901806,0.0007354528803543933,-0.0017704268674036288,0.001112548423585593,0.00040980410048136546,-0.0005514671574123179,-6.028236034027591e-05,0.00048561601664022546,-0.0010120897529551178,0.0008915250322745659,0.000491184797072042,0.0007387756765701182,0.0007455929856280643,0.00011951347205972576,0.0005113465803910018,0.0009798393908651269,6.817309057946118e-06,0.007093332312134199,0.007504412689304152,0.00039192843633020904,0.006736232954096942,0.008272592424511362,0.00041108037716995355,-0.00034952657034326997,-0.0002570858955984735,0.00013246456763567238,-0.0005167164481643914,2.5446569674443076e-06,9.244067474479644e-05,-0.0023526771456387477,-0.0019191202120410747,0.0010268723801131385,-0.003931790077062826,9.354965298067697e-05,0.000433556933597673,0.0011759041117535255,0.001388786285951054,0.00015128445516513476
macro_core,"Фильтрация: инфляция, выпуск и ставка",6,-0.00033365461289050274,3.856814264872332e-05,0.0003764146622593295,-0.0006992045953795624,0.0007763408806770091,0.0003722227555392261,-0.00014161272186210297,-0.00030233536693703874,0.0007347902034411785,-0.0017425241656817488,0.001137853431807671,-0.00016072264507493577,-0.0011310254748263732,-5.1605995647674656e-05,0.00048561307851340994,-0.0010034076295339582,0.0009001956382386088,0.0010794194791786985,0.0008810316247732665,0.000989928055408555,0.00011951303781803009,0.0007556825012852162,0.001224173609531894,0.00010889643063528853,0.008360790431245404,0.008387444679175605,0.00039192585935571934,0.007619269994838395,0.009155619363512816,2.665424793020163e-05,-0.00046950566419166575,-0.0003861838637381678,0.00013245550586475952,-0.0006457966552330964,-0.00012657107224323913,8.332180045349794e-05,-0.002657276881778817,-0.003176759015645718,0.0010267970570774008,-0.005189281247517424,-0.0011642367837740126,-0.000519482133866901,0.0014330303666799896,0.0017437176433632898,0.00016166975474503034
macro_core,"Фильтрация: инфляция, выпуск и ставка",7,-1.5563371846020568e-05,3.5740896142672025e-05,0.00037639021331214805,-0.0007019839219491381,0.0007734657142344822,5.130426798869259e-05,0.00045932082623738356,-0.00024276904045282774,0.0007344998412119915,-0.001682388729228331,0.0011968506483226754,-0.0007020898666902113,-0.000495404849860054,-3.755593537152767e-05,0.0004856129623873833,-0.000989357341650799,0.0009142454709077435,0.00045784891448852637,0.0009905767370343356,0.0010413742572727353,0.00011951283322816807,0.0008071291041455259,0.0012756194103999447,5.079752023839966e-05,0.009271255587324567,0.008425099215364761,0.0003919247254337373,0.007656926753514636,0.009193271677214886,-0.0008461563719598057,-0.0005837356432639963,-0.0005537684551658557,0.00013245059865578634,-0.0008133716285311969,-0.00029416528180051444,2.9967188098140572e-05,-0.002840121900975143,-0.0032430031818589163,0.0010267687545171531,-0.005255469940712536,-0.0012305364230052961,-0.00040288128088377317,0.0017918838613123088,0.002015884255546014,6.5193005553948215e-06
macro_core,"Фильтрация: инфляция, выпуск и ставка",8,-0.00011167016977938342,3.091663646037237e-05,0.00037637531175089417,-0.0007067789745713802,0.0007686122474921249,0.00014258680623975578,-0.00029430723525222064,-0.00019182100763943821,0.0007343725983227662,-0.0016311913003520598,0.0012475492850731835,0.00010248622761278243,-0.0009579171612829058,-2.616177804362221e-05,0.00048561283045996594,-0.0009779629257451554,0.0009256393696579111,0.0009317553832392837,0.0009216231535011268,0.0009647898443815729,0.00011951274006702767,0.0007305448738501987,0.001199034814912947,4.316669088044603e-05,0.008362878507670528,0.008096151104049317,0.0003919242314626213,0.00732797961038258,0.008864322597716055,-0.0002667274036212107,-0.0006409702477623182,-0.0006282603907609216,0.00013244867277306354,-0.0008878597893961261,-0.00036866099212571707,1.2709857001396568e-05,-0.0024717039032785774,-0.0028138860203396265,0.0010267581476745558,-0.004826331989781756,-0.0008014400508974972,-0.0003421821170610491,0.0019491560150979531,0.0021581550661938786,5.219877513233194e-05
macro_core,"Фильтрация: инфляция, выпуск и ставка",9,-0.000219014624276464,3.1188902423767366e-05,0.00037636596787267624,-0.0007064883946066781,0.0007688661994542128,0.0002502035267002314,-0.0006327669711953013,-0.00020436025521439416,0.0007343168195997884,-0.0016436212216299792,0.001234900711201191,0.0004284067159809071,-0.00040568353696554044,-2.8179005807808725e-05,0.0004856124292508611,-0.0009799793671394965,0.000923621355523879,0.0003775045311577317,0.0010238333346148524,0.0009490708522594788,0.00011951269778384441,0.0007148259646031438,0.0011833157399158138,-7.476248235537355e-05,0.009443445207224703,0.008636527544626602,0.0003919240162395094,0.007868356472797164,0.00940469861645604,-0.0008069176625981004,-0.0006231094688733153,-0.0006047509370731793,0.000132448043660788,-0.0008643491026483238,-0.00034515277149803483,1.835853180013605e-05,-0.0029095887117023167,-0.002462349091607885,0.0010267542541663745,-0.0044747874297739795,-0.0004499107534417907,0.00044723962009443185,0.002113559019133238,0.002271016883503108,1.1158528602722621e-05
