scenario,scenario_label,period,mean_liquid_wealth,median_liquid_wealth,mean_illiquid_wealth,median_illiquid_wealth,mean_total_wealth,median_total_wealth,p10_liquid_wealth,p25_liquid_wealth,p75_liquid_wealth,p90_liquid_wealth,p10_illiquid_wealth,p25_illiquid_wealth,p75_illiquid_wealth,p90_illiquid_wealth,share_low_liquidity,share_wealthy_htm,share_top20_total_wealth,gini_liquid_wealth,gini_total_wealth,mean_mpc,median_mpc
full_information,Полная информация,0,1.039999998730443,0.08897052667346173,12.960000026033857,7.125231940055185,14.000000024764297,9.741798928700359,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933819694104535,0.3574695597801803,0.2032477510686679,0.771945528806649,0.533787231278242,0.10664361413368642,0.0858452648586866
full_information,Полная информация,1,1.0385047588988892,0.08897052667346173,12.935131161655548,7.125231940055185,13.973635920554438,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5938106057544731,0.35720744434697427,0.20265850358793708,0.7721966049593776,0.5338215560059021,0.10855971614441262,0.08551661969238063
full_information,Полная информация,2,1.0370978904221242,0.08897052667346173,12.94340345074768,7.125231940055185,13.980501341169804,9.741079483272738,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5943193159741944,0.35750814556652605,0.20281597468140977,0.7725877322798068,0.5338756552126109,0.10832887845943137,0.0852963562094829
full_information,Полная информация,3,1.0361841505569493,0.08897052667346173,12.947946663221547,7.125231940055185,13.984130813778496,9.741184411116313,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5945714259532231,0.3576204529716781,0.20290018670987792,0.7727946462273566,0.5339097747230993,0.10646901999315068,0.08510869878409363
full_information,Полная информация,4,1.0366469094256758,0.08897052667346173,12.950158931186499,7.125231940055185,13.986805840612174,9.741275662924185,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5943406881900902,0.3575200455336808,0.20295780993613016,0.7726529718355588,0.5338996620544012,0.10564850862764247,0.08513749443205579
full_information,Полная информация,5,1.0374832405843017,0.08897052667346173,12.95203605554126,7.125231940055185,13.989519296125561,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5940176521062501,0.3574210097531635,0.20301450470791516,0.7724362332822694,0.5338781153159008,0.10522912489772172,0.08525864312796809
full_information,Полная информация,6,1.0382065537371121,0.08897052667346173,12.953903467490496,7.125231940055185,13.992110021227608,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5937753072118068,0.35737591700556215,0.20306997088260095,0.7722561313852183,0.5338601442661249,0.10645099440682107,0.08541559367816644
full_information,Полная информация,7,1.037791158998985,0.08897052667346173,12.954968913940546,7.125231940055185,13.992760072939529,9.750543509586011,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.11623174480097,25.0,0.5939430158786914,0.35745603955217486,0.20308820972884667,0.772325325676206,0.5338754328848354,0.10786093923778178,0.08514146054818564
full_information,Полная информация,8,1.0364177853904195,0.08897052667346173,12.952001282557667,7.125231940055185,13.988419067948085,9.74129023560005,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5942895472423675,0.3575257393130526,0.20299982886771115,0.7725442250182555,0.5339149592393804,0.10598059914076965,0.08496659666109453
full_information,Полная информация,9,1.036358858423548,0.08897052667346173,12.945666420815995,7.125231940055185,13.982025279239542,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5941095959640587,0.35733140544774333,0.20286263775048138,0.7724075285916923,0.5339113161176965,0.10523419175227802,0.08500522856979915
full_information,Полная информация,10,1.0366502436663014,0.08897052667346173,12.939012376210158,7.125231940055185,13.97566261987646,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5938300164325349,0.3571188920416208,0.20272453425108009,0.7722014435447775,0.5338968491797397,0.10717390949675323,0.08501680960161616
full_information,Полная информация,11,1.0358570532179954,0.08897052667346173,12.933322333889716,7.125231940055185,13.969179387107712,9.740566224713753,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5940071426228608,0.35709111924779163,0.2025859798098671,0.7722726958304609,0.5339156512340606,0.10443787859421488,0.08509801673230463
full_information,Полная информация,12,1.0368438968272151,0.08897052667346173,12.927117484113218,7.125231940055185,13.963961380940432,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.593496154265337,0.35682596265111105,0.20247035430632815,0.771936808796118,0.5338805702021763,0.10491164657042529,0.08548747929374384
full_information,Полная информация,13,1.0374273907715794,0.08897052667346173,12.925616055478603,7.125231940055185,13.96304344625018,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933031062918248,0.3567649625881807,0.20245195188123308,0.7717850118021867,0.5338624880908358,0.10542719564701031,0.08574694134236523
full_information,Полная информация,14,1.037546344390805,0.08897052667346173,12.927719344179081,7.125231940055185,13.965265688569888,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933746760214629,0.3568514128941105,0.2025052188037069,0.7718003226127984,0.5338620339963397,0.10714476654086612,0.0859737197937589
full_information,Полная информация,15,1.0364901494421077,0.08897052667346173,12.930473187015041,7.125231940055185,13.966963336457146,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5938036289984712,0.3570657933412937,0.20255011003197532,0.7720886897136348,0.5338972946097391,0.10768928322056776,0.08569648718043933
full_information,Полная информация,16,1.0353144886070549,0.08897052667346173,12.931820928308971,7.125231940055185,13.967135416916026,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5941943679499069,0.35721511797258726,0.20256010038406183,0.7723709911534434,0.5339340883669258,0.10703781360498629,0.08558284450629237
full_information,Полная информация,17,1.0349234000301146,0.08897052667346173,12.933008107445362,7.125231940055185,13.967931507475477,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5943313818854832,0.35724884065036,0.20257916617578872,0.7724694156189147,0.5339466082655842,0.10641157811283576,0.08554508983929514
full_information,Полная информация,18,1.0351072653972826,0.08897052667346173,12.934833877161541,7.125231940055185,13.969941142558824,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5943265741711296,0.3572494884165289,0.2026211084373183,0.772453896079154,0.5339422774956087,0.10600671105226792,0.08558144156663161
full_information,Полная информация,19,1.0355432122331558,0.08897052667346173,12.938221245255846,7.125231940055185,13.973764457489,9.740747001172004,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5942858358324674,0.3572830065523912,0.20270144837213064,0.7724173397685,0.5339319515853429,0.10828914449249122,0.08544477445930604
