period,b,a,delta_mass
18,0.0,0.0,-2.868132535078366e-05
18,0.0,0.09006460660490612,-1.561272979454676e-05
18,0.0,0.21257574666139822,-1.2481724510146272e-05
18,0.0,0.3792225572535164,-1.3985656155439223e-05
18,0.0,0.6059052855974003,-1.7076205313700486e-05
18,0.0,0.9142523769509592,-2.1360218487817897e-05
18,0.0,1.333684106226619,-2.6826765910120676e-05
18,0.0,1.9042196502815902,-3.4561588631690926e-05
18,0.0,2.6802954316542698,-4.8834670306082545e-05
18,0.0,3.7359590528066504,-0.00010723326995454655
18,0.0,5.171934388943833,-0.0006225271685980013
18,0.0,7.125231940055185,-3.1531374200692575e-05
18,0.0,9.782221393259215,-3.4186410223721597e-06
18,0.0,13.396413685888078,3.4339329758721615e-05
18,0.0,18.312649206637353,7.145549453702049e-05
18,0.0,25.0,0.00014074004011983832
18,0.0,47.15592934036566,-0.000607727124276175
18,0.0,79.08071848043826,8.74204106952603e-05
18,0.0,125.08159463331742,3.7779078581298524e-05
18,0.0,191.36490186357162,3.350575179717914e-07
18,0.0,286.87344832644783,2.0094049769008292e-11
18,0.0,424.49305164171244,4.3829316471102505e-14
18,0.0,622.7910670346317,7.451413757387855e-17
18,0.0,908.5214569027802,4.584305991619458e-20
18,0.0,1320.234380667721,2.0089465791040204e-23
18,0.0,1913.4773033869203,8.908435898530336e-25
18,0.0,2768.2893460551436,3.361468370868194e-26
18,0.0,4000.0,6.343141853964485e-28
18,0.08897052667346173,0.0,-8.773421075591393e-06
18,0.08897052667346173,0.09006460660490612,-1.009417086747207e-05
18,0.08897052667346173,0.21257574666139822,-8.752784743839897e-06
18,0.08897052667346173,0.3792225572535164,-9.574306453936704e-06
18,0.08897052667346173,0.6059052855974003,-1.1990549655922257e-05
18,0.08897052667346173,0.9142523769509592,-1.5445667067682557e-05
18,0.08897052667346173,1.333684106226619,-2.197350683223742e-05
18,0.08897052667346173,1.9042196502815902,-3.75151844616119e-05
18,0.08897052667346173,2.6802954316542698,-0.00022554560589717765
18,0.08897052667346173,3.7359590528066504,-0.00038293803579838095
18,0.08897052667346173,5.171934388943833,0.000532522237585686
18,0.08897052667346173,7.125231940055185,-6.706443022500615e-06
18,0.08897052667346173,9.782221393259215,-1.0701174811157416e-05
18,0.08897052667346173,13.396413685888078,-8.519740887983143e-06
18,0.08897052667346173,18.312649206637353,-1.1183274213515289e-05
18,0.08897052667346173,25.0,-9.044100800147462e-06
18,0.08897052667346173,47.15592934036566,0.0006040840867164426
18,0.08897052667346173,79.08071848043826,1.0677067477034735e-05
18,0.08897052667346173,125.08159463331742,6.788187535572231e-08
18,0.08897052667346173,191.36490186357162,1.9439169570374995e-10
18,0.08897052667346173,286.87344832644783,6.426999791461791e-13
18,0.08897052667346173,424.49305164171244,1.5368561099833347e-15
18,0.08897052667346173,622.7910670346317,1.8189611820808134e-18
18,0.08897052667346173,908.5214569027802,9.860724033305762e-22
18,0.08897052667346173,1320.234380667721,2.973487799984344e-25
18,0.08897052667346173,1913.4773033869203,7.210991894782811e-31
18,0.08897052667346173,2768.2893460551436,0.0
18,0.08897052667346173,4000.0,0.0
18,0.209604071813136,0.0,-5.445554586124826e-06
18,0.209604071813136,0.09006460660490612,-1.2618952061917415e-05
18,0.209604071813136,0.21257574666139822,-1.2432908417320905e-05
18,0.209604071813136,0.3792225572535164,-1.2987320826861933e-05
18,0.209604071813136,0.6059052855974003,-1.5215530978301972e-05
18,0.209604071813136,0.9142523769509592,-1.917365342654718e-05
18,0.209604071813136,1.333684106226619,-3.1855714477051645e-05
18,0.209604071813136,1.9042196502815902,-0.00022457871616548067
18,0.209604071813136,2.6802954316542698,4.371586238352543e-05
18,0.209604071813136,3.7359590528066504,0.0004089474005279474
18,0.209604071813136,5.171934388943833,-1.0486347216420201e-06
18,0.209604071813136,7.125231940055185,-3.559224158977605e-06
18,0.209604071813136,9.782221393259215,-7.080588050224854e-06
18,0.209604071813136,13.396413685888078,-6.928816163963899e-06
18,0.209604071813136,18.312649206637353,-8.34398704740091e-06
18,0.209604071813136,25.0,-1.2712439529895345e-05
18,0.209604071813136,47.15592934036566,4.106918922661953e-05
18,0.209604071813136,79.08071848043826,1.6824767545877483e-06
18,0.209604071813136,125.08159463331742,2.842436903034496e-08
18,0.209604071813136,191.36490186357162,1.4157865972354762e-10
18,0.209604071813136,286.87344832644783,4.4409469703442166e-13
18,0.209604071813136,424.49305164171244,1.202807932455443e-15
18,0.209604071813136,622.7910670346317,2.0373249389802093e-18
18,0.209604071813136,908.5214569027802,1.1527167492554536e-21
18,0.209604071813136,1320.234380667721,2.073049349483703e-25
18,0.209604071813136,1913.4773033869203,2.009648590428906e-30
18,0.209604071813136,2768.2893460551436,0.0
18,0.209604071813136,4000.0,0.0
18,0.3731689371350648,0.0,1.0213197068826337e-06
18,0.3731689371350648,0.09006460660490612,-1.0313659893326256e-05
18,0.3731689371350648,0.21257574666139822,-1.6758440177205847e-05
18,0.3731689371350648,0.3792225572535164,-6.0777652456811375e-05
18,0.3731689371350648,0.6059052855974003,-0.00010779546286688018
18,0.3731689371350648,0.9142523769509592,-0.00011511656127376636
18,0.3731689371350648,1.333684106226619,-0.00012071068123119255
18,0.3731689371350648,1.9042196502815902,0.00020723696692450874
18,0.3731689371350648,2.6802954316542698,0.00014667786583739224
18,0.3731689371350648,3.7359590528066504,2.9190491821883685e-07
18,0.3731689371350648,5.171934388943833,8.549219846325229e-07
18,0.3731689371350648,7.125231940055185,7.055173833416147e-07
18,0.3731689371350648,9.782221393259215,-2.087511973971473e-06
18,0.3731689371350648,13.396413685888078,-8.188178128847295e-06
18,0.3731689371350648,18.312649206637353,-1.0948611331084487e-05
18,0.3731689371350648,25.0,-1.503331858337259e-05
18,0.3731689371350648,47.15592934036566,1.8517087678392337e-05
18,0.3731689371350648,79.08071848043826,1.1346299117027475e-06
18,0.3731689371350648,125.08159463331742,1.923864465738371e-08
18,0.3731689371350648,191.36490186357162,1.139025246652501e-10
18,0.3731689371350648,286.87344832644783,3.5091027417327046e-13
18,0.3731689371350648,424.49305164171244,1.1855445868149945e-15
18,0.3731689371350648,622.7910670346317,1.866085069024894e-18
18,0.3731689371350648,908.5214569027802,1.4937511653889414e-21
18,0.3731689371350648,1320.234380667721,2.0864950471357754e-25
18,0.3731689371350648,1913.4773033869203,1.6145033318005796e-30
18,0.3731689371350648,2768.2893460551436,0.0
18,0.3731689371350648,4000.0,0.0
18,0.5949436113088571,0.0,5.6327800141594804e-06
18,0.5949436113088571,0.09006460660490612,-4.139914358724378e-06
18,0.5949436113088571,0.21257574666139822,-2.9452414272002243e-05
18,0.5949436113088571,0.3792225572535164,2.9673555403695283e-05
18,0.5949436113088571,0.6059052855974003,0.00011058663399611795
18,0.5949436113088571,0.9142523769509592,0.0001245709065424332
18,0.5949436113088571,1.333684106226619,0.00013354823501373833
18,0.5949436113088571,1.9042196502815902,5.8783149562821515e-06
18,0.5949436113088571,2.6802954316542698,2.3891940068138627e-06
18,0.5949436113088571,3.7359590528066504,2.391242048540524e-06
18,0.5949436113088571,5.171934388943833,-1.898660426476271e-06
18,0.5949436113088571,7.125231940055185,-4.187139821978329e-06
18,0.5949436113088571,9.782221393259215,-7.037322903327876e-06
18,0.5949436113088571,13.396413685888078,-9.63691046799043e-06
18,0.5949436113088571,18.312649206637353,-1.2359899297593839e-05
18,0.5949436113088571,25.0,-1.5982687268563563e-05
18,0.5949436113088571,47.15592934036566,1.483691301831238e-05
18,0.5949436113088571,79.08071848043826,8.813083384655732e-07
18,0.5949436113088571,125.08159463331742,1.3024899735523154e-08
18,0.5949436113088571,191.36490186357162,9.186042119169092e-11
18,0.5949436113088571,286.87344832644783,2.996377385465923e-13
18,0.5949436113088571,424.49305164171244,9.289692154515368e-16
18,0.5949436113088571,622.7910670346317,1.9793088627675246e-18
18,0.5949436113088571,908.5214569027802,8.838752763524788e-22
18,0.5949436113088571,1320.234380667721,8.784835176979109e-26
18,0.5949436113088571,1913.4773033869203,1.5657827464486814e-30
18,0.5949436113088571,2768.2893460551436,0.0
18,0.5949436113088571,4000.0,0.0
18,0.89564392373896,0.0,7.385025203164613e-06
18,0.89564392373896,0.09006460660490612,2.8776117874692426e-05
18,0.89564392373896,0.21257574666139822,5.347067590415005e-05
18,0.89564392373896,0.3792225572535164,3.6075972373704555e-05
18,0.89564392373896,0.6059052855974003,5.314319604702157e-06
18,0.89564392373896,0.9142523769509592,6.473622003681095e-07
18,0.89564392373896,1.333684106226619,-9.246913844503622e-08
18,0.89564392373896,1.9042196502815902,-1.7704955227403583e-07
18,0.89564392373896,2.6802954316542698,-1.471856667072417e-06
18,0.89564392373896,3.7359590528066504,-2.7306472508343595e-06
18,0.89564392373896,5.171934388943833,-3.866116501283386e-06
18,0.89564392373896,7.125231940055185,-5.975115924564296e-06
18,0.89564392373896,9.782221393259215,-8.573278981584363e-06
18,0.89564392373896,13.396413685888078,-9.843678042344324e-06
18,0.89564392373896,18.312649206637353,-1.2289334451602227e-05
18,0.89564392373896,25.0,-9.08244153025213e-06
18,0.89564392373896,47.15592934036566,1.1653913017729053e-05
18,0.89564392373896,79.08071848043826,6.643518946528406e-07
18,0.89564392373896,125.08159463331742,1.0242510232779812e-08
18,0.89564392373896,191.36490186357162,7.458488335596727e-11
18,0.89564392373896,286.87344832644783,2.9899648955258753e-13
18,0.89564392373896,424.49305164171244,8.604879121573227e-16
18,0.89564392373896,622.7910670346317,2.1229296018492752e-18
18,0.89564392373896,908.5214569027802,7.370161391058156e-22
18,0.89564392373896,1320.234380667721,1.468606348865921e-25
18,0.89564392373896,1913.4773033869203,2.0188101848259895e-30
18,0.89564392373896,2768.2893460551436,0.0
18,0.89564392373896,4000.0,0.0
18,1.3033580968401854,0.0,-1.7383765176277204e-08
18,1.3033580968401854,0.09006460660490612,-3.3998180651081803e-07
18,1.3033580968401854,0.21257574666139822,-7.42774932010787e-07
18,1.3033580968401854,0.3792225572535164,-6.985652301869138e-07
18,1.3033580968401854,0.6059052855974003,-7.23886558181468e-07
18,1.3033580968401854,0.9142523769509592,-9.150417731754006e-07
18,1.3033580968401854,1.333684106226619,-1.5214358323387394e-06
18,1.3033580968401854,1.9042196502815902,-2.2732687875847563e-06
18,1.3033580968401854,2.6802954316542698,-3.0271714834316857e-06
18,1.3033580968401854,3.7359590528066504,-3.9840305531601075e-06
18,1.3033580968401854,5.171934388943833,-4.919993105915142e-06
18,1.3033580968401854,7.125231940055185,-6.4867124820308306e-06
18,1.3033580968401854,9.782221393259215,-8.372986585438325e-06
18,1.3033580968401854,13.396413685888078,-8.724868628514487e-06
18,1.3033580968401854,18.312649206637353,-1.0290157330344538e-05
18,1.3033580968401854,25.0,-0.0002721707282805942
18,1.3033580968401854,47.15592934036566,7.98714410046148e-06
18,1.3033580968401854,79.08071848043826,4.917912108551604e-07
18,1.3033580968401854,125.08159463331742,6.809954460926092e-09
18,1.3033580968401854,191.36490186357162,4.9514603332805385e-11
18,1.3033580968401854,286.87344832644783,2.679677479033904e-13
18,1.3033580968401854,424.49305164171244,7.928679971864536e-16
18,1.3033580968401854,622.7910670346317,1.4814671181355876e-18
18,1.3033580968401854,908.5214569027802,1.6974818765028625e-21
18,1.3033580968401854,1320.234380667721,1.1615590665396409e-25
18,1.3033580968401854,1913.4773033869203,6.9420053748580805e-31
18,1.3033580968401854,2768.2893460551436,0.0
18,1.3033580968401854,4000.0,0.0
18,1.8561704487936153,0.0,1.0137419793574429e-07
18,1.8561704487936153,0.09006460660490612,-1.8178057720262368e-07
18,1.8561704487936153,0.21257574666139822,-7.300921324682142e-07
18,1.8561704487936153,0.3792225572535164,-1.1582498230704522e-06
18,1.8561704487936153,0.6059052855974003,-1.3711607903858997e-06
18,1.8561704487936153,0.9142523769509592,-1.6111700811168288e-06
18,1.8561704487936153,1.333684106226619,-2.288169833834742e-06
18,1.8561704487936153,1.9042196502815902,-2.9796318031780934e-06
18,1.8561704487936153,2.6802954316542698,-3.4832048468485567e-06
18,1.8561704487936153,3.7359590528066504,-4.206055357198948e-06
18,1.8561704487936153,5.171934388943833,-4.912865648830974e-06
18,1.8561704487936153,7.125231940055185,-5.59437052656455e-06
18,1.8561704487936153,9.782221393259215,-6.586120244135227e-06
18,1.8561704487936153,13.396413685888078,-6.96248572238517e-06
18,1.8561704487936153,18.312649206637353,-0.00012967294700642808
