scenario,scenario_label,peak_consumption_q1_filtered,peak_consumption_q5_filtered,peak_consumption_q1_gap_vs_full_information,peak_consumption_q5_gap_vs_full_information,peak_low_liquidity_share_difference,peak_mean_mpc_difference
macro_core,"Фильтрация: инфляция, выпуск и ставка",-0.2926107938886361,-0.6937654851074402,0.13700170259230024,0.4682462158651386,0.0009060168060842644,0.001160850722872836
full_macro,Фильтрация: расширенный макронабор,-0.29022187838276853,-0.6895489185887895,0.13912454024495224,0.48439696911247193,0.0009299485371848659,0.0011039643091698692
thin_information,Фильтрация: инфляция и ставка,-0.2889974313722399,-0.6624495206312293,0.13720857213765142,0.5868285370717955,0.0011591071499779115,0.0012332248150490333
high_noise,Фильтрация: высокий шум измерения,-0.27449387377003587,-0.6782020566355302,0.15742966690498478,0.5124085100386723,0.0010044315429866835,0.0009057771526689989
distribution_augmented,Фильтрация: с распределительной статистикой,-0.2974736576596906,-0.6992140793895616,0.14017009177054943,0.494460673640294,0.0009409478832832496,0.0012134829318884155
