scenario,scenario_label,mean_state_rmse,mean_state_mae,distribution_factor_rmse,mean_filter_std,mean_coverage,log_likelihood
macro_core,"Фильтрация: инфляция, выпуск и ставка",0.00046002694492393667,0.0003104953955486839,0.0005607264320747427,0.00046751655539988555,0.9523809523809523,725.3176334426552
full_macro,Фильтрация: расширенный макронабор,0.0004186863563102623,0.00028312915644752466,0.0004863973965845358,0.0004148470900533983,0.9547619047619048,1510.1761522199165
thin_information,Фильтрация: инфляция и ставка,0.000609754623559648,0.0003931520232302181,0.00040090928214587965,0.0007709978569049404,0.9619047619047619,403.75203588105256
high_noise,Фильтрация: высокий шум измерения,0.0005214144879344819,0.0003530056421167401,0.0005592576303393405,0.0005787448701464174,0.9571428571428572,687.0307104128152
distribution_augmented,Фильтрация: с распределительной статистикой,0.0004154849610742261,0.00028921186774342333,0.0004465321507045896,0.00043606544258628047,0.9571428571428572,1288.3484694774083
