scenario,scenario_label,period,full_information_rate,filtered_rate,rate_gap,abs_rate_gap,full_loss,filtered_loss,excess_loss,full_pi,filtered_pi,full_output_gap,filtered_output_gap,full_consumption,filtered_consumption,full_low_liquidity_share,filtered_low_liquidity_share,full_mean_mpc,filtered_mean_mpc
full_information,Полная информация,0,0.000943542004025983,0.000943542004025983,0.0,0.0,1.6819715864523355e-06,1.6819715864523355e-06,0.0,,,,,,,,,,
full_information,Полная информация,1,0.0007404407076501597,0.0007404407076501597,0.0,0.0,7.592388552081991e-07,7.592388552081991e-07,0.0,,,,,,,,,,
full_information,Полная информация,2,0.0006456835946382272,0.0006456835946382272,0.0,0.0,3.417919219110215e-07,3.417919219110215e-07,0.0,,,,,,,,,,
full_information,Полная информация,3,0.0005652903129791375,0.0005652903129791375,0.0,0.0,7.175148192862394e-07,7.175148192862394e-07,0.0,,,,,,,,,,
full_information,Полная информация,4,0.00047128859952281474,0.00047128859952281474,0.0,0.0,6.435230459896212e-07,6.435230459896212e-07,0.0,,,,,,,,,,
full_information,Полная информация,5,0.0003368730550586163,0.0003368730550586163,0.0,0.0,1.8776140149884545e-07,1.8776140149884545e-07,0.0,,,,,,,,,,
full_information,Полная информация,6,0.00020908733840339667,0.00020908733840339667,0.0,0.0,4.1979159585807327e-07,4.1979159585807327e-07,0.0,,,,,,,,,,
full_information,Полная информация,7,0.00031436018128379713,0.00031436018128379713,0.0,0.0,2.1585651385743687e-07,2.1585651385743687e-07,0.0,,,,,,,,,,
full_information,Полная информация,8,0.0005087844380125668,0.0005087844380125668,0.0,0.0,1.1252445927136505e-06,1.1252445927136505e-06,0.0,,,,,,,,,,
full_information,Полная информация,9,0.0007198060071501452,0.0007198060071501452,0.0,0.0,1.3459138232254293e-06,1.3459138232254293e-06,0.0,,,,,,,,,,
full_information,Полная информация,10,0.0009391305980778089,0.0009391305980778089,0.0,0.0,2.0940562716077168e-06,2.0940562716077168e-06,0.0,,,,,,,,,,
full_information,Полная информация,11,0.0012544638170992604,0.0012544638170992604,0.0,0.0,2.5549484339801426e-06,2.5549484339801426e-06,0.0,,,,,,,,,,
full_information,Полная информация,12,0.0014464643299085058,0.0014464643299085058,0.0,0.0,2.516759895075539e-06,2.516759895075539e-06,0.0,,,,,,,,,,
