scenario,scenario_label,period,true_rstar_gap,true_productivity_gap,true_fiscal_gap,true_inflation_gap,true_output_gap,true_low_liquidity_gap,true_mean_mpc_gap
macro_core,"Фильтрация: инфляция, выпуск и ставка",0,2.4603067149651487e-07,0.00010156930519480452,3.12572700191676e-05,0.0,0.0,0.0,0.0
macro_core,"Фильтрация: инфляция, выпуск и ставка",1,5.995823357246602e-05,-0.00015039834411336394,-0.00018497983448627857,0.00024083014867668374,0.002369595551308072,5.9994122976411764e-05,0.0002987820589898563
macro_core,"Фильтрация: инфляция, выпуск и ставка",2,-3.863072535847405e-06,-5.6684469677775745e-05,-0.0001709993224975879,0.00034824742025068006,0.0033399059070913727,-1.208754018192643e-05,-0.0007947739298470931
macro_core,"Фильтрация: инфляция, выпуск и ставка",3,-0.00018140197940692517,-0.0006389448396672905,-0.0008189107282657807,0.00038216552140845093,0.0035698044698557036,-0.00013925180417942836,-0.0010073653609328178
macro_core,"Фильтрация: инфляция, выпуск и ставка",4,-0.00024512583953023093,-0.000800806669985169,-0.000969230124469117,0.0005499152864334571,0.005274155066594697,-0.00022537207401669706,-0.0017239625649060656
macro_core,"Фильтрация: инфляция, выпуск и ставка",5,-0.00040668627459998876,-0.0007387433223903835,-0.0005514671574123179,0.0007387756765701182,0.007093332312134199,-0.00034952657034326997,-0.0023526771456387477
macro_core,"Фильтрация: инфляция, выпуск и ставка",6,-0.00033365461289050274,-0.00014161272186210297,-0.0011310254748263732,0.0008810316247732665,0.008360790431245404,-0.00046950566419166575,-0.002657276881778817
macro_core,"Фильтрация: инфляция, выпуск и ставка",7,-1.5563371846020568e-05,0.00045932082623738356,-0.000495404849860054,0.0009905767370343356,0.009271255587324567,-0.0005837356432639963,-0.002840121900975143
macro_core,"Фильтрация: инфляция, выпуск и ставка",8,-0.00011167016977938342,-0.00029430723525222064,-0.0009579171612829058,0.0009216231535011268,0.008362878507670528,-0.0006409702477623182,-0.0024717039032785774
macro_core,"Фильтрация: инфляция, выпуск и ставка",9,-0.000219014624276464,-0.0006327669711953013,-0.00040568353696554044,0.0010238333346148524,0.009443445207224703,-0.0006231094688733153,-0.0029095887117023167
macro_core,"Фильтрация: инфляция, выпуск и ставка",10,-8.819402059795475e-05,-0.00018276186566953018,-0.0005799024373836418,0.001099452196239462,0.010179209288528925,-0.0006584318275368908,-0.003228077208985093
macro_core,"Фильтрация: инфляция, выпуск и ставка",11,-3.587515876249384e-06,-0.0011424193846228713,-0.00013328482664868777,0.0010901587430137655,0.0099919382583832,-0.0007213685991585455,-0.0032144899549889448
macro_core,"Фильтрация: инфляция, выпуск и ставка",12,1.8033461304767736e-05,-0.0011455204401744805,-4.74664559994015e-05,0.001222186929619812,0.011360615658453204,-0.000701698284975772,-0.0035823008926945906
macro_core,"Фильтрация: инфляция, выпуск и ставка",13,-0.00017076516683258838,-0.000965059814974629,-0.0005711187483016021,0.0013611924548498557,0.012682339424164534,-0.000744393393895945,-0.0039019282899338805
macro_core,"Фильтрация: инфляция, выпуск и ставка",14,-0.00015100075630035482,-0.0001435403633362934,3.74189385343377e-05,0.0015078984430320836,0.014046681088895141,-0.000840351946563723,-0.0043757063017194125
macro_core,"Фильтрация: инфляция, выпуск и ставка",15,1.0709996036355955e-05,0.0002298696596163431,0.0005307907614069505,0.0014573960118578174,0.013314303192791562,-0.0009300661668696556,-0.003996419858281653
macro_core,"Фильтрация: инфляция, выпуск и ставка",16,-0.00025973941282611383,2.0289017581975584e-05,0.0003485218158847928,0.0013106706678773727,0.011740379901529593,-0.0009035846625406086,-0.0033790153921731928
macro_core,"Фильтрация: инфляция, выпуск и ставка",17,-0.0003123016531102404,-0.0001680567329843991,0.00014809457585904283,0.001244249946308,0.011161325375805138,-0.000824202405539558,-0.0031721235995102047
macro_core,"Фильтрация: инфляция, выпуск и ставка",18,-0.0006457009531038731,-0.00025954308664648176,4.771276501160726e-05,0.001228540105568739,0.011101430411650787,-0.0007744107393178586,-0.003209929561035371
macro_core,"Фильтрация: инфляция, выпуск и ставка",19,-0.0008067533580952874,0.0005541302309108947,-0.0003079043774644361,0.0012259017079106424,0.01114198435418498,-0.0007734205018737059,-0.003316685418168882
macro_core,"Фильтрация: инфляция, выпуск и ставка",20,-0.0010540873619393407,0.00022929171344228215,0.00016897230168981596,0.0011503775791811876,0.01034370773923346,-0.0008017905011780959,-0.00292597757501623
macro_core,"Фильтрация: инфляция, выпуск и ставка",21,-0.0009429924838633758,3.1593176571461046e-05,-7.173156492269423e-05,0.0010685635040564702,0.009584050854985867,-0.0007623413658935142,-0.0027838745426187095
macro_core,"Фильтрация: инфляция, выпуск и ставка",22,-0.00105503290757261,0.00020156907489980152,-6.812873988797276e-05,0.0010596573999370115,0.009587056069181196,-0.0007168074689914779,-0.002763313392592846
macro_core,"Фильтрация: инфляция, выпуск и ставка",23,-0.0008425250996723782,0.00010087003737661366,-0.0003253438590426462,0.001027084970733375,0.009285035034087057,-0.0007047940100413443,-0.002653745174148966
macro_core,"Фильтрация: инфляция, выпуск и ставка",24,-0.0006847961173966764,-1.7946084081570354e-05,-0.0004468662862319214,0.0010346801379637436,0.009401185543925883,-0.0006855621665305805,-0.002716514518266363
macro_core,"Фильтрация: инфляция, выпуск и ставка",25,-0.0006194628887131658,-0.0005713904388407844,-0.0007600102034402546,0.0010726068512990716,0.00980062785271627,-0.000681809934864436,-0.002851726527925022
macro_core,"Фильтрация: инфляция, выпуск и ставка",26,-0.0010298953975702936,-0.0004628730850919016,-9.203288260814074e-05,0.0012290707233670586,0.011412285242940648,-0.0006983403396611344,-0.003423272356265909
macro_core,"Фильтрация: инфляция, выпуск и ставка",27,-0.0009831496671040768,-0.0005920890795607309,-0.00011835366844780313,0.0012680480793756973,0.011706453753813921,-0.0007824266192687803,-0.003590297832041032
macro_core,"Фильтрация: инфляция, выпуск и ставка",28,-0.0008453774061186797,0.00010939262444652659,0.0002552249986416209,0.001318794997531778,0.012169772380536592,-0.0008293331063992803,-0.0037725855325072303
macro_core,"Фильтрация: инфляция, выпуск и ставка",29,-0.0006959089980002163,0.00041405835090780317,0.00018332110796877554,0.0012308900939314448,0.011156802394662775,-0.0008591523655659814,-0.0032892565414682686
macro_core,"Фильтрация: инфляция, выпуск и ставка",30,-0.0008975498014012626,0.00031917487422127646,-0.00011471645911787008,0.0010984694819832644,0.009808242372402513,-0.0008180087059461599,-0.0028599311939514725
macro_core,"Фильтрация: инфляция, выпуск и ставка",31,-0.0008584679863978592,0.0005895304110106931,-0.00019464136238329732,0.0010284460026393416,0.00920372612779605,-0.0007546738042569915,-0.0026747154414105967
macro_core,"Фильтрация: инфляция, выпуск и ставка",32,-0.0009254016040495083,0.00030168955295197984,-0.000332329821344323,0.0009309448520881495,0.008278523517216557,-0.000708668465310728,-0.0023517855538351686
macro_core,"Фильтрация: инфляция, выпуск и ставка",33,-0.0009483588113272019,0.0007674148215750573,-0.00022984519022630628,0.0008883833225673824,0.007965947702753858,-0.0006538237483339341,-0.0023473980508815673
