scenario,scenario_label,period,Y_deviation,Y_level,Y_pct,output_gap_deviation,output_gap_level,output_gap_pct,pi_deviation,pi_level,pi_pct,i_deviation,i_level,i_pct,C_deviation,C_level,C_pct,I_deviation,I_level,I_pct,N_deviation,N_level,N_pct,w_deviation,w_level,w_pct,r_deviation,r_level,r_pct,ra_deviation,ra_level,ra_pct,rb_deviation,rb_level,rb_pct,A_deviation,A_level,A_pct,B_deviation,B_level,B_pct,tax_deviation,tax_level,tax_pct
full_information,Полная информация,0,-0.001809323327963772,0.9981906766720362,-0.18093233279637722,-0.0018093233279637966,-0.0018093233279637966,-0.18093233279637966,2.5150710273725223e-05,2.515070986012642e-05,0.0025150710273725225,0.000943542004025983,0.013443542002905595,0.0943542004025983,-0.0009493685089320136,0.5493573767305782,-0.17251624065026128,-0.0010016844079232812,0.198998315592076,-0.5008422039616424,-0.003022156697053746,0.9969778433029463,-0.3022156697053746,-0.0005945102556483819,0.6594054897443516,-0.09007731146187604,-2.5464452411055947e-05,0.012474535547588945,-0.0025464452411055947,-0.001900417397632248,0.010599582602367708,-0.1900417397632248,-2.5464452411055882e-05,-0.0025254644524110546,-0.0025464452411055882,-0.024868838344470845,12.935131161655544,-0.19188918475671926,-0.0014952411011688316,1.0385047588988896,-0.14377318280468726,0.0013404146639654502,0.3574010207245715,0.13404146639654502
full_information,Полная информация,1,-0.0011843022888420856,0.998815697711158,-0.11843022888420857,-0.0011843022888420318,-0.0011843022888420318,-0.11843022888420318,0.00023641149020401785,0.00023641148979041903,0.023641149020401785,0.0007404407076501597,0.013240440706529771,0.07404407076501597,-0.0007882949959067131,0.5495184502436035,-0.14324647166801913,-0.00041746634978687136,0.19958253365021242,-0.20873317489343643,-0.0012384985081845823,0.9987615014918154,-0.12384985081845823,-0.0006401914885784392,0.6593598085114216,-0.0969987103906726,0.0007040089353347145,0.013204008935334716,0.07040089353347145,0.0007040089392105209,0.013204008939210476,0.07040089392105209,0.000704008935334715,-0.0017959910646652838,0.0704008935334715,-0.016596549252337667,12.943403450747677,-0.12805979361371642,-0.002902109577934242,1.0370978904221242,-0.2790489978782768,0.003500084759828437,0.3595606908204345,0.3500084759828437
full_information,Полная информация,2,-0.0006704056814407735,0.9993295943185593,-0.06704056814407736,-0.0006704056814407222,-0.0006704056814407222,-0.06704056814407222,0.00034149829799532544,0.00034149829758172665,0.034149829799532544,0.0006456835946382272,0.013145683593517839,0.06456835946382272,-0.0005582457045921752,0.549748499534918,-0.10144264256641261,-7.239756023208477e-05,0.1999276024397672,-0.036198780116042516,-0.0007507917410234377,0.9992492082589766,-0.07507917410234377,-0.0006797677022242401,0.6593202322977758,-0.10299510639761214,0.0003945389468210922,0.012894538946821093,0.03945389468210922,0.0003945389480342065,0.012894538948034162,0.03945389480342065,0.00039453894682109185,-0.002105461053178907,0.039453894682109185,-0.012053336778471646,12.947946663221543,-0.0930041418091947,-0.003815849443108865,1.0361841505569496,-0.3669086002989087,0.0020521414875986355,0.3581127475482047,0.20521414875986355
full_information,Полная информация,3,-0.0010085067179884664,0.9989914932820115,-0.10085067179884663,-0.0010085067179884666,-0.0010085067179884666,-0.10085067179884666,0.00045678087217560816,0.00045678087176200937,0.045678087217560816,0.0005652903129791375,0.013065290311858749,0.05652903129791375,-0.0002820362747785188,0.5500247089647317,-0.05125073919560409,8.204696356592378e-05,0.2000820469635652,0.041023481782962036,0.000605292583957695,1.0006052925839577,0.0605292583957695,-0.0007335773716455489,0.6592664226283544,-0.11114808661296195,0.00018310932094702602,0.012683109320947027,0.018310932094702602,0.00018310932136111902,0.012683109321361075,0.0183109321361119,0.00018310932094702664,-0.002316890679052972,0.018310932094702664,-0.0098410688135111,12.950158931186504,-0.0759341729437584,-0.0033530905743826,1.0366469094256758,-0.322412555229078,-0.00028361690904588066,0.3557769891515602,-0.028361690904588066
full_information,Полная информация,4,-0.0009726032999895363,0.9990273967000105,-0.09726032999895363,-0.000972603299989494,-0.000972603299989494,-0.0972603299989494,0.0004124350134357631,0.0004124350130221643,0.04124350134357631,0.00047128859952281474,0.012971288598402428,0.04712885995228147,-0.000169500712741244,0.5501372445267689,-0.03080113304216763,0.0002004340790051351,0.20020043407900442,0.10021703950256791,0.0011711636942388637,1.0011711636942389,0.11711636942388637,-0.0007749461835835217,0.6592250538164165,-0.11741608842174571,0.00014763897054418228,0.012647638970544182,0.014763897054418228,0.00014763897083902577,0.012647638970838981,0.014763897083902577,0.00014763897054418176,-0.002352361029455817,0.014763897054418176,-0.007963944458754924,12.95203605554126,-0.06145018872496076,-0.0025167594157566864,1.0374832405843017,-0.24199609766889857,-0.0008406302068258986,0.3552199758537802,-0.08406302068258986
full_information,Полная информация,5,-0.00040979909373568796,0.9995902009062643,-0.040979909373568796,-0.00040979909373572987,-0.00040979909373572987,-0.04097990937357299,0.00032076529730607135,0.00032076529689247256,0.03207652973060714,0.0003368730550586163,0.01283687305393823,0.03368730550586163,-0.00012825636742619384,0.550178488872084,-0.023306341151674015,0.0003091836271332804,0.20030918362713257,0.15459181356664076,0.0018031113326166803,1.0018031113326167,0.18031113326166803,-0.0008589179248298498,0.6591410820751702,-0.1301390795196742,0.00014646675429026045,0.01264646675429026,0.014646675429026045,0.00014646675455654012,0.012646466754556496,0.014646675455654012,0.00014646675429026007,-0.0023535332457097387,0.014646675429026007,-0.006096532509513253,12.953903467490502,-0.047041145906738004,-0.0017934462629460857,1.0382065537371123,-0.17244675605249854,-0.0003917939420220451,0.35566881211858403,-0.03917939420220451
full_information,Полная информация,6,-0.0008533946678668197,0.9991466053321332,-0.08533946678668197,-0.0008533946678668247,-0.0008533946678668247,-0.08533946678668247,0.00023416640838782752,0.0002341664079742287,0.023416640838782754,0.00020908733840339667,0.01270908733728301,0.020908733840339668,-0.00022796305962302643,0.5500787821798871,-0.04142472568163961,0.0004649857369718735,0.20046498573697116,0.2324928684859376,-0.0007838329850934356,0.9992161670149066,-0.07838329850934356,-0.0011880460255017378,0.6588119539744983,-0.18000697356086934,9.975620689766214e-05,0.012599756206897662,0.009975620689766214,9.975620706259569e-05,0.012599756207062551,0.00997562070625957,9.975620689766165e-05,-0.002400243793102337,0.009975620689766165,-0.005031086059471335,12.954968913940544,-0.03882010848357507,-0.002208841001073436,1.037791158998985,-0.21238855779551077,-0.00037190366595230007,0.3556887023946538,-0.03719036659523001
full_information,Полная информация,7,-0.000308753476461758,0.9996912465235382,-0.0308753476461758,-0.0003087534764617539,-0.0003087534764617539,-0.03087534764617539,0.00040943624738342527,0.0004094362469698265,0.040943624738342524,0.00031436018128379713,0.012814360180163409,0.03143601812837971,-0.00035441784253320563,0.549952327396977,-0.06440368859715725,0.00042334090935899904,0.2004233409093583,0.21167045467950027,-0.0019092135076395067,0.9980907864923605,-0.19092135076395067,-0.0014823887343326236,0.6585176112656674,-0.22460435368676115,-0.00020538277159075927,0.012294617228409242,-0.020538277159075927,-0.00020538277191173293,0.012294617228088223,-0.020538277191173293,-0.00020538277159075878,-0.0027053827715907575,-0.020538277159075878,-0.00799871744235503,12.95200128255766,-0.061718498783603554,-0.003582214609638923,1.0364177853904195,-0.3444437124652617,-0.00014453773888151167,0.35591606832172457,-0.014453773888151167
full_information,Полная информация,8,-0.00098606091756733,0.9990139390824326,-0.098606091756733,-0.0009860609175673662,-0.0009860609175673662,-0.09860609175673662,0.0007982458810144439,0.000798245880600845,0.07982458810144438,0.0005087844380125668,0.01300878443689218,0.05087844380125668,-0.0002675470376990452,0.5500391982018111,-0.048617800892591385,0.00012328361352989536,0.20012328361352918,0.061641806764947904,-0.0005395771663047055,0.9994604228336953,-0.053957716630470554,-0.0016940371847229997,0.658305962815277,-0.256672300715606,-0.0004934698631520671,0.012006530136847934,-0.04934698631520672,-0.0004934698640446378,0.012006530135955318,-0.04934698640446378,-0.000493469863152067,-0.002993469863152066,-0.0493469863152067,-0.014333579184011569,12.945666420816003,-0.11059860481490395,-0.0036411415765107424,1.0363588584235477,-0.3501097669721671,-0.002446957747054057,0.353613648313552,-0.2446957747054057
full_information,Полная информация,9,-0.0007808931136966715,0.9992191068863033,-0.07808931136966715,-0.0007808931136966679,-0.0007808931136966679,-0.07808931136966679,0.0010192106213064728,0.001019210620892874,0.10192106213064728,0.0007198060071501452,0.013219806006029757,0.07198060071501453,-0.00034774572341633725,0.5499589995160938,-0.06319125222878882,-0.0002439411842284911,0.1997560588157708,-0.12197059211424598,0.0008420459830604798,1.0008420459830605,0.08420459830604798,-0.001730758381705971,0.658269241618294,-0.26223611844029865,-0.0005226336416183296,0.011977366358381671,-0.05226336416183296,-0.0005226336428936218,0.011977366357106334,-0.05226336428936218,-0.0005226336416183294,-0.003022633641618328,-0.05226336416183294,-0.02098762378985697,12.939012376210158,-0.16194154158840235,-0.0033497563337567815,1.0366502436663017,-0.3220919551689032,-0.0022011429010976302,0.35385946315950845,-0.22011429010976302
