variant_name,scenario_name,scenario_label,policy_name,policy_label,training_seed,evaluation_seed,input_mode,include_distributional_state,mean_policy_loss,cumulative_policy_loss,mean_reference_loss,cumulative_reference_loss,mean_excess_loss,cumulative_excess_loss,mean_abs_rate_gap,policy_rate_rmse,policy_instrument_volatility,mean_state_rmse,distribution_state_rmse,mean_filter_variance,unstable,impact_inflation_pp,impact_output_gap_pct,impact_consumption_pct,impact_nominal_rate_pp,impact_real_rate_pp,impact_employment_pct,peak_consumption_q1,peak_consumption_q5,peak_low_liquidity_share_change,peak_mean_mpc_change,peak_consumption_q1_gap_vs_full_information,peak_consumption_q5_gap_vs_full_information,peak_low_liquidity_share_difference_vs_full_information,peak_mean_mpc_difference_vs_full_information
distribution_augmented_filtered_state,distribution_augmented,Фильтрация: с распределительной статистикой,classical_filtered_rule,Classical: filter + fixed rule,-1,700,filtered_state,1,1.621997195518583e-06,9.731983173111498e-05,1.5981301807024127e-06,9.588781084214476e-05,2.3867014816170553e-08,1.4320208889702332e-06,0.0003317221643708115,0.00042349094391471673,0.0004848465573950519,0.0004972911012853813,0.0005965952674006932,2.5749110244816374e-07,0,0.014012254725521029,-0.004004409689262189,-0.003209381711146153,0.010620615511099628,-0.014185416792528114,0.042131870744999134,-0.3281131417621682,-0.7335020238796605,0.0015290893936199534,0.0032296782908172172,0.14076585520044577,0.6290077501998012,0.0013646648648514281,0.0010980040874771363
distribution_augmented_filtered_state,distribution_augmented,Фильтрация: с распределительной статистикой,full_information_rule,Полная информация,-1,700,filtered_state,1,1.5981301807024127e-06,9.588781084214476e-05,1.5981301807024127e-06,9.588781084214476e-05,0.0,0.0,0.0,0.0,0.0004654323155184809,0.0004972911012853813,0.0005965952674006932,2.5749110244816374e-07,0,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,0.032116328236732994,-0.0011261475072910088,-0.2764621131111479,-0.769618018537291,0.0013977730680364564,0.002928285601548661,0.0,0.0,0.0,0.0
distribution_augmented_filtered_state,distribution_augmented,Фильтрация: с распределительной статистикой,learning_policy,Learning-based policy,22,700,filtered_state,1,1.5630996376942466e-06,9.37859782616548e-05,1.5981301807024127e-06,9.588781084214476e-05,-3.503054300816542e-08,-2.101832580489925e-06,0.0002779732566171686,0.0003612190962145197,0.0004942974704368696,0.0004972911012853813,0.0005965952674006933,2.5749110244816374e-07,0,-0.01882371369227097,-0.039036506840572915,-0.046857217457722825,-0.0034863677912192657,0.019062586845325084,-0.01017049050218155,-0.2912909772851819,-0.777313847889999,0.0012218052731800544,0.003284714195614588,0.09881972850535982,0.40520779730708456,0.0009006465272727304,0.0006522068351086652
distribution_augmented_no_distribution_state,distribution_augmented,Фильтрация: с распределительной статистикой,classical_filtered_rule,Classical: filter + fixed rule,-1,700,filtered_state,0,1.621997195518583e-06,9.731983173111498e-05,1.5981301807024127e-06,9.588781084214476e-05,2.3867014816170553e-08,1.4320208889702332e-06,0.0003317221643708115,0.00042349094391471673,0.0004848465573950519,0.0004972911012853813,0.0005965952674006932,2.5749110244816374e-07,0,0.014012254725521029,-0.004004409689262189,-0.003209381711146153,0.010620615511099628,-0.014185416792528114,0.042131870744999134,-0.3281131417621682,-0.7335020238796605,0.0015290893936199534,0.0032296782908172172,0.14076585520044577,0.6290077501998012,0.0013646648648514281,0.0010980040874771363
distribution_augmented_no_distribution_state,distribution_augmented,Фильтрация: с распределительной статистикой,full_information_rule,Полная информация,-1,700,filtered_state,0,1.5981301807024127e-06,9.588781084214476e-05,1.5981301807024127e-06,9.588781084214476e-05,0.0,0.0,0.0,0.0,0.0004654323155184809,0.0004972911012853813,0.0005965952674006932,2.5749110244816374e-07,0,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,0.032116328236732994,-0.0011261475072910088,-0.2764621131111479,-0.769618018537291,0.0013977730680364564,0.002928285601548661,0.0,0.0,0.0,0.0
distribution_augmented_no_distribution_state,distribution_augmented,Фильтрация: с распределительной статистикой,learning_policy,Learning-based policy,11,700,filtered_state,0,1.9492030750052767e-06,0.00011695218450031661,1.5981301807024127e-06,9.588781084214476e-05,3.510728943028649e-07,2.1064373658171892e-05,0.0005800520921600887,0.0006654536027441713,0.0007811056282497361,0.0004972911012853813,0.0005965952674006933,2.5749110244816374e-07,0,0.004479999966758837,-0.01300743113287206,-0.019620012097575138,0.006562226654369837,-0.004535792443898782,0.02868964200817281,-0.37195099836940404,-0.6838650085970595,0.0014836679553450471,0.003352779176992282,0.1904420959912507,0.8338330509375877,0.001783039055817337,0.0008906129344386643
full_macro_filtered_state,full_macro,Фильтрация: расширенный макронабор,classical_filtered_rule,Classical: filter + fixed rule,-1,700,filtered_state,1,1.6160340375891633e-06,9.69620422553498e-05,1.5981301807024127e-06,9.588781084214476e-05,1.7903856886750835e-08,1.07423141320505e-06,0.0003377669205231538,0.0004246499771591096,0.00048378836957518694,0.0004666181370130179,0.0006439963272906995,2.4475826271142093e-07,0,0.011325125741865876,-0.006466754456302404,-0.0069048721191535215,0.007502729889421404,-0.011465387843268069,0.038455334498910254,-0.337065393761907,-0.7288947676288936,0.0015328868282918906,0.003196598634957512,0.14663807555817104,0.6059261191735921,0.001317655936413864,0.0010286128698573649
full_macro_filtered_state,full_macro,Фильтрация: расширенный макронабор,full_information_rule,Полная информация,-1,700,filtered_state,1,1.5981301807024127e-06,9.588781084214476e-05,1.5981301807024127e-06,9.588781084214476e-05,0.0,0.0,0.0,0.0,0.0004654323155184809,0.0004666181370130179,0.0006439963272906995,2.4475826271142093e-07,0,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,0.032116328236732994,-0.0011261475072910088,-0.2764621131111479,-0.769618018537291,0.0013977730680364564,0.002928285601548661,0.0,0.0,0.0,0.0
full_macro_filtered_state,full_macro,Фильтрация: расширенный макронабор,learning_policy,Learning-based policy,22,700,filtered_state,1,1.556948128982833e-06,9.341688773896998e-05,1.5981301807024127e-06,9.588781084214476e-05,-4.1182051719579275e-08,-2.4709231031747564e-06,0.0003074127111006866,0.000411170682074854,0.0004909169527271317,0.0004666181370130179,0.0006439963272906995,2.4475826271142093e-07,0,-0.029319587400413443,-0.06357973184518695,-0.07306042233406104,-0.00708907062543117,0.029694776691669405,-0.04680775689911432,-0.32407831852537666,-0.7480456849703899,0.001402943823092695,0.0034809346209568187,0.12979144271337978,0.40245888901482346,0.000875790649812247,0.0008015613677165023
high_noise_filtered_state,high_noise,Фильтрация: высокий шум измерения,classical_filtered_rule,Classical: filter + fixed rule,-1,700,filtered_state,1,1.6353353759412168e-06,9.8120122556473e-05,1.5981301807024127e-06,9.588781084214476e-05,3.720519523880424e-08,2.232311714328254e-06,0.0003676115240099191,0.0004623378285854103,0.0004956699416123501,0.0005510519282615422,0.0006087652376460554,4.860943221061504e-07,0,0.017037524218055208,-0.008925195789200036,-0.0059002866180741164,0.014847580347974112,-0.017247551315661476,0.034784670960386066,-0.35171197967267614,-0.7342360917833417,0.001681264822755657,0.0031972396359488536,0.16277434784022565,0.654994450544411,0.0014048058016222775,0.0011723686730066851
