policy_name,policy_label,training_seed,evaluation_seed,scenario,scenario_label,period,Y_deviation,Y_level,Y_pct,output_gap_deviation,output_gap_level,output_gap_pct,pi_deviation,pi_level,pi_pct,i_deviation,i_level,i_pct,C_deviation,C_level,C_pct,I_deviation,I_level,I_pct,N_deviation,N_level,N_pct,w_deviation,w_level,w_pct,r_deviation,r_level,r_pct,ra_deviation,ra_level,ra_pct,rb_deviation,rb_level,rb_pct,A_deviation,A_level,A_pct,B_deviation,B_level,B_pct,tax_deviation,tax_level,tax_pct
full_information_rule,Полная информация,-1,700,macro_core_filtered_state,"Фильтрация: инфляция, выпуск и ставка",0,-0.00032978177840014373,0.9996702182215998,-0.032978177840014375,-0.0003297817784001511,-0.0003297817784001511,-0.03297817784001511,-0.00031709767650578375,-0.00031709767691938254,-0.031709767650578376,-0.00015597682180930415,0.012344023177070309,-0.015597682180930415,-0.0003159966428248895,0.5499907485966853,-0.05742190979093999,-0.00029646330072707894,0.1997035366992722,-0.14823165036354,-1.1261475072910088e-05,0.9999887385249271,-0.0011261475072910088,-0.00017889106525789585,0.6598211089347421,-0.027104706857256945,0.00032116328236732995,0.012821163282367331,0.032116328236732994,0.000547434276398473,0.013047434276398429,0.0547434276398473,0.0003211632823673302,-0.0021788367176326685,0.03211632823673302,0.006815003918990925,12.966815003919006,0.05258490678233732,-0.0004049895153761529,1.0395950104846823,-0.03894129955539713,0.001716117329308764,0.35777672338991484,0.1716117329308764
full_information_rule,Полная информация,-1,700,macro_core_filtered_state,"Фильтрация: инфляция, выпуск и ставка",1,-0.0005420706357041966,0.9994579293642958,-0.05420706357041966,-0.0005420706357042171,-0.0005420706357042171,-0.05420706357042171,-0.00032592126515048914,-0.00032592126556408793,-0.03259212651504891,-0.0002811191066252652,0.012218880892254346,-0.028111910662526517,-0.00022336389861077333,0.5500833813408994,-0.04058898069903879,-0.00014954772734437904,0.1998504522726549,-0.07477386367218979,-3.536731285780359e-05,0.9999646326871422,-0.003536731285780359,-0.00043748301345020467,0.6595625169865498,-0.06628530506821283,0.0001740752194882399,0.01267407521948824,0.01740752194882399,0.00017407521921630753,0.012674075219216263,0.017407521921630753,0.0001740752194882393,-0.0023259247805117594,0.01740752194882393,0.008961212590605783,12.96896121259062,0.06914515887813096,-0.0005532010750417538,1.0394467989250167,-0.0531924110617041,0.0006226257560634774,0.35668323181666955,0.062262575606347736
full_information_rule,Полная информация,-1,700,macro_core_filtered_state,"Фильтрация: инфляция, выпуск и ставка",2,-0.00041791640007211227,0.9995820835999278,-0.04179164000721123,-0.00041791640007216024,-0.00041791640007216024,-0.041791640007216024,-0.0003143929374899466,-0.0003143929379035454,-0.03143929374899466,-0.00031944944854776075,0.012180550550331851,-0.03194494485477607,-0.0003450793730924717,0.5499616658664177,-0.06270673148705141,-4.548863688522142e-05,0.19995451136311407,-0.02274431844261079,-0.001982226952173094,0.9980177730478269,-0.1982226952173094,-0.0007268793863160984,0.6592731206136839,-0.11013324035092399,3.721545475092874e-05,0.012537215454750929,0.003721545475092874,3.721545467705312e-05,0.012537215454677009,0.0037215454677053117,3.721545475092805e-05,-0.0024627845452490707,0.003721545475092805,0.009152132192022933,12.969152132192038,0.07061830395079415,-0.0018502307238046356,1.0381497692762538,-0.17790680036582035,0.000994576530146618,0.3570551825907527,0.0994576530146618
full_information_rule,Полная информация,-1,700,macro_core_filtered_state,"Фильтрация: инфляция, выпуск и ставка",3,-0.0008908055033779457,0.999109194496622,-0.08908055033779456,-0.000890805503377945,-0.000890805503377945,-0.0890805503377945,-5.264180949504719e-05,-5.2641809908645994e-05,-0.005264180949504719,-0.00018589705967281638,0.012314102939206796,-0.018589705967281638,-0.00043660433509373764,0.5498701409044164,-0.07933835790141264,-0.00012766970900560115,0.1998723302909937,-0.0638348545028008,-0.0037646652386598145,0.9962353347613402,-0.37646652386598145,-0.0008987847089517268,0.6591012152910483,-0.13617950135632223,-0.00026616362554141894,0.012233836374458582,-0.026616362554141893,-0.0002661636249838839,0.012233836375016072,-0.02661636249838839,-0.00026616362554141883,-0.0027661636255414176,-0.026616362554141883,0.005415066444950156,12.965415066444965,0.041782920099923994,-0.003620888584265014,1.0363791114157934,-0.3481623638716164,4.366552685580727e-05,0.3561042715874619,0.004366552685580727
full_information_rule,Полная информация,-1,700,macro_core_filtered_state,"Фильтрация: инфляция, выпуск и ставка",4,-0.0008969261994346071,0.9991030738005654,-0.08969261994346071,-0.0008969261994346001,-0.0008969261994346001,-0.08969261994346,0.0003688573841124723,0.0003688573836988735,0.03688573841124723,0.0001034681385992815,0.012603468137478894,0.01034681385992815,-0.00014731409850055055,0.5501594311410096,-0.02676945172395352,-0.0005975173883899509,0.19940248261160934,-0.2987586941949765,0.0015885566149558272,1.0015885566149558,0.15885566149558272,-0.0006053690945134379,0.6593946309054866,-0.09172259007779361,-0.0005591589164159764,0.011940841083584024,-0.055915891641597645,-0.0005591589155948817,0.011940841084405074,-0.05591589155948817,-0.0005591589164159767,-0.0030591589164159754,-0.055915891641597666,-0.0013897570035954487,12.95861024299642,-0.010723433669717956,-0.002270400962099517,1.037729599037959,-0.21830778481724897,-0.002591786908966165,0.3534688191516399,-0.2591786908966165
full_information_rule,Полная информация,-1,700,macro_core_filtered_state,"Фильтрация: инфляция, выпуск и ставка",5,-0.0008273729451060636,0.999172627054894,-0.08273729451060635,-0.0008273729451060419,-0.0008273729451060419,-0.08273729451060419,0.00021698386666647998,0.00021698386625288116,0.021698386666647997,0.0002720108953701729,0.012772010894249786,0.02720108953701729,-0.00023483442107452568,0.5500719108184356,-0.04267336773644645,-0.0007666686064694561,0.19923333139352983,-0.38333430323472945,0.002341454174838553,1.0023414541748386,0.2341454174838553,-0.0001666763296913855,0.6598333236703087,-0.025253989347179623,-0.00011620282227968766,0.012383797177720313,-0.011620282227968766,-0.00011620282225832668,0.012383797177741629,-0.011620282225832668,-0.00011620282227968806,-0.002616202822279687,-0.011620282227968806,-0.0026354418700069715,12.957364558130008,-0.0203351996142513,-0.0009168391330700576,1.0390831608669884,-0.08815760894903904,-0.0007739104247693196,0.35528669563583676,-0.07739104247693196
full_information_rule,Полная информация,-1,700,macro_core_filtered_state,"Фильтрация: инфляция, выпуск и ставка",6,-0.0009571222001706836,0.9990428777998294,-0.09571222001706836,-0.0009571222001706348,-0.0009571222001706348,-0.09571222001706348,-7.138555595672439e-05,-7.13855563703232e-05,-0.007138555595672439,0.00022900033547971588,0.012729000334359327,0.02290003354797159,-0.00027562741856479445,0.5500311178209454,-0.050086142128756395,-0.000561129800786847,0.19943887019921244,-0.2805649003934245,0.001180871936764749,1.0011808719367647,0.11808719367647491,0.00024352147318083036,0.6602435214731809,0.03689719290618642,0.0003443133358501622,0.012844313335850163,0.03443133358501622,0.0003443133358780326,0.012844313335877988,0.03443133358780326,0.0003443133358501625,-0.0021556866641498362,0.03443133358501625,0.001806479505907177,12.961806479505922,0.01393888507644425,-0.00012720360303775102,1.0398727963970207,-0.012231115676706142,0.0007751288747811502,0.3568357349353872,0.07751288747811502
full_information_rule,Полная информация,-1,700,macro_core_filtered_state,"Фильтрация: инфляция, выпуск и ставка",7,-8.410928162343083e-06,0.9999915890718376,-0.0008410928162343083,-8.410928162394526e-06,-8.410928162394526e-06,-0.0008410928162394526,-0.00032240457274142046,-0.00032240457315501925,-0.03224045727414205,0.00017328007561003366,0.012673280074489646,0.017328007561003365,-0.00011949607994710121,0.5501872491595631,-0.02171444943766642,-0.0002303046190751945,0.1997696953809241,-0.11515230953759766,0.002417215160203323,1.0024172151602033,0.24172151602033232,0.0006822425963794178,0.6606822425963794,0.10337009036051784,0.0005556140815033384,0.013055614081503339,0.05556140815033384,0.0005556140810998311,0.013055614081099787,0.05556140810998311,0.0005556140815033382,-0.0019443859184966605,0.05556140815033382,0.00900546486739806,12.969005464867413,0.0694866116311578,0.0010106319430753796,1.0410106319431338,0.0971761483726272,0.001629588077935673,0.35769019413854175,0.1629588077935673
full_information_rule,Полная информация,-1,700,macro_core_filtered_state,"Фильтрация: инфляция, выпуск и ставка",8,0.0005566764266434646,1.0005566764266434,0.055667642664346456,0.0005566764266433655,0.0005566764266433655,0.05566764266433655,-0.0006717034683472153,-0.0006717034687608142,-0.06717034683472153,-4.076942150229506e-05,0.012459230577377318,-0.004076942150229506,-0.00014615903360348792,0.5501605862059067,-0.026559556986690228,0.00042732800437431107,0.2004273280043736,0.21366400218715628,-0.0008394934643540797,0.9991605065356459,-0.08394934643540797,0.0008741872410612784,0.6608741872410613,0.13245261228201186,0.0008539534223602292,0.01335395342236023,0.08539534223602292,0.0008539534206493116,0.013353953420649267,0.08539534206493116,0.0008539534223602294,-0.0016460465776397693,0.08539534223602294,0.019660649088198312,12.979660649088213,0.15170253926078928,0.00039409979798032957,1.0403940997980388,0.03789421134426033,0.003399839839779595,0.35946044590038567,0.3399839839779595
full_information_rule,Полная информация,-1,700,macro_core_filtered_state,"Фильтрация: инфляция, выпуск и ставка",9,0.0012009527710651186,1.001200952771065,0.12009527710651186,0.0012009527710650225,0.0012009527710650225,0.12009527710650225,-0.0006728424799984823,-0.0006728424804120811,-0.06728424799984822,-0.00023878898256381412,0.012261211016315799,-0.02387889825638141,0.00011680199486763243,0.5504235472343778,0.021224888823922494,0.0009239903987296183,0.2009239903987289,0.4619951993648108,-0.0004524585858068919,0.9995475414141931,-0.04524585858068919,0.0009765480136465937,0.6609765480136466,0.1479618202494839,0.000640914805102315,0.013140914805102316,0.0640914805102315,0.0006409148024983935,0.013140914802498349,0.06409148024983935,0.0006409148051023158,-0.001859085194897683,0.06409148051023159,0.02779230453723258,12.987792304537248,0.21444679426876967,0.00025593759126829596,1.0402559375913267,0.024609383775796304,0.0022346737021814445,0.3582952797627875,0.22346737021814445
