variant_name,scenario_name,scenario_label,classical_mean_policy_loss,rl_mean_policy_loss,full_information_mean_policy_loss,delta_mean_policy_loss_rl_minus_classical,delta_cumulative_policy_loss_rl_minus_classical,classical_policy_rate_rmse,rl_policy_rate_rmse,classical_mean_abs_rate_gap,rl_mean_abs_rate_gap,classical_peak_consumption_q1,rl_peak_consumption_q1,classical_peak_mean_mpc_change,rl_peak_mean_mpc_change,classical_unstable,rl_unstable
distribution_augmented_filtered_state,distribution_augmented,Фильтрация: с распределительной статистикой,1.621997195518583e-06,1.5630996376942466e-06,1.5981301807024127e-06,-5.889755782433639e-08,-3.5338534694601793e-06,0.00042349094391471673,0.0003612190962145197,0.0003317221643708115,0.0002779732566171686,-0.3281131417621682,-0.2912909772851819,0.0032296782908172172,0.003284714195614588,0,0
distribution_augmented_no_distribution_state,distribution_augmented,Фильтрация: с распределительной статистикой,1.621997195518583e-06,1.9492030750052767e-06,1.5981301807024127e-06,3.2720587948669376e-07,1.963235276920163e-05,0.00042349094391471673,0.0006654536027441713,0.0003317221643708115,0.0005800520921600887,-0.3281131417621682,-0.37195099836940404,0.0032296782908172172,0.003352779176992282,0,0
full_macro_filtered_state,full_macro,Фильтрация: расширенный макронабор,1.6160340375891633e-06,1.556948128982833e-06,1.5981301807024127e-06,-5.908590860633023e-08,-3.545154516379815e-06,0.0004246499771591096,0.000411170682074854,0.0003377669205231538,0.0003074127111006866,-0.337065393761907,-0.32407831852537666,0.003196598634957512,0.0034809346209568187,0,0
high_noise_filtered_state,high_noise,Фильтрация: высокий шум измерения,1.6353353759412168e-06,1.573968667413657e-06,1.5981301807024127e-06,-6.136670852755975e-08,-3.682002511653574e-06,0.0004623378285854103,0.00048763884213453635,0.0003676115240099191,0.00036467057816279535,-0.35171197967267614,-0.32481755307661714,0.0031972396359488536,0.003369814292949108,0,0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",1.6160903703607804e-06,1.557901763523752e-06,1.5981301807024127e-06,-5.818860683702853e-08,-3.491316410221711e-06,0.0004316144035914485,0.00046800227912437793,0.0003358382351206433,0.000351168395804926,-0.3338737865796674,-0.30772867297189194,0.003128870806137038,0.0032851433819627157,0,0
macro_core_filtered_state_uncertainty,macro_core,"Фильтрация: инфляция, выпуск и ставка",1.6160903703607804e-06,2.342613536523279e-06,1.5981301807024127e-06,7.265231661624985e-07,4.35913899697499e-05,0.0004316144035914485,0.0008812814657085706,0.0003358382351206433,0.0007721900401028884,-0.3338737865796674,-0.4049009003482925,0.003128870806137038,0.003261507875654643,0,0
macro_core_raw_observations,macro_core,"Фильтрация: инфляция, выпуск и ставка",1.6160903703607804e-06,1.6350908430196825e-06,1.5981301807024127e-06,1.9000472658902022e-08,1.1400283595341281e-06,0.0004316144035914485,0.0005040032474828567,0.0003358382351206433,0.0003750494309750298,-0.3338737865796674,-0.32908830952051416,0.003128870806137038,0.0032650960890693165,0,0
thin_information_filtered_state,thin_information,Фильтрация: инфляция и ставка,1.709182726869787e-06,1.5626969328471075e-06,1.5981301807024127e-06,-1.4648579402267944e-07,-8.789147641360766e-06,0.0004658736855637132,0.0003849805316050226,0.0003693303850972654,0.0002843026842672717,-0.3692642652090354,-0.3287396185378486,0.003151365698566444,0.003295885815488217,0,0
