variant_name,scenario_name,scenario_label,input_mode,label,training_seed,iteration,mean_episode_return,std_episode_return,best_return_so_far,validation_return,best_validation_return,critic_loss,mean_ratio,clip_fraction,mean_log_prob,mean_action_std,mean_entropy,num_steps
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",filtered_state,macro_core_filtered_state,11,0,-0.0020483472984836044,0.001006030049521763,-0.0020483472984836044,-0.0015387088188151142,-0.0015387088188151142,3.003169037210341e-06,0.9942472968511771,0.0625,7.379816770294233,0.00012426714719025695,-7.574138363749369,480.0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",filtered_state,macro_core_filtered_state,11,1,-0.002818687663462319,0.0006445791764442132,-0.0020483472984836044,-0.003264612156123787,-0.0015387088188151142,1.1357603142077012e-06,1.0189693919891951,0.17708333333333334,6.671036769134262,0.000124558109782721,-7.571799672503777,480.0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",filtered_state,macro_core_filtered_state,11,2,-0.002178272245262471,0.0011261653098290087,-0.0020483472984836044,-0.0025786417063521994,-0.0015387088188151142,4.7070753701081886e-07,0.9809035415340492,0.20833333333333334,7.160170347260959,0.0001250488558486069,-7.567867517029156,480.0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",filtered_state,macro_core_filtered_state,11,3,-0.0026193708535797973,0.0013342239256292207,-0.0020483472984836044,-0.00240188211231206,-0.0015387088188151142,3.044412708288782e-07,0.9108647796925355,0.17708333333333334,6.4274784503162925,0.00012554745796749959,-7.563888186533432,480.0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",filtered_state,macro_core_filtered_state,11,4,-0.0028801005892057554,0.0010669740357330882,-0.0020483472984836044,-0.002580975181031221,-0.0015387088188151142,2.466649867715979e-07,1.0303704481484397,0.07291666666666667,6.967222030272907,0.00012422798154765433,-7.5744535863706375,480.0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",filtered_state,macro_core_filtered_state,11,5,-0.0022262218829141064,0.001035859180945863,-0.0020483472984836044,-0.0031342788036165933,-0.0015387088188151142,3.382902657621614e-07,0.9713822814016263,0.020833333333333332,7.422654474328264,0.0001230922239948769,-7.583638161761978,480.0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",filtered_state,macro_core_filtered_state,11,6,-0.00244228382659035,0.0015317351578109644,-0.0020483472984836044,-0.0018983505358598,-0.0015387088188151142,3.3889494728949133e-07,0.9707437935643921,0.052083333333333336,7.074949485187946,0.0001221421333224939,-7.591386630910383,480.0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",filtered_state,macro_core_filtered_state,11,7,-0.002128395506319971,0.000993108774023706,-0.0020483472984836044,-0.002835878294329592,-0.0015387088188151142,3.324913564210666e-07,1.020814779972086,0.010416666666666666,6.996019858815039,0.00012204405240230232,-7.592189959937168,480.0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",filtered_state,macro_core_filtered_state,11,8,-0.002943906263379777,0.001359584599737081,-0.0020483472984836044,-0.001982075341196627,-0.0015387088188151142,2.1394604892687048e-07,0.9397305306162371,0.125,6.5255574847575275,0.00012194764952981153,-7.5929801743317045,480.0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",filtered_state,macro_core_filtered_state,11,9,-0.0027811199131763118,0.0010041109860843874,-0.0020483472984836044,-0.002491414692513312,-0.0015387088188151142,3.807124035113941e-07,0.9920807478303377,0.052083333333333336,6.98147390541689,0.00012141025426655871,-7.597396682925715,480.0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",filtered_state,macro_core_filtered_state,11,10,-0.0022312589154412183,0.0013024986744533187,-0.0020483472984836044,-0.0016270072639623851,-0.0015387088188151142,3.1423517756292535e-07,0.9441251614470897,0.19791666666666666,6.579099083853798,0.00012174669281592058,-7.594629426895451,480.0
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",filtered_state,macro_core_filtered_state,11,11,-0.0020914909847606447,0.0008541252828583481,-0.0020483472984836044,-0.002644099886247457,-0.0015387088188151142,3.3413866026158676e-07,0.98735671789309,0.03125,6.837287165286715,0.00012215817165689205,-7.591255330751566,480.0
