variant_name,scenario_name,scenario_label,policy_name,policy_label,training_seed,evaluation_seed,period,input_mode,include_distributional_state,reward,loss,inflation_loss,output_gap_loss,rate_change_loss,policy_rate_reduced,filtered_rule_rate_reduced,full_information_rate_reduced,residual_action,policy_shock,current_rate,true_rstar_gap,filtered_rstar_gap,filtered_var_rstar_gap,true_productivity_gap,filtered_productivity_gap,filtered_var_productivity_gap,true_fiscal_gap,filtered_fiscal_gap,filtered_var_fiscal_gap,true_inflation_gap,filtered_inflation_gap,filtered_var_inflation_gap,true_output_gap,filtered_output_gap,filtered_var_output_gap,true_low_liquidity_gap,filtered_low_liquidity_gap,filtered_var_low_liquidity_gap,true_mean_mpc_gap,filtered_mean_mpc_gap,filtered_var_mean_mpc_gap,observed_pi,observed_output_gap,observed_C,observed_w,observed_share_low_liquidity,observed_mean_mpc
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,0,filtered_state,1,-4.195744348778999e-14,4.195744348778999e-14,0.0,0.0,4.195744348778999e-14,-9.160506916954977e-07,3.646212919372013e-05,-9.160506916954977e-07,-3.737817988541563e-05,0.0,0.0,-3.0535023056516583e-06,1.104274361015573e-06,1.429441842584181e-07,-0.00015073985819836819,-1.0038900661004501e-05,6.287905869656246e-07,0.00016671870650201192,-1.3603749747896268e-06,2.390307728327491e-07,0.0,4.2708813523167646e-05,1.556168220180483e-08,0.0,0.0004509834879997336,1.5575367611051588e-07,0.0,-2.5062231425788504e-05,8.284687018570203e-08,0.0,-9.028745181866031e-05,1.0936944916440333e-06,3.988622983166319e-05,0.0004535641743526859,,,,
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,1,filtered_state,1,-3.6258272368164306e-09,3.6258272368164306e-09,5.560268173940208e-11,3.5700523286679562e-09,1.722264090722802e-13,9.398933218581451e-07,2.0630432094776406e-05,9.398933218581451e-07,-1.969053877291826e-05,0.0,-9.160506916954977e-07,-1.647704400707987e-05,-2.4388211316108433e-06,1.4238239882708148e-07,-0.00023792078542381602,3.881148323869916e-05,5.829229731985965e-07,-0.0002408408039685452,7.3241482178771185e-06,2.3698549572354417e-07,7.456720575387151e-06,5.511221023058436e-05,1.4313400057998552e-08,8.449913997985963e-05,-7.459148494177222e-05,1.536761763213199e-07,6.77584637872098e-06,-3.3311457694090026e-05,2.436256218311826e-08,-3.419616779337584e-05,-0.0004238748444490606,1.0765834180985053e-06,8.622133929154478e-05,-0.00010524208698728423,,,,
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,2,filtered_state,1,-2.420536059191292e-07,2.420536059191292e-07,4.327935099157372e-09,2.3732390144863688e-07,4.0176937133494056e-10,9.058021587091422e-05,8.308538333585172e-05,9.058021587091422e-05,7.494832535062502e-06,0.0,9.398933218581451e-07,0.00011494204321035649,1.074283355449817e-05,1.4205257974186916e-07,0.0004333880572763016,-8.333934102399364e-05,5.592873510580267e-07,-0.00017392886423837976,-1.723388752872463e-05,2.361864334760515e-07,6.578704355081912e-05,0.00010370764438127523,1.4284944801756823e-08,0.0006889468795903453,0.0008676311459367387,1.5363934774941685e-07,-7.095514587657506e-06,-4.0058342470049384e-05,1.7975619536942307e-08,-0.0002682544791501082,-0.0003463804895114984,1.0604779774421253e-06,0.00010923406633911807,0.0008908783428159576,,,,
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,3,filtered_state,1,-4.180960296019144e-09,4.180960296019144e-09,2.4515600031462665e-10,3.6325419414183413e-09,3.0326235428617533e-10,0.00016845991210634844,0.00011944364941913753,0.00016845991210634844,4.901626268721091e-05,0.0,9.058021587091422e-05,0.00031603858320020074,4.396775864010122e-06,1.418720110873616e-07,0.0007733374752048641,1.3234122485746849e-05,5.481421208455687e-07,-0.00042958357795966205,1.8271634351680036e-06,2.3591834521361728e-07,1.565745829675515e-05,0.00013292623289589848,1.4283970868039574e-08,8.523546141622442e-05,-0.0001359557134095942,1.5362151462778475e-07,-4.1794675902083536e-05,-7.13380520460721e-05,1.7560976331517945e-08,4.402595221319855e-05,-0.0010217315183398668,1.056147507715091e-06,0.00020348989565495984,-0.00020253959488727942,,,,
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,4,filtered_state,1,-1.4943038968840545e-07,1.4943038968840545e-07,1.87828392880444e-09,1.4754623754201617e-07,5.868217584861733e-12,0.00017929339500416273,5.0679949997495106e-05,0.00017929339500416273,0.0001286134450066676,0.0,0.00016845991210634844,0.00033748329999479156,-1.1641375790003088e-06,1.417736948141044e-07,-0.0009072235516469481,2.5181358153421093e-05,5.43112756066071e-07,1.134004150235915e-05,5.6013104817692426e-06,2.3584101917316907e-07,-4.333917314398649e-05,-9.992811278748417e-05,1.4283668455970886e-08,-0.0005432241481046589,-0.0005846692386368216,1.5361234794302505e-07,-2.129481078599336e-05,-0.00010114398174991725,1.7548821163666515e-08,0.0003458890626551971,0.0006990939734868196,1.0548902886621508e-06,-0.0001594692415776727,-0.0005485395335751156,,,,
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,5,filtered_state,1,-9.173967571015115e-07,9.173967571015115e-07,1.625033039699924e-08,8.994009998947859e-07,1.7454268097263475e-09,0.0003661316571308667,0.00018281236711152285,0.0003661316571308667,0.00018331929001934387,0.0,0.00017929339500416273,0.00044322314597412154,9.786230543565967e-06,1.4171916341677132e-07,-0.0011007276410242,-7.345819732379209e-05,5.408909391982369e-07,0.0003042762447229443,-1.4867276686203964e-05,2.3582291561717625e-07,0.00012747678375688351,5.9383748080111424e-05,1.4283470003903325e-08,0.0013411942438698325,0.0007372915949197068,1.536078992035656e-07,5.621169916998564e-05,3.4453693121049546e-05,1.7546861679926688e-08,-0.00039744128673533237,-0.00017031504614527552,1.0544668850524784e-06,7.186400001702952e-05,0.0007524554470768253,,,,
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,6,filtered_state,1,-4.461583360190515e-06,4.461583360190515e-06,8.570095261226198e-08,4.373016636209321e-06,2.865771368931799e-09,0.0006055380634332795,0.0005336341575024174,0.0006055380634332795,7.190390593086213e-05,0.0,0.0003661316571308667,0.00035536097135839925,3.3224514432383416e-05,1.4168799796271836e-07,-0.0007874980064529985,-0.00026677900300183145,5.399166430495262e-07,-8.738348317043374e-05,-5.270865302630196e-05,2.35820062022928e-07,0.00029274725039231706,0.00034324311485908445,1.4283366208625539e-08,0.0029573693162029398,0.0030110731065202036,1.5360587923104297e-07,6.371584667092083e-06,-7.707399733622589e-06,1.754446103490164e-08,-0.0008883472022939822,-0.001319628773752509,1.0543121964360225e-06,0.00038905181433333006,0.0030329311524435556,,,,
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,7,filtered_state,1,-9.276443516924866e-06,9.276443516924866e-06,1.90173160208235e-07,9.08073367194186e-06,5.536684774770201e-09,0.0009383047917812381,0.0008526297728491889,0.0009383047917812381,8.567501893204919e-05,0.0,0.0006055380634332795,0.0005279243610465384,4.6294186899250926e-05,1.4166959267605122e-07,-0.0007223473470745267,-0.0003500852425218376,5.394900167167717e-07,0.00033507541213840923,-6.547662675440499e-05,2.3581994923830714e-07,0.00043608847749996215,0.0005550975961787833,1.4283317306355174e-08,0.0042616273117066115,0.004401892109217746,1.5360499040563478e-07,-0.00010245644887221546,-0.00016341801235784101,1.7543161085284166e-08,-0.0012876867608398342,-0.002143271571760404,1.0542540752659177e-06,0.0006158414671200915,0.0043958566333739575,,,,
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,8,filtered_state,1,-1.305848051366001e-05,1.305848051366001e-05,2.821616107030668e-07,1.2772770348145438e-05,3.5485548115048027e-09,0.0012047088011919375,0.0010598315842530828,0.0012047088011919375,0.00014487721693885475,0.0,0.0009383047917812381,0.00039775240109267396,3.995333685337673e-05,1.4165837529445287e-07,0.0005644932199173569,-0.00030766434242229297,5.393031131436567e-07,-3.2368050445957916e-05,-5.027741757928912e-05,2.3581982110699632e-07,0.0005311888653794117,0.0004705539427189023,1.4283295038460003e-08,0.005054259658574228,0.004780878792711922,1.5360460320689094e-07,-0.0001789798779300335,-0.00030702681154175953,1.7542650920352345e-08,-0.0014304385676155171,-0.0010737624985537068,1.0542322938293047e-06,0.00042833703077739625,0.004816041942719876,,,,
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",full_information_rule,Полная информация,-1,700,9,filtered_state,1,-8.454411177756562e-06,8.454411177756562e-06,2.0656893274948225e-07,8.247750183079117e-06,9.206192796263486e-11,0.00124761845697304,0.001151222663730891,0.00124761845697304,9.639579324214904e-05,0.0,0.0012047088011919375,0.00015830999857390478,1.75396850269442e-05,1.416513417715954e-07,0.0007370558833462278,-0.00013829749220949333,5.392211915234829e-07,-7.693767086555217e-05,-1.1656304111074327e-05,2.3581943144257882e-07,0.00045449855087720823,0.00031696969531743406,1.4283284931703526e-08,0.004061465297913825,0.004267419586549498,1.53604434504632e-07,-0.0002681429495442951,-0.0002822148517999971,1.7542484270575696e-08,-0.0009883446724082631,-0.0001316238663974863,1.0542242984619725e-06,0.00022977194349108328,0.004298365203429077,,,,
