Сценарий,"Выигрыш от оценивания скрытого состояния, %","Выигрыш относительно узкого фиксированного правила, %",Разрыв до внутреннего ориентира при полной информации
Базовый макроэкономический набор × умеренная разделимость режимов,-9.440955594632973,71.08062370388848,-0.0038832084671516897
Базовый макроэкономический набор × высокая разделимость режимов,-8.573392393555398,69.31125170329847,-0.004436671610166109
Ограниченный информационный набор × умеренная разделимость режимов,11.92978195895154,56.67282552625668,-0.002398887042916159
Ограниченный информационный набор × высокая разделимость режимов,52.58903332340834,64.28817078223715,-0.0034137260541752196
