scenario_name,filtered_classical,filtered_selected,full_information_classical,raw_selected,scenario_label,filtered_selected_vs_classical_pct,filtered_selected_vs_raw_pct,full_information_gap_filtered_selected,full_information_gap_raw_selected
macro_core_moderate_gap,0.007605285742990279,0.00219940120240988,0.0060826096695615695,0.00200966922342712,Базовый макроэкономический набор × умеренная разделимость режимов,71.08062370388848,-9.440955594632973,-0.0038832084671516897,-0.004072940446134449
macro_core_strong_gap,0.0084860241462418,0.0026042545906374602,0.007040926200803569,0.0023986121583063303,Базовый макроэкономический набор × высокая разделимость режимов,69.31125170329847,-8.573392393555398,-0.004436671610166109,-0.004642314042497239
thin_information_moderate_gap,0.008502106752605761,0.0036837226266454104,0.0060826096695615695,0.00418271091928996,Ограниченный информационный набор × умеренная разделимость режимов,56.67282552625668,11.92978195895154,-0.002398887042916159,-0.0018998987502716093
thin_information_strong_gap,0.01015685903040495,0.0036272001508271404,0.00704092620500236,0.007650550927530459,Ограниченный информационный набор × высокая разделимость режимов,64.28817078223715,52.58903332340834,-0.0034137260541752196,0.0006096247225280986
