scenario_name,scenario_label,policy_name,policy_label,brier_score,log_score,regime_accuracy,mean_entropy,num_periods,num_trajectories
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,linear_posterior_mean,Линейное правило: Апостериорное среднее,0.1674512040837362,0.5030474810089733,0.7416666666666667,0.5021536798072281,3000,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,linear_posterior_mean,Линейное правило: Апостериорное среднее,0.08584659427753792,0.28313974354620763,0.888,0.27679237863254247,3000,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,linear_posterior_mean,Линейное правило: Апостериорное среднее,0.24592357354520478,0.6856114905900895,0.5736666666666667,0.6255718185183323,3000,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,linear_posterior_mean,Линейное правило: Апостериорное среднее,0.17098276343398033,0.5166787043618667,0.7523333333333333,0.4744211695733208,3000,50
