scenario_name,scenario_label,info_set_name,info_set_label,policy_name,policy_label,coordinate_name,coordinate_pass,standardized_signals,validation_cumulative_loss,validation_policy_volatility,validation_unstable_episodes,rho_i,feature_names,weight_observed_pi,weight_lagged_observed_pi,weight_observed_output_gap,weight_lagged_observed_output_gap,weight_mean_rstar_gap,weight_mean_productivity_gap,weight_mean_fiscal_gap,weight_mean_inflation_gap,weight_mean_output_gap,weight_stress_probability,weight_stress_entropy,weight_filtered_variance_trace,weight_mean_low_liquidity_gap,weight_mean_mean_mpc_gap
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_pi,2,0,0.0007654626860943596,0.0005885645616915967,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_pi,2,0,0.0009005513657441529,0.0006747302029922506,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_pi,2,0,0.0012065345240977483,0.0009402339579066707,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_output_gap,1,0,0.001243160873802582,0.0010281382771501757,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_output_gap,2,0,0.001243160873802582,0.0010281382771501757,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_pi,2,0,0.0015424137542080364,0.001162470701016353,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_pi,1,0,0.0017422291586083657,0.0012991856030974633,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_pi,1,0,0.0017422291586083657,0.0012991856030974633,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_output_gap,1,0,0.0017422291586083657,0.0012991856030974633,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_output_gap,2,0,0.0017422291586083657,0.0012991856030974633,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_pi,2,0,0.003923557929077765,0.0016539428177183841,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_pi,1,0,0.0047303353061760416,0.0020922091608408773,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_pi,1,0,0.005156256701730392,0.0022457363541107398,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_pi,2,0,0.005810101076119243,0.002078739932097594,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_pi,1,0,0.013280079138597425,0.0029980445357946097,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_pi,1,0,0.013698708663547287,0.0029567485841488833,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_pi,1,0,0.015895514793532017,0.0028078682565780473,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,1.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_output_gap,1,0,0.016741646039155164,0.002906920380322913,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_output_gap,2,0,0.016741646039155164,0.002906920380322913,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,начальная точка,0,0,0.016917271362293016,0.002652460522795836,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,1.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_pi,1,0,0.016917271362293016,0.002652460522795836,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,1.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_pi,1,0,0.01774328140878604,0.0027079151144037716,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,lagged_observed_pi,1,0,0.0184699035068378,0.002600500000050595,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,2.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_pi,1,0,0.018658745217444983,0.0024971872991460605,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,2.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_output_gap,1,0,0.018722424491917213,0.0024763000062010356,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_output_gap,2,0,0.018722424491917213,0.0024763000062010356,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_pi,1,0,0.0192729934308919,0.0023582456475783344,0,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,2.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,rho_i,2,0,0.00044877727623246456,0.00018478329561123235,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,mean_rstar_gap,3,0,0.00044877727623246456,0.00018478329561123235,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,mean_productivity_gap,3,0,0.00044877727623246456,0.00018478329561123235,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,mean_fiscal_gap,3,0,0.00044877727623246456,0.00018478329561123235,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,mean_inflation_gap,3,0,0.00044877727623246456,0.00018478329561123235,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,mean_output_gap,3,0,0.00044877727623246456,0.00018478329561123235,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,rho_i,3,0,0.00044877727623246456,0.00018478329561123235,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,mean_rstar_gap,3,0,0.00045266857225613206,0.00016557298218561114,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,mean_fiscal_gap,3,0,0.00045296002751398396,0.0001715702080622926,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,mean_rstar_gap,3,0,0.000456981693320371,0.00014653493433785435,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,mean_fiscal_gap,3,0,0.0004573651177964276,0.00015839209113346708,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,mean_rstar_gap,3,0,0.0004617185895557219,0.00012776049763997297,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,mean_fiscal_gap,3,0,0.0004619930135629915,0.00014526134079690097,0,0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.0,0.5,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
