scenario_name,scenario_label,loss_observed,loss_mean,loss_regime,loss_uncertainty,loss_distribution,gain_regime,gain_uncertainty
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,0.0006308973786771961,0.0005158715090662195,0.0005158715090662195,0.0005158715090662195,0.0005158715090662195,-0.0,-0.0
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,0.0007385905780910342,0.000731882554509842,0.000731882554509842,0.000731882554509842,0.0006891263481721452,-0.0,-0.0
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,0.0006308973786771961,0.0005562857599238856,0.0005562857599238856,0.0005562857599238856,0.0005310840103410802,-0.0,-0.0
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,0.0007385905780910342,0.0007647100429128986,0.0007647100429128986,0.0007647100429128986,0.0007039407068832429,-0.0,-0.0
