scenario_name,scenario_label,info_set_name,info_set_label,policy_name,policy_label,evaluation_seed,standardized_signals,mean_policy_loss,cumulative_policy_loss,cumulative_inflation_loss,cumulative_output_gap_loss,cumulative_rate_change_loss,policy_rate_volatility,unstable
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,919,0,9.035987512172714e-06,0.0005421592507303629,1.4513273138938289e-05,0.0005276459775914247,0.0,0.0,0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,920,0,1.860485860817434e-05,0.0011162915164904604,2.2764284186373572e-05,0.001093527232304087,0.0,0.0,0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,921,0,1.1062647844209299e-05,0.0006637588706525579,1.3601757183820684e-05,0.0006501571134687372,0.0,0.0,0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,922,0,1.106639798270155e-05,0.000663983878962093,1.4634870644374383e-05,0.0006493490083177187,0.0,0.0,0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,923,0,9.888944664493171e-06,0.0005933366798695903,1.4557616797124466e-05,0.0005787790630724658,0.0,0.0,0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,924,0,5.73961726774581e-06,0.0003443770360647486,8.921939656392824e-06,0.00033545509640835576,0.0,0.0,0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,925,0,8.718306114526812e-06,0.0005230983668716088,2.323068893280529e-05,0.0004998676779388034,0.0,0.0,0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,926,0,6.719104669011453e-06,0.0004031462801406872,9.963127474654245e-06,0.00039318315266603294,0.0,0.0,0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,927,0,9.98040877896565e-06,0.0005988245267379389,1.3944758721464478e-05,0.0005848797680164746,0.0,0.0,0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,928,0,9.650441303906142e-06,0.0005790264782343685,1.4568159947814835e-05,0.0005644583182865537,0.0,0.0,0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,929,0,1.7118878994321866e-05,0.001027132739659312,2.0558602313169052e-05,0.001006574137346143,0.0,0.0,0
