сценарий,средняя потеря,накопленная потеря,RMSE ставки,дополнительная потеря относительно полной информации
"Фильтрация: инфляция, выпуск и ставка",5.010580461439256e-07,3.006348276863554e-05,0.0009029469769399124,-5.136688729323117e-05
Фильтрация: расширенный макронабор,5.110589541059797e-07,3.0663537246358784e-05,0.000890231283392163,-5.0766832815507917e-05
Фильтрация: инфляция и ставка,5.405339239512095e-07,3.243203543707257e-05,0.0009225479771133914,-4.899833462479414e-05
Фильтрация: высокий шум измерения,4.937649549099651e-07,2.9625897294597905e-05,0.0009112121117241857,-5.18044727672688e-05
Фильтрация: с распределительной статистикой,5.07963642450544e-07,3.0477818547032638e-05,0.0008970629636271116,-5.0952551514834076e-05
