сценарий,средний RMSE состояния,RMSE распределительного фактора,логарифм правдоподобия
"Фильтрация: инфляция, выпуск и ставка",0.00046002694492393667,0.0005607264320747427,725.3176334426552
Фильтрация: расширенный макронабор,0.0004186863563102623,0.0004863973965845358,1510.1761522199165
Фильтрация: инфляция и ставка,0.000609754623559648,0.00040090928214587965,403.75203588105256
Фильтрация: высокий шум измерения,0.0005214144879344819,0.0005592576303393405,687.0307104128152
Фильтрация: с распределительной статистикой,0.0004154849610742261,0.0004465321507045896,1288.3484694774083
