сценарий,пик отклика потребления нижнего квантиля,пик отклика потребления верхнего квантиля,изменение доли low-liquid households,изменение средней MPC
"Фильтрация: инфляция, выпуск и ставка",-0.2926107938886361,-0.6937654851074402,0.0009060168060842644,0.001160850722872836
Фильтрация: расширенный макронабор,-0.29022187838276853,-0.6895489185887895,0.0009299485371848659,0.0011039643091698692
Фильтрация: инфляция и ставка,-0.2889974313722399,-0.6624495206312293,0.0011591071499779115,0.0012332248150490333
Фильтрация: высокий шум измерения,-0.27449387377003587,-0.6782020566355302,0.0010044315429866835,0.0009057771526689989
Фильтрация: с распределительной статистикой,-0.2974736576596906,-0.6992140793895616,0.0009409478832832496,0.0012134829318884155
