misspecification_label,"Инфляция, выпуск, ставка × сильный режимный разрыв","Инфляция, выпуск, ставка × умеренный режимный разрыв","Инфляция, ставка × сильный режимный разрыв","Инфляция, ставка × умеренный режимный разрыв"
Inflation-only simple rule,-78.92208144312114,-63.39442260777884,-188.67899461349282,-216.53925488165433
Normal-biased regime persistence,72.72772958527989,73.9179658292344,62.891848579606076,56.22198151018938
Overstated measurement noise,73.00218599676381,74.18260396012995,56.43406163588118,48.08036037265303
Single-regime normal-only filter,71.73455888985606,73.57536204875946,64.28817077584257,56.67282554320929
