scenario_name,scenario_label,misspecification_name,misspecification_label,evaluation_seed,switching_classical_cumulative_loss,switching_classical_policy_volatility,misspecified_cumulative_loss,misspecified_mean_loss,misspecified_policy_volatility,misspecified_corner_share,misspecified_unstable
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",overstated_noise,Overstated measurement noise,902,0.015012999962361325,0.0024099874906389008,0.015452771735404736,0.00025754619559007895,0.002389140031438671,0.15,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",overstated_noise,Overstated measurement noise,903,0.0016684492181610023,0.0018045284952410768,0.0017102066982440352,2.850344497073392e-05,0.0017916917275017292,0.0,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",overstated_noise,Overstated measurement noise,904,0.0029807429643692943,0.0015493497926901455,0.0032755556403578027,5.4592594005963376e-05,0.001660903366398949,0.0,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",overstated_noise,Overstated measurement noise,905,0.010983005033763737,0.0026480340263054488,0.010757461738762828,0.00017929102897938046,0.002709922833345293,0.13333333333333333,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",overstated_noise,Overstated measurement noise,906,0.010884272951158017,0.0038087066608171486,0.010833828083950755,0.00018056380139917924,0.0037834737245327097,0.016666666666666666,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",overstated_noise,Overstated measurement noise,907,0.0018782814057803842,0.0019424274863863885,0.0018619375378237325,3.103229229706221e-05,0.0019692599622124283,0.0,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",overstated_noise,Overstated measurement noise,908,0.007677478707457681,0.004398461903753272,0.007403765509393875,0.00012339609182323124,0.00427844768285414,0.05,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",overstated_noise,Overstated measurement noise,909,0.012717562875304947,0.0031162623229617544,0.012918521875820384,0.00021530869793033973,0.0031160979076316304,0.15,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",wrong_persistence,Normal-biased regime persistence,900,0.002972773121195103,0.0015496325302122248,0.002941055228682611,4.9017587144710186e-05,0.0015336577403441101,0.0,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",wrong_persistence,Normal-biased regime persistence,901,0.011380675638308904,0.0027882596881025207,0.011182282945716686,0.00018637138242861144,0.0027711841411897187,0.11666666666666667,0
