variant_name,training_seed,best_validation_return,final_validation_return,final_mean_episode_return,best_validation_return_selected,final_validation_return_selected,final_mean_episode_return_selected
thin_information_moderate_gap_rawobs,11,-0.00232804848921643,-0.005776549450628117,-0.005109892213905888,,,
thin_information_moderate_gap_rawobs,22,-0.001817908642011576,-0.005544561919314127,-0.004218491243095377,-0.003844450693374556,-0.003844450693374556,-0.004156867169659762
