environment_name,environment_label,scenario_name,scenario_label,input_mode,evaluation_seed,policy_name,policy_label,cumulative_loss,mean_loss,policy_volatility,corner_share,unstable
baseline_environment,Baseline regime environment,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",raw_observations,901,retuned_simple_rule,Filter + retuned simple rule,0.0007122715091540126,1.1871191819233542e-05,0.00023597667449622067,0.0,0
baseline_environment,Baseline regime environment,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",raw_observations,902,retuned_simple_rule,Filter + retuned simple rule,0.001321023639849138,2.20170606641523e-05,0.0003488012810103575,0.0,0
baseline_environment,Baseline regime environment,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",raw_observations,903,retuned_simple_rule,Filter + retuned simple rule,0.0005983337545769317,9.972229242948862e-06,0.000281189622068199,0.0,0
baseline_environment,Baseline regime environment,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",raw_observations,904,retuned_simple_rule,Filter + retuned simple rule,0.0005127512243915895,8.545853739859825e-06,0.000202475473747791,0.0,0
baseline_environment,Baseline regime environment,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",raw_observations,905,retuned_simple_rule,Filter + retuned simple rule,0.0007901702548710546,1.316950424785091e-05,0.0002739733386304379,0.0,0
baseline_environment,Baseline regime environment,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",raw_observations,906,retuned_simple_rule,Filter + retuned simple rule,0.0009802455362370784,1.6337425603951306e-05,0.0004307528006736,0.0,0
baseline_environment,Baseline regime environment,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",raw_observations,907,retuned_simple_rule,Filter + retuned simple rule,0.0005205172574631741,8.675287624386235e-06,0.0002686861977195249,0.0,0
baseline_environment,Baseline regime environment,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",raw_observations,908,retuned_simple_rule,Filter + retuned simple rule,0.0006591183638078891,1.0985306063464817e-05,0.00036114502356771077,0.0,0
baseline_environment,Baseline regime environment,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",raw_observations,909,retuned_simple_rule,Filter + retuned simple rule,0.0007151534600481313,1.191922433413552e-05,0.00026028973481802834,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,900,fixed_classical_rule,Filter + fixed rule,0.0031279307981134006,5.2132179968556674e-05,0.0017284519408250888,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,901,fixed_classical_rule,Filter + fixed rule,0.016125024644625903,0.00026875041074376506,0.0042816022099343085,0.31666666666666665,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,902,fixed_classical_rule,Filter + fixed rule,0.013344483318562682,0.00022240805530937804,0.0024355248989587626,0.2,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,903,fixed_classical_rule,Filter + fixed rule,0.001668736861353794,2.7812281022563233e-05,0.0018071705584514052,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,904,fixed_classical_rule,Filter + fixed rule,0.002970037544607464,4.950062574345774e-05,0.001542270538261874,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,905,fixed_classical_rule,Filter + fixed rule,0.010809653227407167,0.00018016088712345278,0.002989539392139529,0.25,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,906,fixed_classical_rule,Filter + fixed rule,0.011227994083863177,0.00018713323473105295,0.003567736998061342,0.15,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,907,fixed_classical_rule,Filter + fixed rule,0.005470464130641556,9.117440217735926e-05,0.00319620944137341,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,908,fixed_classical_rule,Filter + fixed rule,0.00882043242855915,0.0001470072071426525,0.005285978080208427,0.05,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,909,fixed_classical_rule,Filter + fixed rule,0.015732114433422987,0.00026220190722371644,0.002594604041278477,0.18333333333333332,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,900,learned_policy,Learned policy (raw_observations),0.0009837644882329912,1.6396074803883187e-05,0.0006496287165463451,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,901,learned_policy,Learned policy (raw_observations),0.003606584034224868,6.01097339037478e-05,0.001696162943711112,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,902,learned_policy,Learned policy (raw_observations),0.004170826369998779,6.951377283331298e-05,0.001635639256122876,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,903,learned_policy,Learned policy (raw_observations),0.0010174755079857321,1.6957925133095535e-05,0.0010170844568488185,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,904,learned_policy,Learned policy (raw_observations),0.0008717851899323619,1.4529753165539365e-05,0.0007410690392642847,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,905,learned_policy,Learned policy (raw_observations),0.0031387841423850147,5.231306903975025e-05,0.0021094453521078613,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,906,learned_policy,Learned policy (raw_observations),0.0025667029527721963,4.2778382546203275e-05,0.0017731137891791302,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,907,learned_policy,Learned policy (raw_observations),0.001416313020702627,2.3605217011710453e-05,0.0013723973344050712,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,908,learned_policy,Learned policy (raw_observations),0.0025269148122697123,4.211524687116187e-05,0.002082775336133594,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,909,learned_policy,Learned policy (raw_observations),0.0023061728675626853,3.843621445937809e-05,0.0010634277719509156,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,900,retuned_simple_rule,Filter + retuned simple rule,0.00038465916968726454,6.410986161454409e-06,0.0001712407412028867,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,901,retuned_simple_rule,Filter + retuned simple rule,0.0010451861533035162,1.741976922172527e-05,0.00035975456222604615,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,902,retuned_simple_rule,Filter + retuned simple rule,0.001035070271952527,1.7251171199208785e-05,0.0002914903705904701,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,903,retuned_simple_rule,Filter + retuned simple rule,0.000597914852675317,9.965247544588616e-06,0.00028101944417719863,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,904,retuned_simple_rule,Filter + retuned simple rule,0.0005128163172309578,8.546938620515963e-06,0.00020296335188100566,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,905,retuned_simple_rule,Filter + retuned simple rule,0.0008272127805744023,1.3786879676240039e-05,0.0003767351574651662,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,906,retuned_simple_rule,Filter + retuned simple rule,0.001036078532180371,1.7267975536339514e-05,0.00041021232075765744,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,907,retuned_simple_rule,Filter + retuned simple rule,0.000595493588222413,9.924893137040217e-06,0.00035844486615863974,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,908,retuned_simple_rule,Filter + retuned simple rule,0.0006749045159651001,1.1248408599418334e-05,0.00043888698688748003,0.0,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,909,retuned_simple_rule,Filter + retuned simple rule,0.000803954159828071,1.3399235997134517e-05,0.00024495302397998045,0.0,0
baseline_environment,Baseline regime environment,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,belief_state,900,fixed_classical_rule,Filter + fixed rule,0.0027053345417955435,4.508890902992573e-05,0.0012986160125862138,0.0,0
baseline_environment,Baseline regime environment,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,belief_state,901,fixed_classical_rule,Filter + fixed rule,0.012821854690565801,0.00021369757817609668,0.002855153088133227,0.2,0
baseline_environment,Baseline regime environment,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,belief_state,902,fixed_classical_rule,Filter + fixed rule,0.013113524035064323,0.00021855873391773872,0.002745004057004622,0.15,0
baseline_environment,Baseline regime environment,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,belief_state,903,fixed_classical_rule,Filter + fixed rule,0.0013949019557451777,2.3248365929086296e-05,0.0017078839016149208,0.0,0
baseline_environment,Baseline regime environment,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,belief_state,904,fixed_classical_rule,Filter + fixed rule,0.0018354541455460093,3.059090242576682e-05,0.0010354690936727063,0.0,0
baseline_environment,Baseline regime environment,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,belief_state,905,fixed_classical_rule,Filter + fixed rule,0.013929746076687895,0.00023216243461146493,0.0026262732706569696,0.1,0
baseline_environment,Baseline regime environment,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,belief_state,906,fixed_classical_rule,Filter + fixed rule,0.010994343635535836,0.00018323906059226393,0.003631873813125216,0.16666666666666666,0
baseline_environment,Baseline regime environment,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,belief_state,907,fixed_classical_rule,Filter + fixed rule,0.00161342210041425,2.68903683402375e-05,0.0016372638388070786,0.0,0
baseline_environment,Baseline regime environment,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,belief_state,908,fixed_classical_rule,Filter + fixed rule,0.007080651477714478,0.00011801085796190796,0.004334996017411505,0.05,0
