environment_label,Фильтрация: инфляция и ставка × сильный режимный разрыв,Фильтрация: инфляция и ставка × умеренный режимный разрыв,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв","Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв"
Baseline regime environment,52.98071574735206,43.95214743273307,74.68520115694261,74.68694701453913
More persistent hidden regimes,51.770030983264284,42.61470435333507,74.05632156026907,75.09127137940833
Shifted macro transmission,40.31126573101849,38.08599261610408,69.02374291436864,76.79797209571781
Stronger distributional channel,41.84720411771186,31.65752555419793,62.73293026655988,71.18162265628897
