environment_label,Фильтрация: инфляция и ставка × сильный режимный разрыв,Фильтрация: инфляция и ставка × умеренный режимный разрыв,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв","Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв"
Baseline regime environment,-459.4668654869835,-504.2655873463599,-200.8711544241086,-170.56623436609638
More persistent hidden regimes,-482.9666618884969,-569.3078073359065,-193.97707046875445,-165.21683407150707
Shifted macro transmission,-706.5537342421405,-677.0359502353894,-342.7103360631081,-181.59998549484993
Stronger distributional channel,-315.3936332645973,-623.5356157272926,-164.75990420706444,-201.77068513096202
