scenario_name,input_mode,training_seed,checkpoint_iteration,validation_return,mean_episode_return,selection_objective,selection_rate_rmse,selection_unstable_episodes
macro_core_moderate_gap,raw_observations,11,32,-0.0011623605183094254,-0.001610645847460755,0.0009590363813196878,0.0023778087307766704,0
macro_core_strong_gap,raw_observations,11,32,-0.0011778451719982833,-0.001733039880862025,0.000869767338540079,0.003623485499490822,0
thin_information_moderate_gap,belief_state,11,16,-0.0012626494744190522,-0.004527081710312985,0.0014853337575744965,0.002415182585749027,0
thin_information_strong_gap,belief_state,11,32,-0.0015014332361763232,-0.0030239837160415564,0.0009185121223302317,0.006112914992352177,0
