environment_name,environment_label,scenario_name,scenario_label,best_learned_input_mode,fixed_mean_cumulative_loss,retuned_mean_cumulative_loss,learned_mean_cumulative_loss,learned_minus_fixed,learned_minus_retuned,learned_rel_improvement_vs_fixed_pct,learned_rel_improvement_vs_retuned_pct,learned_win_rate_vs_fixed,learned_win_rate_vs_retuned,fixed_mean_policy_volatility,retuned_mean_policy_volatility,learned_mean_policy_volatility,learned_any_unstable
baseline_environment,Baseline regime environment,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",raw_observations,0.007815624187313809,0.0007311973337376434,0.00197837309167924,-0.005837251095634569,0.0012471757579415967,74.68694701453913,-170.56623436609638,1.0,0.0,0.002601565039826414,0.00028312398057922224,0.0011413886975931461,0
baseline_environment,Baseline regime environment,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,0.008929687147115728,0.000751329034161994,0.0022605323386066965,-0.0066691548085090315,0.0015092033044447025,74.68520115694261,-200.8711544241086,1.0,0.0,0.0029429088099492623,0.0003135700825326531,0.0014140743996270007,0
baseline_environment,Baseline regime environment,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,belief_state,0.007653356881385948,0.000709876959924783,0.004289542181325974,-0.003363814700059974,0.003579665221401191,43.95214743273307,-504.2655873463599,1.0,0.0,0.002500123276537007,0.000271306272410184,0.001849048928341129,0
baseline_environment,Baseline regime environment,thin_information_strong_gap,Фильтрация: инфляция и ставка × сильный режимный разрыв,belief_state,0.008653316606678662,0.0007272508496163106,0.004068727532575829,-0.004584589074102832,0.0033414766829595187,52.98071574735206,-459.4668654869835,1.0,0.0,0.0028257414334982587,0.0002977844899237867,0.0020070627008966714,0
persistent_regimes,More persistent hidden regimes,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",raw_observations,0.007625788482426345,0.0007162015054277364,0.0018994869582679152,-0.00572630152415843,0.0011832854528401788,75.09127137940833,-165.21683407150707,1.0,0.0,0.002546790944856622,0.0002736222697597315,0.001114431385939346,0
persistent_regimes,More persistent hidden regimes,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,0.008557772888094735,0.0007552293368151472,0.0022202010796897723,-0.006337571808404963,0.0014649717428746251,74.05632156026907,-193.97707046875445,1.0,0.0,0.0029337549654303947,0.0003077564955574623,0.0014131219488344087,0
persistent_regimes,More persistent hidden regimes,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,belief_state,0.008117322809164534,0.0006959652407424318,0.004658149692633234,-0.0034591731165312996,0.003962184451890802,42.61470435333507,-569.3078073359065,1.0,0.0,0.002516429155014104,0.00026322919057559775,0.0018782247410068901,0
persistent_regimes,More persistent hidden regimes,thin_information_strong_gap,Фильтрация: инфляция и ставка × сильный режимный разрыв,belief_state,0.008837667119583724,0.0007311574387066294,0.0042624041135774695,-0.004575263006006254,0.0035312466748708402,51.770030983264284,-482.9666618884969,1.0,0.0,0.002837299098214362,0.000292281233808395,0.0020804825936677047,0
shifted_transmission,Shifted macro transmission,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",raw_observations,0.008138809744240968,0.0006705855842346138,0.001888368907935227,-0.006250440836305741,0.0012177833237006132,76.79797209571781,-181.59998549484993,1.0,0.0,0.0026332765981491517,0.00027412828540990594,0.0011338275831142383,0
shifted_transmission,Shifted macro transmission,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",raw_observations,0.01101653750673411,0.0007708225225476796,0.00341251098002096,-0.0076040265267131495,0.0026416884574732803,69.02374291436864,-342.7103360631081,1.0,0.0,0.0031189160434824583,0.00032375361993937905,0.00183537193197377,0
shifted_transmission,Shifted macro transmission,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,belief_state,0.008164110252957485,0.000650514023619404,0.005054727824845501,-0.003109382428111984,0.004404213801226097,38.08599261610408,-677.0359502353894,0.9,0.0,0.002563050287878273,0.000262300833405776,0.002016647206897881,0
