scenario_name,scenario_label,left_policy,right_policy,left_label,right_label,what_changes,what_fixed,mean_delta_cumulative_loss,ci_lower,ci_upper,win_rate,probability_of_degradation,relative_improvement_pct,num_test_trajectories
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,history_observables_rule,optimized_linear_estimated_state,Историческое правило по наблюдаемым переменным,Оптимизированное линейное правило по оценённому состоянию,История наблюдений против явного оценивания состояния,"Простое правило, отбор по одним валидационным траекториям, одинаковый тестовый набор",-0.0001614332655432505,-0.00019715559195947484,-0.00012808635865521983,0.98,0.02,17.14099951471851,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,history_observables_rule,optimized_linear_estimated_state,Историческое правило по наблюдаемым переменным,Оптимизированное линейное правило по оценённому состоянию,История наблюдений против явного оценивания состояния,"Простое правило, отбор по одним валидационным траекториям, одинаковый тестовый набор",-9.571443919478561e-05,-0.00012359303175354702,-7.297855159227503e-05,0.9,0.1,9.97142129851894,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,history_observables_rule,optimized_linear_estimated_state,Историческое правило по наблюдаемым переменным,Оптимизированное линейное правило по оценённому состоянию,История наблюдений против явного оценивания состояния,"Простое правило, отбор по одним валидационным траекториям, одинаковый тестовый набор",-0.00013858092971300365,-0.00017102543728361312,-0.00010810243988381014,0.94,0.06,14.867751640407192,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,history_observables_rule,optimized_linear_estimated_state,Историческое правило по наблюдаемым переменным,Оптимизированное линейное правило по оценённому состоянию,История наблюдений против явного оценивания состояния,"Простое правило, отбор по одним валидационным траекториям, одинаковый тестовый набор",-7.364324774010852e-05,-9.865028491772819e-05,-5.3610320137671963e-05,0.84,0.16,7.769770619236121,50
