variant_name,scenario_name,scenario_label,policy_name,policy_label,training_seed,evaluation_seed,input_mode,include_distributional_state,mean_policy_loss,cumulative_policy_loss,mean_reference_loss,cumulative_reference_loss,mean_excess_loss,cumulative_excess_loss,mean_abs_rate_gap,policy_rate_rmse,policy_instrument_volatility,mean_state_rmse,distribution_state_rmse,regime_accuracy,stress_brier_score,unstable,impact_nominal_rate_pp,impact_inflation_pp,impact_output_gap_pct,impact_low_liquidity_gap_pp,impact_mean_mpc_gap_pp,peak_low_liquidity_gap,peak_mean_mpc_gap,peak_low_liquidity_gap_difference_vs_reference,peak_mean_mpc_gap_difference_vs_reference
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,classical_filtered_rule,Классическое правило по оценённому состоянию,-1,900,filtered_taylor_state,0,4.9546218691199836e-05,0.00297277312147199,7.240163082860968e-06,0.00043440978497165806,4.230605560833887e-05,0.002538363336500332,0.00216413314955442,0.002511748853953524,0.0015496325298578419,0.0006361284262015804,0.0009152811413321701,0.8666666666666667,0.1560834036793565,0,0.011272642726222044,0.012038887833397873,0.2409193319665444,-0.007315637066445539,0.04116615961991981,0.0046395947067529,0.009614220487768792,0.002370025475022381,0.00488967167100106
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,-1,900,filtered_taylor_state,0,8.373138949600336e-06,0.0005023883369760202,7.240163082860968e-06,0.00043440978497165806,1.132975866739369e-06,6.797855200436215e-05,0.00023265376761720413,0.0002963753519842644,0.00016794965899909602,0.0006096102708106568,0.0008455570191640889,0.8666666666666667,0.16425861137774825,0,0.0009340426337958316,0.012038887833397873,0.2409193319665444,-0.007315637066445539,0.04116615961991981,0.002429578796033529,0.0057563661428954825,0.0002701478258582975,0.0005267171397375248
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,-1,900,filtered_taylor_state,0,1.4509343364291316e-05,0.0008705606018574789,7.240163082860968e-06,0.00043440978497165806,7.26918028143035e-06,0.000436150816885821,0.0007296428103205848,0.0008529038331789916,0.0006470470429572569,0.0006126943349940505,0.0008550573113105298,0.8666666666666667,0.1635970732146553,0,0.008676223642711504,0.012038887833397873,0.2409193319665444,-0.007315637066445539,0.04116615961991981,0.0029866733034979898,0.006673628455035316,0.0007592589881115002,0.0015906514759048886
macro_core_moderate_gap_filtered_extended_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,-1,900,filtered_extended_state,0,7.478800722962495e-06,0.0004487280433777497,7.240163082860968e-06,0.00043440978497165806,2.38637640101528e-07,1.4318258406091681e-05,0.00020402460406143086,0.0002544294668152796,0.00010004032346892725,0.0006093125498185831,0.0008446421002748094,0.8666666666666667,0.16367373852852,0,-0.00046371126159923355,0.012038887833397873,0.2409193319665444,-0.007315637066445539,0.04116615961991981,0.002364956805782355,0.0056520730516364,0.00020481641589393374,0.0004593764696526276
macro_core_moderate_gap_filtered_extended_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,-1,900,filtered_extended_state,0,2.719401754167224e-05,0.0016316410525003345,7.240163082860968e-06,0.00043440978497165806,1.9953854458811272e-05,0.0011972312675286763,0.001313930674771886,0.0016328045768920706,0.0010923658246354453,0.0006253120379878583,0.0008885732195383247,0.8666666666666667,0.167826206693718,0,0.00575842344119316,0.012038887833397873,0.2409193319665444,-0.007315637066445539,0.04116615961991981,0.0039191562972776305,0.008392080184004932,0.0016495870655471117,0.003318426135361529
macro_core_moderate_gap_history_observables,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,history_observables_rule,Историческое правило по наблюдаемым переменным,-1,900,raw_observations,1,6.9626791082935455e-06,0.00041776074649761273,7.240163082860968e-06,0.00043440978497165806,-2.7748397456742307e-07,-1.6649038474045384e-05,0.000178423491808646,0.00021898915459777588,4.951400597546162e-05,0.0006091621438341143,0.0008441498107131855,0.8666666666666667,0.16161388577794875,0,-0.00023358917739549966,0.012038887833397873,0.2409193319665444,-0.007315637066445539,0.04116615961991981,0.0022993105680231946,0.005554443001706277,0.00013509003886129136,0.00041641238686203905
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,calibrated_true_state_rule,Калиброванное правило по истинному состоянию,-1,900,filtered_taylor_state,0,2.856634691730512e-05,0.0017139808150383072,7.240163082860968e-06,0.00043440978497165806,2.132618383444415e-05,0.001279571030066649,0.001414960314290767,0.0015820857697232303,0.001108558741395214,0.0006168870447449507,0.0008663851454030163,0.8666666666666667,0.15605017734939525,0,0.01927898687091896,0.012038887833397873,0.2409193319665444,-0.007315637066445539,0.04116615961991981,0.0035861366933136398,0.007633391218260427,0.001316567461583121,0.0029611610419037677
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_true_state,Оптимизированный линейный ориентир полной информации,-1,900,filtered_taylor_state,0,7.240163082860968e-06,0.00043440978497165806,7.240163082860968e-06,0.00043440978497165806,0.0,0.0,0.0,0.0,0.00021163706488299617,0.0006082164171386998,0.0008418295679950107,0.8666666666666667,0.16097653728018146,0,0.004219339373581932,0.012038887833397873,0.2409193319665444,-0.007315637066445539,0.04116615961991981,0.002269569231730519,0.005452317493509873,0.0,0.0
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,classical_filtered_rule,Классическое правило по оценённому состоянию,-1,901,filtered_taylor_state,0,0.00018967792742942242,0.011380675645765346,8.733117504806069e-06,0.0005239870502883641,0.00018094480992461635,0.010856688595476982,0.005343532677009213,0.006159593287705477,0.002788259688400137,0.0010088314237188835,0.0016091680576519184,0.55,0.2894408913093762,0,-0.0007734043495892173,0.0019184452287428807,-0.053471080906824654,0.0178683584020907,0.041975917232489834,0.007132636816411976,0.01490989852559163,0.0057044871622198064,0.010589487705046922
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,-1,901,filtered_taylor_state,0,1.1871191821337804e-05,0.0007122715092802682,8.733117504806069e-06,0.0005239870502883641,3.1380743165317348e-06,0.0001882844589919041,0.0008496382940080277,0.0010007632305856315,0.00023597667444037382,0.0009413891626629673,0.0014798040888148974,0.5333333333333333,0.2950937907913681,0,-0.0005298431712363076,0.0019184452287428807,-0.053471080906824654,0.0178683584020907,0.041975917232489834,0.0023378351812282042,0.006529551775269185,0.0008782941803708376,0.0016578749685446483
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,-1,901,filtered_taylor_state,0,6.381938260598866e-05,0.00382916295635932,8.733117504806069e-06,0.0005239870502883641,5.50862651011826e-05,0.0033051759060709557,0.002918726426901477,0.0034224658510388305,0.0015402274388323022,0.0009650493617575482,0.0015234016324659496,0.5666666666666667,0.3354190644694933,0,0.0008196347039076142,0.0019184452287428807,-0.053471080906824654,0.0178683584020907,0.041975917232489834,0.004960414059092611,0.011534443700299823,0.003933810751770748,0.007531976914624001
macro_core_moderate_gap_filtered_extended_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,-1,901,filtered_extended_state,0,1.1024860812194869e-05,0.0006614916487316921,8.733117504806069e-06,0.0005239870502883641,2.2917433073887996e-06,0.00013750459844332798,0.0008408653486170003,0.0010046189647235115,0.0001782295798055958,0.0009404596581015872,0.001478524204675391,0.5,0.2830928547598711,0,-0.0008627238789467603,0.0019184452287428807,-0.053471080906824654,0.0178683584020907,0.041975917232489834,0.00220592916702062,0.006133288670990205,0.0010120516693960663,0.0019337114104832237
macro_core_moderate_gap_filtered_extended_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,-1,901,filtered_extended_state,0,0.00012626536185401,0.0075759217112406,8.733117504806069e-06,0.0005239870502883641,0.00011753224434920391,0.007051934660952235,0.004132793032918631,0.005080898752572269,0.0027797076542885294,0.0009726040072898039,0.0015385872917995068,0.48333333333333334,0.31293949301609836,0,-0.00292020949106076,0.0019184452287428807,-0.053471080906824654,0.0178683584020907,0.041975917232489834,0.006272552452028525,0.01394751549868491,0.005309410707376359,0.009989839551704934
macro_core_moderate_gap_history_observables,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,history_observables_rule,Историческое правило по наблюдаемым переменным,-1,901,raw_observations,1,9.37692783636731e-06,0.0005626156701820386,8.733117504806069e-06,0.0005239870502883641,6.438103315612384e-07,3.8628619893674305e-05,0.0006755091612292332,0.000809067185951176,8.194270896544705e-05,0.0009394551684419942,0.0014770156024573632,0.5333333333333333,0.2680125196155362,0,-0.0004627607556724558,0.0019184452287428807,-0.053471080906824654,0.0178683584020907,0.041975917232489834,0.0020600136757202418,0.005728159381939666,0.0009111416499801455,0.0017413833377877674
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,calibrated_true_state_rule,Калиброванное правило по истинному состоянию,-1,901,filtered_taylor_state,0,3.1427223478741984e-05,0.0018856334087245191,8.733117504806069e-06,0.0005239870502883641,2.269410597393592e-05,0.001361646358436155,0.0014354331767893393,0.0017732822110612197,0.0017757276100569715,0.0009608859790282326,0.0015148721010310514,0.5166666666666667,0.3039004594564014,0,-5.18308514409049e-05,0.0019184452287428807,-0.053471080906824654,0.0178683584020907,0.041975917232489834,0.00391847562644208,0.009526631459507903,0.002962770865544328,0.005870059532216735
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_true_state,Оптимизированный линейный ориентир полной информации,-1,901,filtered_taylor_state,0,8.733117504806069e-06,0.0005239870502883641,8.733117504806069e-06,0.0005239870502883641,0.0,0.0,0.0,0.0,0.0005050872463235375,0.0009387064719848424,0.0014758959451709028,0.6666666666666666,0.239132223028094,0,0.0008327839491267939,0.0019184452287428807,-0.053471080906824654,0.0178683584020907,0.041975917232489834,0.001770946411459874,0.006449506589295733,0.0,0.0
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,classical_filtered_rule,Классическое правило по оценённому состоянию,-1,902,filtered_taylor_state,0,0.0002502166661611066,0.015012999969666393,1.7471228069928844e-05,0.0010482736841957306,0.00023274543809117772,0.013964726285470663,0.005348825414814851,0.005816678405537849,0.0024099874910516765,0.0006734099703092897,0.0010400069915498542,0.8833333333333333,0.0855036313386777,0,0.0009011663628062241,0.006087990225528705,-0.03443892975293314,0.007363066189443409,-0.06855443093868452,0.007736584915136127,0.019115913798511207,0.005652310545745311,0.0108031117540238
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,-1,902,filtered_taylor_state,0,2.2017060669749094e-05,0.0013210236401849456,1.7471228069928844e-05,0.0010482736841957306,4.5458325998202455e-06,0.00027274995598921474,0.00032143448032000637,0.00040895970022877267,0.00034880128092802594,0.0006283350820968155,0.0009325520645474202,0.8833333333333333,0.08554724445245804,0,-0.00022564543256222173,0.006087990225528705,-0.03443892975293314,0.007363066189443409,-0.06855443093868452,0.003013592471844588,0.010233478949225152,0.0005904705926148967,0.0011437029522222888
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,-1,902,filtered_taylor_state,0,8.732683893712047e-05,0.005239610336227228,1.7471228069928844e-05,0.0010482736841957306,6.985561086719163e-05,0.004191336652031498,0.0023271762982710028,0.002673211984033447,0.0015366637895456428,0.0006362016124531191,0.0009525093058560022,0.8833333333333333,0.09396065999564866,0,0.002056600733147168,0.006087990225528705,-0.03443892975293314,0.007363066189443409,-0.06855443093868452,0.0056977113010688914,0.014107942635376283,0.003306586615955536,0.006212046561151888
macro_core_moderate_gap_filtered_extended_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,-1,902,filtered_extended_state,0,1.6857010776569803e-05,0.0010114206465941882,1.7471228069928844e-05,0.0010482736841957306,-6.142172933590387e-07,-3.685303760154232e-05,0.0003387982094009651,0.0003727797282099251,0.0001752373785729426,0.0006275246807562383,0.0009303812690211798,0.8833333333333333,0.08620750421842573,0,-0.0006142833993520478,0.006087990225528705,-0.03443892975293314,0.007363066189443409,-0.06855443093868452,0.002768461161988339,0.009813350690776325,0.00045402121254663544,0.000866660613859089
macro_core_moderate_gap_filtered_extended_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,-1,902,filtered_extended_state,0,0.00018623460679416813,0.011174076407650087,1.7471228069928844e-05,0.0010482736841957306,0.00016876337872423928,0.010125802723454357,0.0042304945449398645,0.0048045464266576,0.0024003116063324318,0.0006586293689073898,0.0010060829277759682,0.9,0.0908329662771992,0,-0.0014869856419786381,0.006087990225528705,-0.03443892975293314,0.007363066189443409,-0.06855443093868452,0.007744325868136861,0.018548258489790134,0.005222477696145754,0.010071582001147923
macro_core_moderate_gap_history_observables,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,history_observables_rule,Историческое правило по наблюдаемым переменным,-1,902,raw_observations,1,1.4738502957664488e-05,0.0008843101774598693,1.7471228069928844e-05,0.0010482736841957306,-2.732725112264356e-06,-0.00016396350673586138,0.0003040508351763673,0.00033943803932155704,0.00011525401032527254,0.0006275738509384595,0.0009302866663263526,0.8833333333333333,0.0858505806825478,0,-0.00032742044590267305,0.006087990225528705,-0.03443892975293314,0.007363066189443409,-0.06855443093868452,0.0025238520880293954,0.009393601237104851,0.00045163867713727667,0.0009347053491611196
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,calibrated_true_state_rule,Калиброванное правило по истинному состоянию,-1,902,filtered_taylor_state,0,0.00020745450577825588,0.012447270346695353,1.7471228069928844e-05,0.0010482736841957306,0.00018998327770832702,0.011398996662499621,0.004574063382164854,0.005050578373367797,0.0024069525374620774,0.0006724091333186448,0.0010374039786132888,0.8666666666666667,0.09203651612831172,0,-0.007416489693805854,0.006087990225528705,-0.03443892975293314,0.007363066189443409,-0.06855443093868452,0.007979367039896712,0.016571940170565555,0.005491671761520968,0.0106457305647524
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_true_state,Оптимизированный линейный ориентир полной информации,-1,902,filtered_taylor_state,0,1.7471228069928844e-05,0.0010482736841957306,1.7471228069928844e-05,0.0010482736841957306,0.0,0.0,0.0,0.0,0.00038792540583495663,0.0006276182591277557,0.000930521006409798,0.8833333333333333,0.08875218552429116,0,-0.0035191141809500837,0.006087990225528705,-0.03443892975293314,0.007363066189443409,-0.06855443093868452,0.002602705427339221,0.009396361072362955,0.0,0.0
macro_core_moderate_gap_filtered_taylor_state,macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,classical_filtered_rule,Классическое правило по оценённому состоянию,-1,903,filtered_taylor_state,0,2.780748697039654e-05,0.0016684492182237924,9.627468363032068e-06,0.0005776481017819241,1.8180018607364475e-05,0.0010908011164418685,0.0012895865595732052,0.0019199006613786272,0.0018045284947540425,0.0005754624862159814,0.0007669158264734387,0.9166666666666666,0.11336043110463177,0,0.017497358633936307,0.016191083633602214,0.22670249551126412,0.0033026723467270186,-0.07421355058386019,0.0012964768049426802,0.0073784599263165855,0.0009088592896974691,0.003913343308015765
