scenario_name,scenario_label,policy_name,policy_label,mean_cumulative_policy_loss,ci_lower,ci_upper,num_test_trajectories,policy_label_short_ru,policy_label_ru,input_set,input_set_label_ru,functional_class,functional_class_label_ru,parameter_selection,parameter_selection_label_ru,uses_distributional_variables,uses_observation_history,uses_rl_training
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,0.005499588527495789,0.00452906203088943,0.006546458096258215,50,PPO на расширенном состоянии,PPO-правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,0.005814005563321701,0.004897173914301536,0.006807435716358834,50,PPO на тейлоровском наборе,PPO-правило на оценённом тейлоровском наборе,filtered_taylor_state,Оценённый тейлоровский набор,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,calibrated_true_state_rule,Калиброванное правило по истинному состоянию,0.0064650933091083326,0.00540576252896966,0.007548467513141431,50,Калиброванное по истинному состоянию,Калиброванное правило по истинному состоянию,true_taylor_state,Истинный тейлоровский набор,fixed_linear,Фиксированная линейная форма,calibrated,Калиброванные коэффициенты,False,False,False
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,classical_filtered_rule,Классическое правило по оценённому состоянию,0.007984770337051745,0.006926227882696724,0.009124737254171277,50,Фиксированное правило Тейлора,Классическое правило по оценённому состоянию,filtered_taylor_state,Оценённый тейлоровский набор,fixed_linear,Фиксированная линейная форма,calibrated,Калиброванные коэффициенты,False,False,False
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,history_observables_rule,Историческое правило по наблюдаемым переменным,0.0006649439997016827,0.0005966257660447957,0.0007389944675624716,50,Историческое правило по наблюдениям,Историческое правило по наблюдаемым переменным,observation_history,Наблюдаемые переменные и их история,history_linear,Линейное правило с внутренним сглаженным состоянием,validation_grid_search,Отбор по валидационным траекториям,False,True,False
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.0007223348123388197,0.0006451211979269332,0.000805318870421734,50,Оптимизированное расширенное линейное,Оптимизированное линейное правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,tuned_linear,"Линейная форма, выбранная по валидации",validation_coordinate_search,Координатный отбор по валидационным траекториям,False,False,False
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,optimized_linear_true_state,Оптимизированный линейный ориентир полной информации,0.00078762114729914,0.000698130057684239,0.0008887630879933519,50,Оптимизированное по истинному состоянию,Оптимизированный линейный ориентир полной информации,true_taylor_state,Истинный тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.0008035249294146865,0.0007075483795874455,0.000905820749172662,50,Оптимизированное линейное правило,Оптимизированное линейное правило по оценённому состоянию,filtered_taylor_state,Оценённый тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,0.0014990495098996393,0.001283430333125912,0.0017287154982740648,50,PPO на расширенном состоянии,PPO-правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,0.003820658607432014,0.0030161703801416693,0.0047241492667882985,50,PPO на тейлоровском наборе,PPO-правило на оценённом тейлоровском наборе,filtered_taylor_state,Оценённый тейлоровский набор,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
