scenario_name,phi_pi,phi_y,rho_i,validation_cumulative_loss,validation_policy_volatility,validation_unstable_episodes,rule_family,alpha
macro_core_moderate_gap,3.0,0.125,0.7,0.018416418845139674,0.002539255930843794,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.0,0.5,0.85,0.018577500548242247,0.002584886312167749,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.0,0.25,0.7,0.018653944543360047,0.0024927542368182167,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.5,0.5,0.85,0.01892515741418991,0.0025034278612986235,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.5,0.125,0.5,0.019060496279141758,0.002810145221718951,0,optimized_linear_estimated_state,
macro_core_moderate_gap,3.0,0.5,0.85,0.019183102928587898,0.002432013131372684,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.5,0.25,0.7,0.019295266768318574,0.0023553277075267355,0,optimized_linear_estimated_state,
macro_core_moderate_gap,1.5,0.25,0.5,0.01938225476797867,0.0027851740095175383,0,optimized_linear_estimated_state,
macro_core_moderate_gap,3.0,0.25,0.7,0.01968006747801131,0.002247266718074572,0,optimized_linear_estimated_state,
macro_core_moderate_gap,1.0,0.5,0.7,0.019833013521946188,0.002209567978612431,0,optimized_linear_estimated_state,
macro_core_moderate_gap,3.0,0.125,0.5,0.019876530467098655,0.002141128771402592,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.5,0.125,0.3,0.019970286639959367,0.002916607537576706,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.0,0.25,0.5,0.020036860893349818,0.002096067796092909,0,optimized_linear_estimated_state,
macro_core_moderate_gap,1.5,0.5,0.7,0.020097983506141927,0.0021228247075258085,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.0,0.5,0.7,0.020274509107710927,0.002051050771633621,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.5,0.25,0.5,0.020356688439909926,0.001989114658822487,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.5,0.5,0.7,0.020426079861977232,0.001988613095736198,0,optimized_linear_estimated_state,
macro_core_moderate_gap,1.5,0.25,0.3,0.020437793988718856,0.0029683336326402866,0,optimized_linear_estimated_state,
macro_core_moderate_gap,3.0,0.125,0.3,0.020442705788871217,0.00192059675515796,0,optimized_linear_estimated_state,
macro_core_moderate_gap,2.0,0.25,0.3,0.020521933222984047,0.0018806795529847076,0,optimized_linear_estimated_state,
macro_core_moderate_gap,3.0,0.5,0.7,0.020561608041403813,0.0019360484184951458,0,optimized_linear_estimated_state,
macro_core_moderate_gap,3.0,0.25,0.5,0.020570393478195295,0.0019032280217185602,0,optimized_linear_estimated_state,
macro_core_moderate_gap,1.0,0.5,0.5,0.020660256316921977,0.0018682781510872433,0,optimized_linear_estimated_state,
