scenario,state,rmse_mean,rmse_std,correlation_mean,correlation_std,mae_mean,mae_std,mean_confidence_band_width_mean,mean_confidence_band_width_std,coverage_95_mean,coverage_95_std
small,r_n,0.0004124778395809927,1.7741622875220496e-05,0.9996832142987582,6.337453236129961e-05,0.0003295828835582282,1.616565797453923e-05,0.0016351763815946924,2.2131184171720678e-19,0.9531666666666666,0.015036606566544092
small,u,0.0002747912407715827,1.1558615339923044e-05,0.999724815926261,4.54498349441943e-05,0.00022103428027055568,1.1185235045822478e-05,0.0010949819795496253,2.4644243707706846e-19,0.955,0.009918650595198397
small,nu,0.0008660871275770511,3.5007778220457354e-05,0.9526218912163695,0.006534548606992138,0.0006916689657614272,3.428903227490419e-05,0.0034389967023558832,3.0665868333667484e-19,0.9505,0.011557024479285955
medium,r_n,0.0011136100092263533,5.2367620632658366e-05,0.9978009276992847,0.0005278200912447523,0.0008885692802562778,4.9238890269856484e-05,0.0044133772218853985,3.958946578442785e-19,0.9521666666666667,0.018908282527721795
medium,u,0.0007094292827913935,3.2048620251777235e-05,0.9980982675760584,0.0002537160718747082,0.0005684447066884564,2.4616929904277918e-05,0.0028033732115910065,1.9794732892213925e-19,0.9543333333333334,0.013739474085573584
medium,nu,0.0019261599757396984,8.767570841645308e-05,0.7392339431610934,0.04166931229964872,0.0015385214953549911,5.1785899965924754e-05,0.00758550341010271,7.511572993685796e-19,0.9501666666666666,0.0148526715392165
large,r_n,0.002599490420434296,0.0001248681518936493,0.9871657567441835,0.0026496442924857,0.002063386109838304,9.94497151003467e-05,0.01028075841720429,3.540989467475308e-19,0.9515,0.01496910398367498
large,u,0.0015615545436397725,5.9501195328225936e-05,0.9907291798149244,0.0012922915947060779,0.001244877597058543,5.0671768691985495e-05,0.006101315506007938,5.872066725107986e-19,0.9473333333333334,0.014072398779433705
large,nu,0.0026474438897094443,0.00017022188189637843,0.40532709183656296,0.08105310881597826,0.002118456420714761,0.00012878927578692016,0.01034065127854941,0.0,0.9461666666666667,0.017260262647673302
