scenario,aggregate_rmse_mean,aggregate_rmse_std,aggregate_mae_mean,aggregate_mae_std,mean_coverage_95_mean,mean_coverage_95_std,mean_confidence_band_width_mean,mean_confidence_band_width_std,max_abs_error_mean,max_abs_error_std,log_likelihood_mean,log_likelihood_std
small,0.0005762578233286967,1.99201942200282e-05,0.0004140953765300703,1.6341522702309304e-05,0.9528888888888889,0.008137356068527939,0.0020563850211667333,1.5332934166833742e-19,0.0026555047245318945,0.00030221929462176167,2396.6455146113994,21.487455324329762
medium,0.0013487888814153587,4.863884520368746e-05,0.0009985118274332418,2.7389320383800983e-05,0.9522222222222223,0.01111834255418782,0.004934084614526371,0.0,0.005908923214772299,0.0008901331999991005,2310.823191981415,16.728080377606783
large,0.0023256761367465646,9.24912307522893e-05,0.0018089067092038696,6.197632949693415e-05,0.9483333333333333,0.009265044488976628,0.008907575067253879,0.0,0.008629205897632131,0.001319310180410606,2121.5980233313794,21.104579625715665
