t,innovation_x,standardized_innovation_x,innovation_pi,standardized_innovation_pi,innovation_i,standardized_innovation_i
0,0.043759897925261804,1.7422343671632279,-0.0010395624040668574,0.8469157049990196,0.02512277446335821,1.4343344848187285
1,-0.004764678609890431,-0.24643870924593064,0.022337764189116566,1.5416552143390048,0.03751669961379135,1.9296202053393352
2,-0.0061805599865237815,-0.319672978509556,-0.01359163948862387,-1.3765196619359965,-0.016932751732339216,1.445567838202598
3,0.010093064191025965,0.5220368277634779,-0.029108486375173638,-1.8214351380213187,-0.03789853540134874,-0.09221086032571349
4,0.006229022988358125,0.3221796019330998,-0.024953061109747092,-1.6784294442231302,-0.03892758678142971,-1.4840043884728737
5,-0.004800746109710711,-0.24830578946001536,-0.005848565883745289,-0.6957248977604648,-0.01644235297195734,-1.5298296894443664
6,-0.009476027742002189,-0.49012226342732274,0.011584790419218881,0.46128616649880816,0.016777340055969835,1.1274413925605078
7,-0.009971505866925693,-0.5157495480532478,-0.027731982723354257,-2.68117128112341,-0.048933763150904024,-1.1408222386339966
8,-0.006371369338758256,-0.32954208730341555,0.011415425036025998,0.5977763015625528,0.0121864192819147,-0.3814334332245917
9,-0.01682783175434946,-0.8703747195104228,0.008165011321985598,-0.16498255337709306,0.011464832354698848,1.900469768885018
10,-0.021098115042752746,-1.0912437342254884,0.00952496696203712,-0.2633253538865422,0.003496488644414089,-0.20428890465877075
11,0.051711923550795444,2.6746613356313524,-0.038554441432301925,-0.5608967284256555,-0.034736330194118675,-0.5958427965377457
12,0.03274914995194381,1.6938624428700082,-0.017239269032168755,0.2140699166492217,-0.016506004833881868,-1.6608779211558427
13,-0.009530707056279541,-0.49295040513471067,-0.011094844362942311,-1.3402593041125141,-0.025394468577629482,-1.329182343506126
14,0.012206902896941593,0.6313694978719046,0.003071713360569623,0.8331134107724755,0.006764538293564597,-0.8336121963479121
15,-0.022209908931534964,-1.1487483080902772,0.0020483838041432823,-0.9100420464430109,-0.0044773570570996405,0.6726139022536382
16,-0.02976697964002518,-1.5396176366074543,0.03190739351087157,1.093386428555449,0.030614698168759964,-0.5574653415280819
17,-0.002806304331988141,-0.1451486074659467,0.004259859769265999,0.20236752198112473,0.0012646682503867838,-0.954027919825567
18,0.009346748422305467,0.48343563538992035,-0.03048970489403637,-1.9670305150917067,-0.03911639994300172,0.20081291712698562
19,-0.025450714850377917,-1.3163703513681693,0.03094691569881811,1.2256354874785518,0.0345722287712084,0.33649335558054516
20,0.0015772001040125876,0.08157646916020254,-0.03642025383328257,-2.812621530931547,-0.058300232764582065,-1.6669061227707695
21,-0.01715339966061786,-0.8872138512082255,0.0037662876616431674,-0.5296025189433036,-0.003202278090212979,-0.24306255244953076
22,0.024343985486102244,1.2591277265269498,-0.022965390650897647,-0.64600020414065,-0.018044138759747065,1.104336300747573
23,-0.03609718557622888,-1.86703065669202,0.033356213822073766,0.9026185931229112,0.033602206269096734,0.4256890358850651
24,-0.01889155156913715,-0.9771151232157117,0.012002592766764252,0.039750050659554004,0.011937420059344764,0.8109459153927864
25,0.008512340040500915,0.4402780871168001,-0.009333374953534097,-0.32924467564211746,-0.006855234380159492,0.7377810105887085
26,0.012604831890472077,0.651951313829248,0.010114667605672315,1.4109629752765298,0.013252167457854505,-1.851781660585559
27,0.0052057980430650665,0.26925602048460867,-0.010332370453176521,-0.5681559020184611,-0.012855309934954593,-0.06783400438679392
28,-0.029198685308231324,-1.5102241278741266,0.022949929037560633,0.41034049380099025,0.017585708544646327,-0.6446965428105017
29,0.01383701050555489,0.7156824666090615,0.0027916914793063704,0.8896204666920335,0.013129838116420926,0.7520784587882503
30,0.00951458425926254,0.49211649645673916,-0.016516269805845873,-0.8505797328713113,-0.02257756266782941,-0.7823927881634053
31,0.038267942942443636,1.979307292287453,-0.012958506667826566,0.8201141198940302,0.00622816806157093,2.032395807069536
32,0.006412549885684217,0.3316720412691552,0.015594503649109887,1.5465878972767595,0.027069959854927873,0.42886845835014
33,0.01685346589362436,0.8717005770009767,0.010952687396947571,1.6825995159176188,0.024049153115054615,0.16367250526642382
34,-0.007433544445288553,-0.3844802619840792,0.008997937842562673,0.35473345970846587,0.012148151157643346,0.6524586743574444
35,-0.025058076356205126,-1.2960621723809207,0.01884221057811557,0.28447406238862233,0.013453562458008973,-0.6595450884743261
36,0.019394807126036983,1.0031446747689319,-0.016109845353933512,-0.34122722840165337,-0.00838072486955765,1.624047498260619
37,0.01529304572427075,0.7909920052107627,0.009877543826487364,1.5219685475297413,0.017166513916157946,-1.0513841343403105
38,0.03374970990703394,1.745613738163286,-0.022976111127966804,-0.19264835037683165,-0.016103716566658377,0.5056761024151457
39,0.031348412424664254,1.6214130298849665,-0.015532750605857711,0.2817860980113479,-0.013159204359116133,-1.2642663009957897
40,0.0020651450413625427,0.10681411974894985,-0.01827626676254844,-1.3499125273435157,-0.03369746668150976,-2.1538724209113833
41,0.011343055292299987,0.586689284308719,-0.037792342487102705,-2.4498600772886148,-0.04745217230921687,0.5489515373048378
42,-0.015197560424452371,-0.7860532827264886,0.020444323630513215,0.8877146394469472,0.017981003829335325,-1.2450597846379474
43,0.03356275330365473,1.735943906446271,-0.016057377249855204,0.34710418367524015,-0.0034587240449857034,1.2213703166602323
44,0.020543849301483424,1.0625758169243287,-0.021160180632305837,-0.6863228926640186,-0.02266445569298,-0.34566052614748743
45,-0.011576242428369563,-0.5987502670373784,-0.006056145107405354,-1.039378219351807,-0.018725735900929165,-1.2494311051845894
46,-0.00033628618390560416,-0.017393506024114984,0.0060441499388642,0.4631710967405441,0.008623304130711657,0.009107612878104696
47,-0.004337239651029855,-0.22433215400664266,-0.010499049247011503,-1.0422095790316936,-0.015139021543940498,0.5242746573402023
48,0.009098895961683163,0.4706161278595846,-0.005069677284557138,0.03726839228159469,-0.004425587671502472,-0.3129655191999941
49,0.024613446444752034,1.273064875990261,0.0026367067283363348,1.3977211783863894,0.011813245307777645,-0.8094994343081706
50,0.019412740549692845,1.0040722332810554,-0.006332316359371259,0.4351735695063014,0.001678901247729075,0.5503971450257117
51,-0.00043246836247533976,-0.02236827270330391,-0.0076464620538425595,-0.627386548287215,-0.017288509217541735,-1.5858153405300814
52,0.013813494769084897,0.7144661778540435,-0.016853841241737073,-0.6697609760238893,-0.020186898953938846,-0.5346066509706691
53,0.023224651450501572,1.201233158676722,-0.018292513429361307,-0.3294091816479041,-0.011670035676542886,1.1361056208603024
54,-0.03960260875659908,-2.0483393221171693,0.019807853382709555,-0.3412880893399155,0.01514914553120177,1.1393258783306615
55,0.0002394808074457494,0.012386506096060125,0.0205997930925692,1.6455004874391974,0.029369949658808996,-0.13814235393476934
56,-0.014906571492094994,-0.7710026562358994,0.008016114180838066,-0.08401518140443016,0.001127600089620144,-0.9857314271680827
57,0.027097549490440104,1.4015484811978602,-0.011817446785677713,0.37120279316397414,-0.007543983686697165,-0.6977193477709909
58,0.006539567333732366,0.33824168002783034,-0.00876966610908249,-0.3797975157456041,-0.007847390483174567,0.4963467121772339
59,0.020725227531815382,1.071957122172384,-0.027790989613550424,-1.2035071571885179,-0.03158855987059754,-0.19261408440873737
60,-0.008889713465250674,-0.45979672109840997,-0.014582144314667587,-1.5859116652590486,-0.02050765444145275,1.2034361255459503
61,0.02618150783260452,1.3541686694290367,0.0010022190311966116,1.34379840067897,0.010602492480787108,-0.6921374943278613
62,-0.020208592849579328,-1.045235571041809,0.01325854475427568,0.07576985826076099,0.017089405583311512,1.843022407547609
63,0.006118438067100558,0.31645989181690704,-0.011596290090650599,-0.6243362141736971,-0.012170265705001224,0.4842965484269895
64,-0.018020870377129333,-0.9320814605704376,0.01542766691889093,0.35346551601773996,0.007636362259309724,-1.7229552860888147
65,0.02738146529993963,1.4162332692718707,-0.0430103577004237,-2.089248616032962,-0.053147090134505005,-0.8618865028243067
66,0.014168100023787326,0.7328071889601698,0.0005913202700575382,0.7310795586599639,0.0005467900982774818,-1.7567249701305672
67,-0.002258607410548219,-0.11682044485213984,-0.0019981570803147067,-0.2675580678812218,-0.0038654398597957086,0.010739736304790857
68,0.016807511944445557,0.86932373153385,-0.016380098015293904,-0.4876035649877282,-0.016089308093176873,0.0077263780514352735
69,0.02707914255471486,1.4005964315367527,-0.007164155674619312,0.7394040233315642,0.004130343768112922,0.6036113983860784
70,0.007420242131597612,0.3837922352842282,0.004043699454800739,0.6790617575378489,-0.002218133826317392,-2.996377895547573
71,0.027113509049158248,1.4023739468101621,-0.013280548228720953,0.2559230875544413,-0.0032590419853621364,0.9817981867328065
72,0.0006731494496988247,0.03481686006985277,-0.029260135523341106,-2.2883513006260245,-0.047941165820229226,-1.558587970919432
73,-0.01149542880280223,-0.594570397775992,0.0068545623759732974,-0.011423246918921777,0.002986321812628343,-0.4596814591398314
74,-0.004468421287873431,-0.231117174325326,0.0033224501095005425,0.04775040735783138,0.006348630282648807,0.9341715580003918
75,-0.005608464640673795,-0.2900828763782283,0.009050210892493894,0.4470127125649336,0.010951664376683313,0.10243017326236338
76,0.01733362758903608,0.8965356601575223,-0.009737589024017064,0.06467358217554249,-0.008008184464050924,-0.45488929531309663
77,-0.019238630548859863,-0.9950668578202628,-0.016392984936292238,-2.2292929902283185,-0.03556767580663746,-0.8408351263114245
78,0.01730934040049004,0.8952794701012488,-0.021728451589089738,-0.8875914004679624,-0.021751274303332555,0.49265554918080956
79,-0.008256968047884613,-0.4270696518478426,-0.014056880030592377,-1.5136934532347233,-0.023152932961960873,0.23417154789366348
80,-0.017456391213536086,-0.9028852812376509,0.017498097673941688,0.5449467849111437,0.013656850892316604,-0.9946577042771689
81,-0.010843894985705427,-0.5608715486559553,0.026605894429022958,1.58667697167386,0.03744153850821426,1.011606209537841
