observation,innovation_mean,innovation_lag1_autocorr,standardized_innovation_mean,standardized_innovation_std,standardized_innovation_lag1_autocorr
x,0.0013076259100502999,-0.03239720372352074,0.0654620959785291,1.0057950251132846,-0.03187332184436708
pi,-0.000496513110028998,-0.028578501474029863,0.018830100279964325,1.0593216152026672,-0.013450279766044421
i,-0.0005464787014077039,-0.010918630804617914,-0.11122916964655778,1.0498503256401719,0.050153587853546885
