t,true_r_n,true_u,true_nu,process_eps_demand,process_eps_costpush,process_eps_monetary
0,0.03236969540935947,-0.009174346443186272,0.0022048226994425156,0.1251992702064728,-0.9975860373669105,0.7730355917884891
1,0.03896649957108426,0.006500248953661853,0.003254555900201425,1.3070743243596687,1.1087422175254988,0.8608578201920668
2,0.023956261315426358,-0.0012753803803162373,0.008717352938692222,-0.7216938341441036,-0.45255048571471634,2.836029995436604
3,0.006986397943614799,-0.014343826402697296,0.004297910773711249,-1.2178611108726283,-1.3706136212539177,-0.024306278253944935
4,-0.009302124009027395,-0.019396344160858368,-0.00149928788923947,-1.489124236391924,-1.222443095950972,-1.4592973104380378
5,-0.0191079932784929,-0.011815219143067525,0.0010776037547581482,-1.166629407127099,-0.21170470626383409,0.7308990797511533
6,-0.013945060015621092,0.0017643362823596027,-0.00046746951008774665,0.1341334607173219,0.7671945853893365,-0.4025085549867283
7,-0.03792738864028038,-0.006994384293040995,-0.004583170276894306,-2.67713406277835,-0.7876552434220797,-1.7397742087401733
8,-0.028153428226278678,0.0015478647530568854,-0.003851474445281876,0.21884826859456133,0.5045056899577383,-0.6239557227338892
9,-0.02419907001045873,0.006676503821240721,0.0009731325515178525,-0.16763274294357933,0.5902571444712278,1.1595479096635162
10,-0.027034100711137106,0.012350992623203072,-0.000811765234929894,-0.7674844702770124,0.9012740712582711,-0.5193326042755281
11,-0.013139191543533083,-0.020683478166110315,-0.0015337813704315397,0.8488089025376598,-2.6858974477711848,-0.4511595011866371
12,-0.00713920915247817,-0.02323341591446417,-0.007171302892619909,0.33721440823482857,-1.2891676831409011,-2.5617648829616555
13,-0.018176966810648783,-0.014723525576422803,-0.002592798800841424,-1.2465599488666257,-0.3106817619190718,0.39714105818741213
14,-0.008806896817537914,-0.007955759075636708,-0.005199165539938559,0.5734676630981106,-0.05939962874253066,-1.5611064558071386
15,-0.018477178617046165,0.0007149193273105377,-0.00038469420286546237,-1.1431661163015838,0.4692798865128892,0.8859554268415268
16,-0.0140133665824276,0.01941963069980742,-0.0018060546834112547,0.07683763112093289,1.9062171036152153,-0.6454830327914094
17,-0.011659816622485828,0.011458512567677836,-0.00151671358083096,-0.04491233565437426,0.17486972177741256,-0.245474495650133
18,-0.022942374115014756,-0.008142653697778527,-0.0007077161865997218,-1.361452081702609,-1.3871909981617445,0.020256241526303256
19,-0.01425158767473582,0.013874585399086214,-0.00023354372138041917,0.4102311617275976,1.7945912247975477,0.04812574876777669
20,-0.039194147674101405,-0.007372514778079358,-0.00430647962907772,-2.7792877534312748,-1.4309807477622465,-1.6758831073550038
21,-0.040973655863003146,0.001026785776754944,-0.001421528860237103,-0.9618337723722031,0.47130431657946226,0.2926843817207028
22,-0.0298810768207976,-0.0139279364362423,-0.0016680112175859456,0.28978478696049087,-1.4441329324619772,-0.38289871498695766
23,-0.024370764042233393,0.013862179551101115,0.0024888816074454027,-0.046590258559532284,2.0826147769222265,1.3291548864953502
24,-0.021404591349847752,0.015692481487488787,0.0015590796729398923,-0.19079801160610405,0.876139171193823,0.12585554768687635
25,-0.020110308164876172,0.004341149649026285,-0.0036556346836665197,-0.2986635084997968,-0.3505091094718108,-1.7740698080545865
26,-0.00043622261923511457,0.0034592484127911258,-0.004803613619326462,1.5652023912665818,0.12886735882779832,-1.190318510997281
27,-0.0049446109803620835,-0.0041554034920898075,-0.0028518180052843236,-0.45956328849739914,-0.588502769848537,-0.18000447824843707
28,-0.008935948543537978,0.014194201023014101,-0.005697063429926332,-0.4980259759248314,1.6271902769059003,-1.7084617709136678
29,0.0033024192460135984,0.005714427757179737,-0.0004385666383226448,1.0451178080843984,-0.13826727543273143,0.9639860306562085
30,-0.002678453853958596,-0.007030817981914095,0.000264576597437989,-0.5320389250769472,-0.9888031860503963,0.19354396663972454
31,0.01914231637540321,-0.015772827677293447,0.001978180619440705,2.1285079458570086,-1.2257418686336399,0.7383569282886842
32,0.02972245090840084,-0.0028205586532077786,0.0007353130605097433,1.4408597808078272,0.5065855185438944,-0.10151089968424366
33,0.04440333743522846,-0.0006770151157629543,0.002459443801283742,2.062537670850779,0.0733264210840935,0.836714908411548
34,0.038136202443122325,0.005416011801912362,3.8182107799429425e-05,0.2613532494939564,0.5754519359793839,-0.4766159171369766
35,0.02327466560474218,0.015444391275143491,0.0002223020044766329,-0.7234296349755669,1.2736385374187311,0.08128438023076727
36,0.02467923888918041,-0.003386429119041876,0.0025550279431924877,0.6059506405386674,-1.110862475661362,0.9775507763816684
37,0.03343068091259946,0.0002864040891117762,-0.002663433002832832,1.3687289801255138,0.19796186486327141,-1.5763787897716302
38,0.034770759714853064,-0.01613015471981484,0.00016520072028054474,0.8026214984773504,-1.6273356764370728,0.5987668886787842
39,0.03644615264849966,-0.020767791665350165,-0.0016453007589071885,0.8629544876617211,-1.2702714305442746,-0.6911604476189843
40,0.015214176594818161,-0.019187919447189068,-0.004429562961361883,-1.3942745523981568,-0.8804023614513988,-1.4427650327633155
41,-0.004916583182429497,-0.027249320737014294,-0.0005715223939306978,-1.708792445828403,-1.765536101341976,0.6573036347000974
42,-0.002131264158349709,-0.002678850245304506,-0.0011582815706449364,0.18020023875938773,1.0945810123202642,-0.349008149471835
43,0.011995975538263233,-0.014268178040868428,-0.0008444857486483401,1.3700986864942999,-1.2928752918216175,-0.10613798533034877
44,0.006680284464387584,-0.019034338016018924,-0.0027593753793725274,-0.2916495966223006,-1.190024899558471,-0.934853002019343
45,-0.008074971494225949,-0.00955362034403511,-0.003355352597932914,-1.3419199065736023,-0.0036451336025648253,-0.7902659632986601
46,-0.0029175569849242897,-0.002016183437856637,-0.002287461491185225,0.3542420210456464,0.27606267341609175,-0.24391407688750724
47,-0.010066225162385742,-0.004844188639598543,0.0007302060646145819,-0.7732179574446311,-0.3836096920670224,0.7495747240828777
48,-0.006442888709536325,-0.006529711289895147,-0.00042535935618679267,0.16100914203722658,-0.4107616970095875,-0.3161849553976334
49,0.012516628642161683,-0.007356811387464399,-0.0008805382804275277,1.767093960979074,-0.4091955742516825,-0.26714344093365255
50,0.016463433592746532,-0.008284500254032556,-0.003989575654312544,0.6450130679017183,-0.46060945603003567,-1.419722605639512
51,0.005051313364525975,-0.008304818252040123,-0.002189752714124311,-0.811943350967125,-0.41625681250238455,-0.07798595478721561
52,0.0014868002294372604,-0.014018323683704002,-0.0009337110754203807,-0.25542504621835227,-0.986591455768394,0.06446611265670991
53,0.007861671243531487,-0.019909084693941384,0.0048369569232689395,0.6672231059981674,-1.2899922852089385,2.1215249843916517
54,-0.004507174706592316,0.005812412056641982,0.005910168415263123,-1.0796511701417513,1.5766954403612674,1.396675981451461
55,0.008854733253064635,0.012654431681862938,0.0001395683959884448,1.246047301833849,0.9748225653541948,-1.1262063246572467
56,0.0006456702011294474,0.012750711579241878,-0.00220662350301826,-0.6438116401322255,0.6423495738310409,-0.9105630804049929
57,0.008283062657931549,-0.004231846769792661,-0.004142730500345955,0.7766526497027996,-1.06072025594136,-1.2157674995347298
58,0.0077136884480821484,-0.007006475592924001,-0.0011264965266226446,0.10872383217369098,-0.4890552208027671,0.3779474894201331
59,0.00045921310308644995,-0.019222405281339502,0.0006088522797502358,-0.571173765537927,-1.57191674848775,0.46884021722462327
60,-0.011996976965410173,-0.013321222609570048,0.0033658692674663443,-1.236434744787934,-0.3710019968900297,1.2245772510364905
61,0.005433648023061935,-0.011790878503573824,0.0008839392532313468,1.5031229595390068,-0.51302671987888,-0.3195981522007301
62,0.004777587885157157,0.003203199218081575,0.0038650355191885114,0.043066946670760456,0.9098638469868486,1.3692263570291352
63,0.0011421512755253665,-0.0037867283372257543,4.2797271031986585e-06,-0.26799190326003564,-0.5388327946266541,-0.7712952129964228
64,-0.0037823349155438894,0.0074502054942547375,-0.0043490996061968205,-0.46960559359641835,0.9343569662867615,-1.7404957878993679
65,-0.018016386124523755,-0.018339648717360917,-0.0025095239225998577,-1.4990518192088642,-2.2064751464488284,-0.13398964780057893
66,-0.006759795140748457,-0.012700550904427396,-0.004187065213971991,0.7653313758870536,-0.3530726545746938,-1.172921301068825
67,-0.006820749314694385,-0.006245039885921446,-0.0004606556398231618,-0.1412913202095625,0.010523556629225125,0.6531507868651335
68,-0.005240804429092678,-0.013456210342779443,0.00018577122145978925,0.021579502266282583,-1.033369039981872,0.16643961654854805
69,0.01050813528953428,-0.015382919317629723,0.0005400063439931341,1.4700778832808414,-0.8654814146240001,0.17884829330529578
70,0.008918562370015986,-0.008279881186488652,-0.006145151025230897,0.051205413838855816,-0.05884215276737913,-2.5660616788909856
71,0.016339536278663087,-0.013430125076253553,-0.0037442542037597177,0.9204686382650294,-0.9290184483009226,-0.2686714764577077
72,-0.007894991442943767,-0.018426038503893502,-0.006165884378364061,-2.096662046587424,-1.1710975965766723,-1.717502910593681
73,-0.009266722805254722,-0.004112196926107622,-0.0030113081239977247,-0.29507296508997166,0.5100822325839128,0.028653626073722384
74,-0.006168931534004663,0.0003209154827747505,0.0004360227870266074,0.12444467101991108,0.23770139458285613,0.7766707396101878
75,-0.00321637664477496,0.005532086759477123,-0.0021674377812985635,0.171876858242877,0.5371629018089747,-0.9541796699247468
76,0.002651113586801628,-0.004687735397321452,-0.0012264349332681169,0.5224214902621598,-0.7453778777060014,-0.05708641704753403
77,-0.022368364050291332,-0.007616180798563244,0.0007593368252365645,-2.4489254919732635,-0.5272313099902518,0.5490217167482492
78,-0.020263241312387006,-0.015662081758166215,0.0022878189009712243,-0.23685500721539482,-1.1853991358884592,0.7632601953411768
79,-0.03033767996268713,-0.010699558583035366,0.0006648268988267796,-1.4127086912777533,-0.2868517703952258,-0.19163302066353302
80,-0.02875788416532661,0.004625567830705249,-0.002281789409579959,-0.4487740195176915,0.9975347122222932,-1.0456811435973397
81,-0.010031245442606928,0.014407858427781386,-0.000389441678333016,1.2975061889654356,1.209507451242876,0.3005812105827854
82,-0.003644741550998483,-0.0001390711398577436,-0.0021746338397043785,0.43802548030870625,-0.7343000353748437,-0.7919652002151483
83,0.002332978284162943,0.0030483325071601094,0.001838867397298986,0.5248771524961728,0.3117868077088981,1.1704737268604701
84,-0.0010386879787098939,0.008049659685572672,-0.0021850406082450126,-0.29050706060402465,0.6525493431992617,-1.2417897227578023
85,0.006080583633118104,0.010831157675640288,0.0010149013426904406,0.6911534016086022,0.6806327832853952,0.8429686587251787
86,-0.003302287641688678,-0.006134314281713059,-0.0003121220917192627,-0.8166754548183155,-1.1549893119533203,-0.32782910522579317
87,-0.00202498635215402,0.007722209986446036,0.0021196744362900724,0.06168437611969197,1.0789367127302565,0.9102941928598816
88,-0.00016851133585970798,-0.022039944532154625,0.006176951427131698,0.14514777458635106,-2.5901049525377644,2.0468456835946647
89,0.015491812903680872,-0.005250635781753753,0.0051290106885727655,1.562662197236863,0.576933648432356,0.8162139900027666
90,0.014378078500761931,-0.0006063922929021993,0.002703475679926769,0.1984628177817234,0.20189255979746773,0.05558813425615445
91,0.006473166878101495,0.019072992320659617,-0.0017276259571575021,-0.5029295922508047,1.9376188467110718,-1.2317455188483546
92,0.008673996423435035,-0.00997858618472816,0.0005344165338242643,0.34954629209538474,-1.9515082345057966,0.5592918049612061
93,0.012393734926400918,-0.017276414908780718,0.0046205780363485485,0.5454537787652888,-1.2287121816416637,1.7413479077745666
94,0.012425241570903236,0.0072315056806219035,0.004336341498437085,0.25102536297824973,1.5869713135012262,0.8104209921051242
95,-0.00029563009085121356,-0.003394155848313555,0.005541110567567101,-1.0235823347573798,-0.7009908688624507,1.3491759273394237
96,-0.017613241392846597,0.019039676527249763,0.005311593864299391,-1.7376737320165625,2.073675445140654,1.016415432206336
97,-0.01429583821731584,0.005511449457064072,0.005865578050171431,-0.020524510303855836,-0.4008388806560809,1.2839124472086945
98,-0.030012046422202746,0.010781076331241006,-0.0021607048996623683,-1.8575375848350075,0.8025351602708969,-2.0373975698992335
99,-0.015867635525469527,0.011842334656328363,-0.0016394309320375915,0.8142001612292666,0.6451796490707858,-0.22363139288256298
100,-0.019561641073467084,0.0005915842277206922,0.00026668774268958154,-0.686753265309146,-0.5329583100443489,0.4345612834833509
101,-0.012790881109643071,-0.00468566619466392,0.0006510786251908563,0.2858431749130594,-0.4981458308524266,0.2070939015384262
102,-0.007386436314766124,0.011327849208539253,-0.001544789315588211,0.28462685729483284,1.3670682305871213,-0.7481314512734556
103,-0.004367896205946098,-0.009745541801874008,0.0013406225856986513,0.15412528458668048,-1.5409466406143635,0.8452068973971026
104,-0.016345467033807303,-0.006981805678812496,0.0019922349200122945,-1.2851150069050428,-0.21090347778754914,0.5287694508651875
105,-0.013823541836229676,-0.012641652120569582,-0.0014345795140125336,-0.07471682091838383,-0.9150749281163334,-0.9722787896074723
106,-0.0027468567286537977,0.0021205564678173344,-0.0029224307661727487,0.8311976740329935,0.8441382528102125,-0.8820564036665927
107,0.01778259551949313,-0.005395925952395952,-0.0017882070861518764,1.998008090241617,-0.6456204186304619,-0.13079668122620086
108,0.019072430314969073,0.001016932864578676,-0.0004402904707566611,0.4846353899374571,0.3714895840776652,0.18152522892771084
109,0.005593861321122289,0.00574110724061602,-0.0028677497290819473,-0.9664082930852966,0.5232640808326682,-1.0590417974814466
110,-0.004263319560887725,-0.01033042855633499,-0.00303333757490075,-0.8738408617785552,-1.3200982176643,-0.6397850841439104
111,-0.004841357170227453,-0.005432978171049636,-0.0028654714164945425,-0.14307015215172778,-0.026776389288214127,-0.5395210516176671
112,0.0023642390671354705,0.0019721759486887964,-0.0008192425768745452,0.623732480331743,0.46886650342136144,0.24539725254909042
113,0.0007306824381037265,-0.023073832710643404,0.001328849054569164,-0.11607088156046488,-2.40599206849878,0.6953881372025746
114,-0.008935518087811485,-0.016224721455782364,0.0006005238786104282,-0.9520064038294476,-0.4687805100460661,-0.025560259469661548
115,-0.004675261205666975,-0.011136178409133408,0.0008706807627685993,0.2473153264582205,-0.30238176812422246,0.22816752938535412
116,-0.00705519718944178,-0.01951804580802638,-0.001335834962675063,-0.3314988224908205,-1.3949956603459677,-0.7084701376237451
117,-0.016919288290779638,-0.028634674959748096,-0.0010210990015548215,-1.1275130539226221,-1.8875652055734904,-0.14127260808691594
118,-0.009138317100721709,-0.016080851140624262,-0.0037666314373814343,0.43971135319019883,-0.17635136607502147,-1.3024327746416093
119,-0.012515112989921647,-0.004289174420496254,-0.005929518915111159,-0.5204459309344286,0.3751251149815877,-1.6184812785681766
120,-0.020008500809098974,-0.007543299229108228,-0.006712046113649539,-0.9996410417161657,-0.5398712018860101,-1.498914662437584
121,-0.021790000525723496,-0.023414661776751416,-0.006199953599420001,-0.5783199878444325,-1.9643012162197302,-1.1375722170380924
122,-0.0103933628416637,0.01843651713257688,-0.004185905906535637,0.7038637578915083,3.014384802095259,-0.4343716427302547
