specification,state,aggregate_rmse,aggregate_mae,mean_coverage_95,mean_confidence_band_width,max_abs_error,log_likelihood,rmse,correlation,mae,coverage_95
well_specified,r_n,0.0014067100740476537,0.0010274985419769136,0.9375,0.0044133772218853985,0.006252340151985271,2281.002810497587,0.0011249050178751298,0.9975702273408059,0.000912778150851092,0.9375
well_specified,u,0.0014067100740476537,0.0010274985419769136,0.9375,0.0028033732115910065,0.006252340151985271,2281.002810497587,0.0007437674004407606,0.9980395031066477,0.0005679260580418619,0.9333333333333333
well_specified,nu,0.0014067100740476537,0.0010274985419769136,0.9375,0.00758550341010271,0.006252340151985271,2281.002810497587,0.0020292605678134124,0.761656302705818,0.0016017914170377875,0.9416666666666667
rho_r_filter_0_70,r_n,0.0014480640902746892,0.0010637017997662242,0.9402777777777778,0.005035681527306738,0.006282335601173407,2310.506799738395,0.0012848122252100854,0.9968290250062686,0.0010412591479925504,0.9458333333333333
rho_r_filter_0_70,u,0.0014480640902746892,0.0010637017997662242,0.9402777777777778,0.0026672081516252526,0.006282335601173407,2310.506799738395,0.0007094894999291672,0.9982152594293666,0.0005432460323299199,0.9375
rho_r_filter_0_70,nu,0.0014480640902746892,0.0010637017997662242,0.9402777777777778,0.007583275612962516,0.006282335601173407,2310.506799738395,0.002033851278749299,0.760321262674921,0.001606600218976202,0.9375
