observation_design,state,aggregate_rmse,aggregate_mae,mean_coverage_95,mean_confidence_band_width,max_abs_error,log_likelihood,rmse,correlation,mae,coverage_95
full_panel,r_n,0.0014067100740476537,0.0010274985419769136,0.9375,0.0044133772218853985,0.006252340151985271,2281.002810497587,0.0011249050178751298,0.9975702273408059,0.000912778150851092,0.9375
full_panel,u,0.0014067100740476537,0.0010274985419769136,0.9375,0.0028033732115910065,0.006252340151985271,2281.002810497587,0.0007437674004407606,0.9980395031066477,0.0005679260580418619,0.9333333333333333
full_panel,nu,0.0014067100740476537,0.0010274985419769136,0.9375,0.00758550341010271,0.006252340151985271,2281.002810497587,0.0020292605678134124,0.761656302705818,0.0016017914170377875,0.9416666666666667
policy_panel,r_n,0.0028895071385664837,0.002227599517004639,0.9305555555555556,0.013314162665229052,0.010066224911377429,1442.859530523304,0.0034820400421145528,0.9769220597971944,0.0027800310915571088,0.9375
policy_panel,u,0.0028895071385664837,0.002227599517004639,0.9305555555555556,0.006772783005094733,0.010066224911377429,1442.859530523304,0.0017872472315118278,0.9887906816854284,0.0014245986771797175,0.9375
policy_panel,nu,0.0028895071385664837,0.002227599517004639,0.9305555555555556,0.011187900731123801,0.010066224911377429,1442.859530523304,0.0031191183033101194,0.20789234817399288,0.0024781687822770914,0.9166666666666666
