scenario,state,aggregate_rmse,aggregate_mae,mean_coverage_95,mean_confidence_band_width,max_abs_error,log_likelihood,rmse,correlation,mae,coverage_95
small,r_n,0.0005944956381359638,0.0004206108747014467,0.9402777777777778,0.0016351763815946926,0.002863071647601332,2378.0200602687887,0.00041628340008422035,0.9996665920306247,0.0003375307632013278,0.9541666666666667
small,u,0.0005944956381359638,0.0004206108747014467,0.9402777777777778,0.001094981979549625,0.002863071647601332,2378.0200602687887,0.0002860062812057534,0.9997101161400023,0.0002182478568100503,0.9291666666666667
small,nu,0.0005944956381359638,0.0004206108747014467,0.9402777777777778,0.003438996702355883,0.002863071647601332,2378.0200602687887,0.0008973203046923861,0.9577922886014669,0.0007060540040929621,0.9375
medium,r_n,0.0014067100740476537,0.0010274985419769136,0.9375,0.0044133772218853985,0.006252340151985271,2281.002810497587,0.0011249050178751298,0.9975702273408059,0.000912778150851092,0.9375
medium,u,0.0014067100740476537,0.0010274985419769136,0.9375,0.0028033732115910065,0.006252340151985271,2281.002810497587,0.0007437674004407606,0.9980395031066477,0.0005679260580418619,0.9333333333333333
medium,nu,0.0014067100740476537,0.0010274985419769136,0.9375,0.00758550341010271,0.006252340151985271,2281.002810497587,0.0020292605678134124,0.761656302705818,0.0016017914170377875,0.9416666666666667
large,r_n,0.0023987891593833287,0.00186359710181413,0.9361111111111111,0.01028075841720429,0.008434930098666513,2089.3927606436937,0.002552639934985225,0.987458232230154,0.002083482226369375,0.9541666666666667
large,u,0.0023987891593833287,0.00186359710181413,0.9361111111111111,0.006101315506007938,0.008434930098666513,2089.3927606436937,0.0015769352671834718,0.9911568768083819,0.001226949644538035,0.9416666666666667
large,nu,0.0023987891593833287,0.00186359710181413,0.9361111111111111,0.01034065127854941,0.008434930098666513,2089.3927606436937,0.0028739994465825066,0.4102809790562901,0.00228035943453498,0.9125
