variant_name,training_seed,best_validation_return,final_validation_return,final_mean_episode_return,best_validation_return_selected,final_validation_return_selected,final_mean_episode_return_selected
thin_information_moderate_gap_rawobs,11,-0.0018961939870619355,-0.006862798969703811,-0.005147301869801227,-0.002954406956429388,-0.002954406956429388,-0.004183740388444582
thin_information_moderate_gap_rawobs,22,-0.0027648173251463076,-0.00846237886720705,-0.009933393724649124,,,
