сценарий,classical средняя потеря,RL средняя потеря,RL минус classical,classical RMSE ставки,RL RMSE ставки
Фильтрация: с распределительной статистикой,1.621997195518583e-06,1.9492030750052767e-06,3.2720587948669376e-07,0.00042349094391471673,0.0006654536027441713
"Фильтрация: инфляция, выпуск и ставка",1.6160903703607804e-06,2.342613536523279e-06,7.265231661624985e-07,0.0004316144035914485,0.0008812814657085706
"Фильтрация: инфляция, выпуск и ставка",1.6160903703607804e-06,1.6350908430196825e-06,1.9000472658902022e-08,0.0004316144035914485,0.0005040032474828567
