scenario,scenario_label,mean_policy_loss,cumulative_policy_loss,mean_full_information_loss,cumulative_full_information_loss,delta_mean_policy_loss_filtered_minus_full_information,delta_cumulative_policy_loss_filtered_minus_full_information,mean_abs_rate_gap,policy_rate_rmse,policy_instrument_volatility,impact_nominal_rate_pp,impact_inflation_pp,impact_output_gap_pct,impact_low_liquidity_gap_pp,impact_mean_mpc_gap_pp,peak_low_liquidity_gap_difference,peak_mean_mpc_gap_difference
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",6.844719467059674e-05,0.004106831680235804,6.451119927298176e-05,0.0038706719563789058,3.9359953976149826e-06,0.00023615972385689857,0.0003568110271527052,0.0004741388752167078,0.0015888272849457984,0.07307670299073082,-0.026112929703252137,-0.2595806857984696,0.008149935961086173,0.08097256876228555,0.0003360520404659243,0.0008504224179760904
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",4.392697357951932e-05,0.0026356184147711594,3.7524122581263244e-05,0.0022514473548757947,6.40285099825608e-06,0.0003841710598953647,0.0007290765004663317,0.0007917085162526071,0.002409358276345009,0.10229208532935442,0.005054796611891497,-0.13685596108170048,-0.0064496176348293145,-0.12886173041310864,0.000719343123772648,0.0012325477721877609
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,0.00010721717973840854,0.006433030784304512,0.00017463528863378275,0.010478117318026964,-6.741810889537421e-05,-0.004045086533722452,0.0014466477273912869,0.0015971898956026556,0.0010910783067837623,0.12356861591428506,0.017702351520466654,0.28835615766388023,0.0032228206900180544,-0.031173936189731497,0.001023379374263062,0.002199098693999861
thin_information_strong_gap,Фильтрация: инфляция и ставка × сильный режимный разрыв,3.982632880811803e-05,0.0023895797284870816,5.2469387376478085e-05,0.003148163242588685,-1.2643058568360056e-05,-0.0007585835141016035,0.0008727063368437237,0.001254163919030293,0.002233851840377505,0.12397696592332426,0.01499201808384696,0.20722026319312917,-0.01238186497542579,0.02319864317230986,0.002136331139920129,0.0034167931167762176
