scenario,scenario_label,period,hidden_regime,full_information_rate,filtered_rate,rate_gap,abs_rate_gap,full_policy_loss,filtered_policy_loss,excess_loss,full_inflation_gap,filtered_inflation_gap,full_output_gap,filtered_output_gap,full_low_liquidity_gap,filtered_low_liquidity_gap,full_mean_mpc_gap,filtered_mean_mpc_gap,stress_probability
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",0,1,0.0006632409126899799,0.0007307670299073082,6.752611721732834e-05,6.752611721732834e-05,3.459289557162181e-06,3.4639961543488666e-06,4.706597186685464e-09,-0.0002611292970325214,-0.0002611292970325214,-0.0025958068579846963,-0.0025958068579846963,8.149935961086173e-05,8.149935961086173e-05,0.0008097256876228555,0.0008097256876228555,0.22993290118702536
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",1,1,0.0008156556544213939,0.0009187326584050556,0.00010307700398366174,0.00010307700398366174,8.182317458949879e-06,9.195635641407301e-06,1.0133181824574226e-06,0.0005480050059034473,0.0005697124023749946,0.003970099862668391,0.004211720994109791,0.00024264013593716703,0.000249359651405622,5.8155554428163266e-05,8.054200696175709e-05,0.2800787050743973
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",2,1,0.0010725531736773403,0.0011624067514744098,8.98535777970695e-05,8.98535777970695e-05,1.631654426907998e-05,1.8810911799645113e-05,2.494367530565132e-06,0.0006289595542262367,0.0006746867601539851,0.005642278676467075,0.0060585048852231475,-0.0004405411989429057,-0.00045462383941513357,-0.0005504380525382963,-0.0006131976158539559,0.24811671394667645
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",3,1,0.0012828055148876325,0.0013782280667944552,9.542255190682272e-05,9.542255190682272e-05,1.222683063638251e-05,1.4150662378494607e-05,1.9238317421120975e-06,0.0007979355491432509,0.000848262833171162,0.004814129037208443,0.005182428697502304,-0.0009309418500464797,-0.0009812385424865962,0.0009261961107893235,0.0007813742302808951,0.3481070936391631
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",4,1,0.0021629780839755586,0.0022038119725057825,4.083388853022389e-05,4.083388853022389e-05,9.775102702511521e-05,0.00010250484731851427,4.753820293399057e-06,0.001415714763159458,0.0014641657265687558,0.013835320274349909,0.014165238198095165,-0.0007129748510046437,-0.0007778292979122054,-0.001289728444222719,-0.0014249516022047468,0.6319834996241182
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",5,1,0.0030679154387866286,0.0030200726065123,-4.7842832274328645e-05,4.7842832274328645e-05,0.00013321939629629703,0.00013491185749996707,1.6924612036700322e-06,0.0018415713787637653,0.0018686455721086204,0.016111304451993238,0.016210287298791128,-0.0013666254524361727,-0.0014383827320180332,-0.004111817615438443,-0.004255568142459341,0.5738023638545567
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",6,1,0.0038891849315496082,0.003818572373665766,-7.061255788384227e-05,7.061255788384227e-05,0.00015469713868850946,0.00014984402350242464,-4.853115186084821e-06,0.0023935116057845697,0.002378453157198352,0.017258882739186618,0.016979699878827696,-0.0023424037515803343,-0.0023995393873744177,-0.006306168278543595,-0.0063882197832049546,0.8833254130361553
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",7,1,0.004610341143142414,0.004669251342635887,5.891019949347265e-05,5.891019949347265e-05,0.0002037319420321777,0.0001954155085407647,-8.316433491413006e-06,0.00263801309011824,0.00259507997570396,0.019836674401444744,0.019423948400109213,-0.0030174816021650477,-0.003022303155512474,-0.006396834627619257,-0.006328216358261132,0.976230600721874
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",8,1,0.005070347705024257,0.005207934385380044,0.00013758668035578677,0.00013758668035578677,0.00016682275868049057,0.00016847379456895708,1.6510358884665166e-06,0.0025940193691252346,0.0025863724792414985,0.017893196578098892,0.017987215626469388,-0.0034398595278556836,-0.0033842412601250284,-0.004371234959646276,-0.00418909576835656,0.9889469686668559
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",9,0,0.005377928294814395,0.005602046024667354,0.00022411772985295956,0.00022411772985295956,0.00020397482396055196,0.00021335285900542946,9.3780350448775e-06,0.0025041965533097164,0.0025437312588623084,0.019884621861729377,0.020340822209974952,-0.0019251227397540517,-0.0018870339960829852,-0.006214511846890317,-0.006198580633969037,0.7349879570828254
