scenario,scenario_label,period,hidden_regime,policy_name,policy_label,filtered_rstar_gap,true_rstar_gap,filtered_productivity_gap,true_productivity_gap,filtered_fiscal_gap,true_fiscal_gap,filtered_inflation_gap,true_inflation_gap,filtered_output_gap,true_output_gap,filtered_low_liquidity_gap,true_low_liquidity_gap,filtered_mean_mpc_gap,true_mean_mpc_gap,p_normal,p_stress,policy_rate
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",0,1,classical_filtered_rule,Classical: switching filter + fixed rule,-5.836333928787752e-06,-0.0004063604882365312,1.4139737044584161e-05,-0.00028952855229380216,1.091378156723437e-06,-0.00047301419987443315,-0.00038455282740599184,-0.0002611292970325214,-0.002518221268836243,-0.0025958068579846963,0.0003266440367225822,8.149935961086173e-05,0.0013816480482763418,0.0008097256876228555,0.7700670988129746,0.22993290118702536,0.0007307670299073082
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",1,1,classical_filtered_rule,Classical: switching filter + fixed rule,4.305544654097158e-05,-0.00014697993989402658,-0.0003921269629695899,-0.00025942228132991876,-7.938489880374872e-05,-0.0011856686073903001,0.0004572732512697358,0.0005697124023749946,0.005026830411633792,0.004211720994109791,0.00043135810714798825,0.000249359651405622,-0.0005817838256474457,8.054200696175709e-05,0.7199212949256028,0.2800787050743973,0.0009187326584050556
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",2,1,classical_filtered_rule,Classical: switching filter + fixed rule,3.7023861064616664e-05,2.325655271014261e-05,-0.0003281520753226233,0.0005125665364057541,-5.7802833895165844e-05,-0.0008221661166755374,0.000615944532032559,0.0006746867601539851,0.0061603118095155795,0.0060585048852231475,-7.421326318748488e-05,-0.00045462383941513357,-0.0014088694784383194,-0.0006131976158539559,0.7518832860533236,0.24811671394667645,0.0011624067514744098
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",3,1,classical_filtered_rule,Classical: switching filter + fixed rule,2.719810804130837e-05,-2.5275142320950965e-05,-0.00017733350377517577,8.163987231747178e-05,-2.620759635051409e-05,-0.00044669079587627755,0.0007860303025866106,0.000848262833171162,0.005404540591626693,0.005182428697502304,-0.00043573475368110175,-0.0009812385424865962,-0.002955697601754456,0.0007813742302808951,0.6518929063608369,0.3481070936391631,0.0013782280667944552
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",4,1,classical_filtered_rule,Classical: switching filter + fixed rule,0.00010847930770404587,0.00036372689948112715,-0.0009008822972762711,-0.000618929716772603,-0.0001702291619854203,-0.00010067452400992159,0.0015556147415102342,0.0014641657265687558,0.01350618399356919,0.014165238198095165,-0.0007160591638941008,-0.0007778292979122054,-0.004727310148187565,-0.0014249516022047468,0.36801650037588185,0.6319834996241182,0.0022038119725057825
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",5,1,classical_filtered_rule,Classical: switching filter + fixed rule,0.00011285349973203513,0.00040316580870099043,-0.000919160673471374,-0.00045098017670087954,-0.0001581016540422456,-0.000498344550824597,0.0018702840521773395,0.0018686455721086204,0.016051209396235694,0.016210287298791128,-0.0014352537172588747,-0.0014383827320180332,-0.005236034649168204,-0.004255568142459341,0.4261976361454433,0.5738023638545567,0.0030200726065123
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",6,1,classical_filtered_rule,Classical: switching filter + fixed rule,9.881532647624245e-05,5.785266358804465e-05,-0.0007570083058820246,-5.985976338844902e-05,-0.0001172801803370678,-0.0006551490907377169,0.002303972761949455,0.002378453157198352,0.017015712220987425,0.016979699878827696,-0.0023858516703387815,-0.0023995393873744177,-0.007008082557428486,-0.0063882197832049546,0.11667458696384472,0.8833254130361553,0.003818572373665766
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",7,1,classical_filtered_rule,Classical: switching filter + fixed rule,0.00011002265378002949,-0.00014356496516565833,-0.0008236401869160735,0.0005653904503094161,-0.0001275444178649107,-0.0007536776473791029,0.0027293003591973876,0.00259507997570396,0.01960156595458713,0.019423948400109213,-0.003003629685308114,-0.003022303155512474,-0.008134093210993638,-0.006328216358261132,0.023769399278126088,0.976230600721874,0.004669251342635887
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",8,1,classical_filtered_rule,Classical: switching filter + fixed rule,7.75212720162804e-05,1.601772346501124e-05,-0.00047393697948112316,-0.0003885200108573979,-5.434765125872599e-05,-0.0005735517624321166,0.0027592701612915824,0.0025863724792414985,0.01798747976930204,0.017987215626469388,-0.0035911435148286677,-0.0033842412601250284,-0.008188609425153455,-0.00418909576835656,0.011053031333144059,0.9889469686668559,0.005207934385380044
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",9,0,classical_filtered_rule,Classical: switching filter + fixed rule,8.079251597537592e-05,-0.00014625622502269616,-0.0005709661231646111,-0.0002691364298683148,-7.355113606496179e-05,-0.0004913979317689008,0.0025966395670978418,0.0025437312588623084,0.020367103864391535,0.020340822209974952,-0.0032610531798815557,-0.0018870339960829852,-0.0060459396175518865,-0.006198580633969037,0.2650120429171745,0.7349879570828254,0.005602046024667354
