scenario,scenario_label,mean_state_rmse,distribution_state_rmse,regime_accuracy,stress_brier_score,mean_stress_probability,mean_stress_probability_in_stress,mean_stress_probability_in_normal,mean_detection_delay,log_likelihood
macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",0.0006463116841358765,0.0009617671994240487,0.7833333333333333,0.1682320882332691,0.3807242552357171,0.5701897742936576,0.25441390919709017,1.5,684.2431633670126
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",0.0006604673281040307,0.0009987601281981455,0.8,0.13169112788293189,0.2982294007965339,0.5585639955690008,0.19530642146788435,2.0,666.6125177978652
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,0.0012743186778579809,0.001121318658408765,0.7166666666666667,0.20728796312485087,0.24699910063436897,0.2472521756543052,0.2468990477195104,24.5,382.3397573824346
thin_information_strong_gap,Фильтрация: инфляция и ставка × сильный режимный разрыв,0.0014138417619838106,0.0014482628061300144,0.36666666666666664,0.3889546954678132,0.2589663564428099,0.26619300917431865,0.2445130509797925,28.0,375.9247989525809
