scenario,scenario_label,period,Y_deviation,Y_level,Y_pct,output_gap_deviation,output_gap_level,output_gap_pct,pi_deviation,pi_level,pi_pct,i_deviation,i_level,i_pct,C_deviation,C_level,C_pct,I_deviation,I_level,I_pct,N_deviation,N_level,N_pct,w_deviation,w_level,w_pct,r_deviation,r_level,r_pct,ra_deviation,ra_level,ra_pct,rb_deviation,rb_level,rb_pct,A_deviation,A_level,A_pct,B_deviation,B_level,B_pct,tax_deviation,tax_level,tax_pct
baseline,Базовое правило,0,-0.002182728942730371,0.9978172710572696,-0.2182728942730371,-0.0021827289427304164,-0.0021827289427304164,-0.21827289427304164,-0.0004394760726433386,-0.0004394760730569374,-0.04394760726433386,0.0007203834319581067,0.013220383430837718,0.07203834319581066,-0.0010769573195953397,0.5492297879199148,-0.19570127549983332,-0.001411044919947646,0.19858895508005164,-0.7055224599738256,-0.0032558062836149926,0.996744193716385,-0.32558062836149926,-0.0004121004455056948,0.6595878995544944,-0.062439461440256784,0.00044516526327012594,0.012945165263270126,0.04451652632701259,-0.0012907999143147997,0.011209200085685156,-0.12907999143147997,0.0004451652632701253,-0.0020548347367298735,0.04451652632701253,-0.01737884082465868,12.942621159175356,-0.13409599401742794,-0.001857054350813625,1.0381429456492448,-0.17856291834745391,0.003282171562436653,0.35934277762304273,0.3282171562436653
baseline,Базовое правило,1,-0.0011115849946659307,0.9988884150053341,-0.11115849946659306,-0.001111584994665904,-0.001111584994665904,-0.1111584994665904,-0.00027554751201488325,-0.00027554751242848204,-0.027554751201488325,0.00033858758466400525,0.012838587583543618,0.033858758466400525,-0.0008166694438432875,0.5494900757956669,-0.14840258654068436,-0.0006091363152329332,0.19939086368476636,-0.30456815761646766,-0.0015890656392563152,0.9984109343607437,-0.15890656392563152,-0.0003259158078823144,0.6596740841921177,-0.04938118301247188,0.0009996507883100105,0.013499650788310011,0.09996507883100106,0.000999650790488138,0.013499650790488094,0.0999650790488138,0.0009996507883100105,-0.0015003492116899882,0.09996507883100106,-0.005554757258732224,12.954445242741283,-0.04286078131737822,-0.003591171107307778,1.0364088288927507,-0.34530491416419,0.00499268919390794,0.361053295254514,0.499268919390794
baseline,Базовое правило,2,-0.0005141216053222857,0.9994858783946777,-0.051412160532228565,-0.0005141216053222708,-0.0005141216053222708,-0.05141216053222708,-0.0001821012170115216,-0.0001821012174251204,-0.01821012170115216,0.0001357862014100339,0.012635786200289646,0.01357862014100339,-0.000468155067297249,0.5498385901722129,-0.085071657097987,-0.00018743799079679047,0.1998125620092025,-0.09371899539839557,-0.0006690916198546226,0.9993309083801454,-0.06690916198546226,-0.0002660565120005613,0.6597339434879995,-0.04031159272735777,0.0005230603371174741,0.013023060337117474,0.05230603371174741,0.0005230603372607945,0.01302306033726075,0.05230603372607945,0.0005230603371174734,-0.0019769396628825254,0.052306033711747336,0.0005590232321299737,12.960559023232145,0.0043134508652004095,-0.004335528869439331,1.035664471130619,-0.4168777759076046,0.0026035094865922703,0.35866411554719835,0.26035094865922703
baseline,Базовое правило,3,-0.0001947537668868807,0.9998052462331131,-0.01947537668868807,-0.0001947537668869348,-0.0001947537668869348,-0.01947537668869348,-0.0001287183691433435,-0.0001287183695569423,-0.012871836914334349,2.9823808614258674e-05,0.012529823807493871,0.0029823808614258675,-0.00027496122468273487,0.5500317840148274,-0.04996508348504131,2.859794811246874e-05,0.20002859794811176,0.01429897405623442,-0.00018522821596045347,0.9998147717840395,-0.018522821596045347,-0.00022236244382970355,0.6597776375561704,-0.0336912793681369,0.0002661478103327065,0.012766147810332707,0.026614781033270647,0.0002661478103407333,0.012766147810340689,0.02661478103407333,0.00026614781033270675,-0.002233852189667292,0.026614781033270675,0.0035989319517781837,12.963598931951793,0.02776953666495509,-0.004558491097999218,1.0354415089020592,-0.4383164517306694,0.0013156904405629,0.357376296501169,0.13156904405629
baseline,Базовое правило,4,-2.7321237794818106e-05,0.9999726787622052,-0.0027321237794818106,-2.732123779480844e-05,-2.732123779480844e-05,-0.002732123779480844,-9.767615453452941e-05,-9.767615494812821e-05,-0.00976761545345294,-2.4102149927862962e-05,0.012475897848951749,-0.0024102149927862962,-0.00016686723124370584,0.5501398780082665,-0.030322585119519144,0.00013439155474986864,0.20013439155474916,0.06719577737493455,6.114725814909683e-05,1.000061147258149,0.006114725814909683,-0.0001891945836857549,0.6598108054163143,-0.028665846012993164,0.00012873347880686196,0.012628733478806862,0.012873347880686196,0.00012873347880715258,0.012628733478807108,0.012873347880715258,0.00012873347880686115,-0.0023712665211931376,0.012873347880686115,0.005001233156100682,12.965001233156116,0.03858976200694966,-0.004515051005112625,1.0354849489949458,-0.4341395197223434,0.0006265852406915351,0.3566871913012976,0.06265852406915351
baseline,Базовое правило,5,5.820218513001692e-05,1.00005820218513,0.005820218513001692,5.820218513008513e-05,5.820218513008513e-05,0.005820218513008513,-7.912839540797838e-05,-7.912839582157718e-05,-0.007912839540797838,-5.029670094071617e-05,0.012449703297938895,-0.005029670094071617,-0.00010527198479048927,0.5502014732547197,-0.019129691885690355,0.00018175305045989298,0.20018175305045918,0.09087652522994681,0.00018014013501321813,1.0001801401350132,0.018014013501321813,-0.00016314248159268114,0.6598368575184074,-0.0247185578170729,5.601976390790938e-05,0.01255601976390791,0.0056019763907909385,5.6019763907899645e-05,0.012556019763907855,0.0056019763907899645,5.601976390791005e-05,-0.0024439802360920887,0.005601976390791005,0.0055432629467180305,12.965543262946733,0.042772090638256356,-0.004342196011420052,1.0356578039886384,-0.41751884725190463,0.00026156524866916,0.35632217130927524,0.026156524866915998
baseline,Базовое правило,6,9.992576309264532e-05,1.0000999257630927,0.009992576309264532,9.992576309270085e-05,9.992576309270085e-05,0.009992576309270085,-6.762196007714189e-05,-6.762196049074069e-05,-0.0067621960077141885,-6.18903565772391e-05,0.012438109642302374,-0.00618903565772391,-6.92707808612747e-05,0.5502374744586489,-0.012587667053058917,0.00019865810167202236,0.2001986581016713,0.09932905083601153,0.000231599572156016,1.000231599572156,0.0231599572156016,-0.00014206838738820197,0.6598579316126119,-0.021525513240636663,1.8171736902248273e-05,0.012518171736902249,0.0018171736902248274,1.817173690210616e-05,0.012518171736902062,0.0018171736902106161,1.817173690224841e-05,-0.0024818282630977503,0.0018171736902248409,0.0056432073760603885,12.965643207376075,0.04354326679058937,-0.004112570541097371,1.035887429458961,-0.39543947510549426,7.128919509824527e-05,0.3561318952557043,0.007128919509824527
baseline,Базовое правило,7,0.00011852492036873777,1.0001185249203688,0.011852492036873778,0.00011852492036878992,0.00011852492036878992,0.011852492036878992,-6.012675525215381e-05,-6.0126755665752615e-05,-0.006012675525215381,-6.593560495370724e-05,0.012434064393925906,-0.0065935604953707245,-4.744861675953782e-05,0.5502592966227506,-0.008622212460595363,0.00020010718868263,0.20020010718868192,0.10005359434131536,0.00024792692475461564,1.0002479269247546,0.024792692475461564,-0.00012458197846894044,0.659875418021531,-0.018876057343778854,-1.0121078131318465e-06,0.012498987892186869,-0.00010121078131318464,-1.012107813114227e-06,0.012498987892186841,-0.00010121078131142269,-1.0121078131315742e-06,-0.0025010121078131303,-0.00010121078131315742,0.005524169575561899,12.965524169575577,0.042624765243533126,-0.00386393046720368,1.0361360695328548,-0.3715317756926407,-2.5342436177910876e-05,0.35603526362442817,-0.0025342436177910876
baseline,Базовое правило,8,0.00012513180167777118,1.0001251318016777,0.012513180167777119,0.00012513180167772475,0.00012513180167772475,0.012513180167772475,-5.4953868672940654e-05,-5.4953869086539457e-05,-0.005495386867294065,-6.619172180750419e-05,0.012433808277072108,-0.006619172180750419,-3.356853531821802e-05,0.550273176704192,-0.006099967992143723,0.0001940704817858241,0.2001940704817851,0.09703524089291239,0.0002465117550121132,1.0002465117550121,0.02465117550121132,-0.00010975651887809381,0.6598902434811219,-0.01662977558758997,-1.0295412091266154e-05,0.012489704587908735,-0.0010295412091266155,-1.0295412091299028e-05,0.012489704587908657,-0.0010295412091299028,-1.0295412091266068e-05,-0.002510295412091265,-0.0010295412091266068,0.005303812282704712,12.96530381228272,0.04092447749000545,-0.0036152862092160287,1.0363847137908424,-0.34762367396306015,-7.221816456776109e-05,0.3559883878960383,-0.007221816456776109
baseline,Базовое правило,9,0.00012569022388936665,1.0001256902238893,0.012569022388936665,0.00012569022388930762,0.00012569022388930762,0.012569022388930762,-5.11570204222703e-05,-5.11570208358691e-05,-0.00511570204222703,-6.464148105942598e-05,0.012435358517820187,-0.006464148105942599,-2.4212871363560318e-05,0.5502825323681466,-0.004399886349389038,0.00018472819942133567,0.20018472819942063,0.09236409971066817,0.00023659164264677734,1.0002365916426468,0.023659164264677734,-9.696090329951825e-05,0.6599030390967006,-0.014691045954472463,-1.439601096550679e-05,0.012485603989034495,-0.001439601096550679,-1.4396010965311845e-05,0.012485603989034644,-0.0014396010965311845,-1.4396010965506134e-05,-0.002514396010965505,-0.0014396010965506134,0.005043148356413951,12.965043148356429,0.03891318176245328,-0.003375698228322177,1.0366243017717363,-0.3245863681078834,-9.298521065143062e-05,0.35596762084995465,-0.009298521065143062
