specification,label,source,chi0,omega,sigma_z,rho_z,beta_guess,chi1_guess,solved_beta,solved_chi1,mean_mpc,median_mpc,share_low_liquidity,share_wealthy_htm,low_liquid_mpc,wealthy_htm_mpc,high_liquid_mpc,peak_output_response,peak_consumption_response,peak_inflation_response
project_baseline,Текущая усиленная baseline-калибровка,Проектный full HANK baseline,0.35,0.015,0.88,0.966,0.9726,23.0,0.972632625655981,23.10109603944845,0.10616847305520215,0.08515434219915004,0.5933819694104535,0.3574695597801803,0.15154267159244206,0.16688504553663722,0.030411016976882185,-0.2182728942730371,-0.19570127549983332,-0.04394760726433386
sequence_jacobian_tutorial,Калибровка tutorial two_asset (на reduced grid),sequence-jacobian Tutorial 4 / two_asset.ipynb,0.25,0.005,0.92,0.966,0.976,6.5,0.9738568669995733,5.3877193461886534,0.05568184518993605,0.05504396768505443,0.618736511888405,0.35317695105931085,0.07102758816432908,0.06533455186161122,0.025865416156626044,-0.21913364071551789,-0.1323619368411429,-0.033871282331532956
