scenario,scenario_label,period,grouping,group,group_label,group_mass,mean_consumption,mean_labor_income,mean_financial_income,mean_disposable_income,mean_liquid_assets,mean_illiquid_assets,mean_total_wealth,mean_mpc,aggregate_group_consumption,baseline_group_consumption,aggregate_group_consumption_change,aggregate_group_consumption_contribution_pct,consumption_pct_deviation
baseline,Базовое правило,0,liquid_wealth_quantile,liquid_q1,1-й квантиль ликвидного богатства,0.20117402682121568,0.243369240527479,0.08427306857562367,0.10454870929132241,0.1888217778669461,0.0,9.327044614435746,9.327044614435746,0.18466196669585455,0.04895957012133395,0.04910030394479269,-0.0001407338234587427,-0.025573704970214578,-0.2866251573859517
baseline,Базовое правило,1,liquid_wealth_quantile,liquid_q1,1-й квантиль ликвидного богатства,0.20122205971134988,0.24351197218034534,0.08419960872979772,0.1257624544271086,0.20996206315690633,0.0,9.315978344841433,9.315978344841433,0.18466196669585455,0.04899998060650202,0.04910030394479269,-0.00010032333829067264,-0.018230439506426343,-0.20432325307695448
baseline,Базовое правило,2,liquid_wealth_quantile,liquid_q1,1-й квантиль ликвидного богатства,0.20130080072591586,0.2437739891905737,0.08460000270119516,0.12138832875330899,0.20598833145450415,0.0,9.321029436222485,9.321029436222485,0.18466196669585455,0.04907189922021324,0.04910030394479269,-2.84047245794547e-05,-0.005161616648382549,-0.05785040477833365
baseline,Базовое правило,3,liquid_wealth_quantile,liquid_q1,1-й квантиль ликвидного богатства,0.20135047988246446,0.24391340008747694,0.08481654321447289,0.1190261989170929,0.20384274213156578,0.0,9.32357988372034,9.32357988372034,0.18466196669585455,0.04911208015737703,0.04910030394479269,1.1776212584337087e-05,0.002139936078597714,0.023983991214347678
baseline,Базовое правило,4,liquid_wealth_quantile,liquid_q1,1-й квантиль ликвидного богатства,0.20138027615253382,0.24398622743969,0.0849326870666359,0.1177603848660323,0.2026930719326682,0.0,9.324797697540433,9.324797697540433,0.18466196669585455,0.0491340138592197,0.04910030394479269,3.370991442700616e-05,0.006125658956321639,0.06865520519976587
baseline,Базовое правило,5,liquid_wealth_quantile,liquid_q1,1-й квантиль ликвидного богатства,0.20139630849210477,0.24402324949317633,0.084994345743753,0.11708891192751608,0.20208325767126906,0.0,9.325320772756898,9.325320772756898,0.18466196669585455,0.04914538163417359,0.04910030394479269,4.5077689380897124e-05,0.008191375041437653,0.09180735302897818
baseline,Базовое правило,6,liquid_wealth_quantile,liquid_q1,1-й квантиль ликвидного богатства,0.20140279837713132,0.24404127694678637,0.08502656050434906,0.1167381813636412,0.2017647418679903,0.0,9.325497669880269,9.325497669880269,0.18466196669585455,0.04915059609661128,0.04910030394479269,5.029215181858587e-05,0.009138930651612712,0.10242737371877222
baseline,Базовое правило,7,liquid_wealth_quantile,liquid_q1,1-й квантиль ликвидного богатства,0.20140280078558562,0.24404945782054244,0.08504296302483076,0.11655951629841742,0.2016024793232482,0.0,9.325516378112436,9.325516378112436,0.18466196669585455,0.049152244335260886,0.04910030394479269,5.194039046819282e-05,0.009438443362271853,0.10578425446529507
baseline,Базовое правило,8,liquid_wealth_quantile,liquid_q1,1-й квантиль ликвидного богатства,0.20139851650035429,0.24405279077016417,0.08505094397729823,0.11647249102622133,0.20152343500351957,0.0,9.325480054906897,9.325480054906897,0.18466196669585455,0.04915187000888242,0.04910030394479269,5.156606408972947e-05,0.009370421957536856,0.10502188366839689
baseline,Базовое правило,9,liquid_wealth_quantile,liquid_q1,1-й квантиль ликвидного богатства,0.20139151671365618,0.24405400405057232,0.08505449224748841,0.11643381712157105,0.20148830936905945,0.0,9.325445306757116,9.325445306757116,0.18466196669585455,0.04915040603578555,0.04910030394479269,5.01020909928554e-05,0.009104393399911799,0.10204028685685752
