output,input,response_period,shock_period,value
Y,monetary_policy_shock,1,43,-0.004598593706152373
Y,monetary_policy_shock,1,44,-0.0043867122013229
Y,monetary_policy_shock,1,45,-0.0042093690853953905
Y,monetary_policy_shock,1,46,-0.004064667922518207
Y,monetary_policy_shock,1,47,-0.003950977543348555
Y,monetary_policy_shock,1,48,-0.003866933643966775
Y,monetary_policy_shock,1,49,-0.0038113950083018574
Y,monetary_policy_shock,1,50,-0.0037832834366787497
Y,monetary_policy_shock,1,51,-0.003781149572537929
Y,monetary_policy_shock,1,52,-0.003802126441483512
Y,monetary_policy_shock,1,53,-0.003839561280954909
Y,monetary_policy_shock,1,54,-0.0038778623539585683
Y,monetary_policy_shock,1,55,-0.0038815827284286977
Y,monetary_policy_shock,1,56,-0.0037727443525382943
Y,monetary_policy_shock,1,57,-0.003384435438516476
Y,monetary_policy_shock,1,58,-0.0023669765099334312
Y,monetary_policy_shock,1,59,0.0
Y,monetary_policy_shock,2,0,-0.5171923172823465
Y,monetary_policy_shock,2,1,-0.7683362442876132
Y,monetary_policy_shock,2,2,-1.2154081873732028
Y,monetary_policy_shock,2,3,-0.7637114137509523
Y,monetary_policy_shock,2,4,-0.4222332399555651
Y,monetary_policy_shock,2,5,-0.18214303991804434
Y,monetary_policy_shock,2,6,-0.025749786076169397
Y,monetary_policy_shock,2,7,0.06669797494415793
Y,monetary_policy_shock,2,8,0.11342367751321945
Y,monetary_policy_shock,2,9,0.12956117478662332
Y,monetary_policy_shock,2,10,0.12677489679467296
Y,monetary_policy_shock,2,11,0.11350958838352807
Y,monetary_policy_shock,2,12,0.09551987782801916
Y,monetary_policy_shock,2,13,0.07647202053899596
Y,monetary_policy_shock,2,14,0.05850618276317572
Y,monetary_policy_shock,2,15,0.042709000714501365
Y,monetary_policy_shock,2,16,0.02948270601472618
Y,monetary_policy_shock,2,17,0.018816856361753995
Y,monetary_policy_shock,2,18,0.010477722445306658
Y,monetary_policy_shock,2,19,0.004132986080550656
Y,monetary_policy_shock,2,20,-0.0005714783443124117
Y,monetary_policy_shock,2,21,-0.0039684681749579285
Y,monetary_policy_shock,2,22,-0.006348688602890509
Y,monetary_policy_shock,2,23,-0.007953963173538123
Y,monetary_policy_shock,2,24,-0.008978485854414521
Y,monetary_policy_shock,2,25,-0.00957413983816899
