scenario,scenario_label,period,channel,value
baseline,Базовое правило,33,labor_income,0.013732527393717515
baseline,Базовое правило,33,financial_income,-0.03334860561653199
baseline,Базовое правило,33,disposable_income,0.0008907535855084186
baseline,Базовое правило,34,labor_income,0.013585915960959916
baseline,Базовое правило,34,financial_income,-0.032131061645063644
baseline,Базовое правило,34,disposable_income,0.0011162269778232092
baseline,Базовое правило,35,labor_income,0.013462315158415885
baseline,Базовое правило,35,financial_income,-0.030976300717634384
baseline,Базовое правило,35,disposable_income,0.001341310056301732
baseline,Базовое правило,36,labor_income,0.013361633137308464
baseline,Базовое правило,36,financial_income,-0.02987121902569904
baseline,Базовое правило,36,disposable_income,0.0015695101983674458
baseline,Базовое правило,37,labor_income,0.013284125070487842
baseline,Базовое правило,37,financial_income,-0.028800985834484705
baseline,Базовое правило,37,disposable_income,0.0018050581835976562
baseline,Базовое правило,38,labor_income,0.013230433271241598
baseline,Базовое правило,38,financial_income,-0.02774857870738065
baseline,Базовое правило,38,disposable_income,0.002053064141265182
baseline,Базовое правило,39,labor_income,0.013201613035733993
baseline,Базовое правило,39,financial_income,-0.026694377678800264
baseline,Базовое правило,39,disposable_income,0.0023196470367667153
baseline,Базовое правило,40,labor_income,0.013199126272911988
baseline,Базовое правило,40,financial_income,-0.025615958516793887
baseline,Базовое правило,40,disposable_income,0.0026119864284382213
baseline,Базовое правило,41,labor_income,0.013224774440151153
baseline,Базовое правило,41,financial_income,-0.02448831810889177
baseline,Базовое правило,41,disposable_income,0.002938212219615996
baseline,Базовое правило,42,labor_income,0.01328053036130364
baseline,Базовое правило,42,financial_income,-0.023284897523930294
baseline,Базовое правило,42,disposable_income,0.003307003301101933
baseline,Базовое правило,43,labor_income,0.013368212175668843
baseline,Базовое правило,43,financial_income,-0.021979937472847735
baseline,Базовое правило,43,disposable_income,0.0037267079615276155
baseline,Базовое правило,44,labor_income,0.013488925784656514
baseline,Базовое правило,44,financial_income,-0.02055291289775056
baseline,Базовое правило,44,disposable_income,0.00420372884005093
baseline,Базовое правило,45,labor_income,0.013642184793433704
baseline,Базовое правило,45,financial_income,-0.018996030968684362
baseline,Базовое правило,45,disposable_income,0.004739837769864497
baseline,Базовое правило,46,labor_income,0.013824606040314704
baseline,Базовое правило,46,financial_income,-0.017326014280727303
baseline,Базовое правило,46,disposable_income,0.005328013146915431
baseline,Базовое правило,47,labor_income,0.01402808131356285
baseline,Базовое правило,47,financial_income,-0.015601563856610342
baseline,Базовое правило,47,disposable_income,0.005946347146071451
baseline,Базовое правило,48,labor_income,0.014237356735617154
baseline,Базовое правило,48,financial_income,-0.013947899478269524
baseline,Базовое правило,48,disposable_income,0.006549591767297949
baseline,Базовое правило,49,labor_income,0.014427031051859536
baseline,Базовое правило,49,financial_income,-0.012589430444694174
baseline,Базовое правило,49,disposable_income,0.007058064643135658
baseline,Базовое правило,50,labor_income,0.014558144145742186
baseline,Базовое правило,50,financial_income,-0.011890647934599393
baseline,Базовое правило,50,disposable_income,0.007344014330260443
baseline,Базовое правило,51,labor_income,0.014574811518219176
baseline,Базовое правило,51,financial_income,-0.01240335391173116
baseline,Базовое правило,51,disposable_income,0.007216290682786942
baseline,Базовое правило,52,labor_income,0.014401825070934115
baseline,Базовое правило,52,financial_income,-0.014914793543492559
baseline,Базовое правило,52,disposable_income,0.00640547152128882
baseline,Базовое правило,53,labor_income,0.013944859244973297
baseline,Базовое правило,53,financial_income,-0.020485405657397808
baseline,Базовое правило,53,disposable_income,0.004553715791892094
baseline,Базовое правило,54,labor_income,0.013095971636410887
baseline,Базовое правило,54,financial_income,-0.03045582254782856
baseline,Базовое правило,54,disposable_income,0.0012168545868203866
baseline,Базовое правило,55,labor_income,0.011748543778503269
baseline,Базовое правило,55,financial_income,-0.04638938448035211
baseline,Базовое правило,55,disposable_income,-0.0041090636460181604
baseline,Базовое правило,56,labor_income,0.009827701883982692
baseline,Базовое правило,56,financial_income,-0.06989773871194639
baseline,Базовое правило,56,disposable_income,-0.011918080543771518
baseline,Базовое правило,57,labor_income,0.007344527301708177
baseline,Базовое правило,57,financial_income,-0.10227235400859032
baseline,Базовое правило,57,disposable_income,-0.02255439622339691
baseline,Базовое правило,58,labor_income,0.004484773383780188
baseline,Базовое правило,58,financial_income,-0.14381417061864935
baseline,Базовое правило,58,disposable_income,-0.03596500709329198
baseline,Базовое правило,59,labor_income,0.0017448614584398283
baseline,Базовое правило,59,financial_income,-0.19271903996353562
baseline,Базовое правило,59,disposable_income,-0.05129679825226912
high_phi_pi,Сильная реакция на инфляцию,0,labor_income,-0.7743385812942087
high_phi_pi,Сильная реакция на инфляцию,0,financial_income,-9.4417584119297
high_phi_pi,Сильная реакция на инфляцию,0,disposable_income,-3.1384500172203227
high_phi_pi,Сильная реакция на инфляцию,1,labor_income,-0.8861163322074763
high_phi_pi,Сильная реакция на инфляцию,1,financial_income,7.966335015596417
high_phi_pi,Сильная реакция на инфляцию,1,disposable_income,1.5284640015327897
high_phi_pi,Сильная реакция на инфляцию,2,labor_income,-0.4447126180960545
high_phi_pi,Сильная реакция на инфляцию,2,financial_income,4.074700829389878
high_phi_pi,Сильная реакция на инфляцию,2,disposable_income,0.7879952954072496
high_phi_pi,Сильная реакция на инфляцию,3,labor_income,-0.21420423524163354
high_phi_pi,Сильная реакция на инфляцию,3,financial_income,2.040318534085082
high_phi_pi,Сильная реакция на инфляцию,3,disposable_income,0.4007357544750563
high_phi_pi,Сильная реакция на инфляцию,4,labor_income,-0.09456924034815667
high_phi_pi,Сильная реакция на инфляцию,4,financial_income,0.9821848217493991
high_phi_pi,Сильная реакция на инфляцию,4,disposable_income,0.19912445877177273
high_phi_pi,Сильная реакция на инфляцию,5,labor_income,-0.03304064803273416
high_phi_pi,Сильная реакция на инфляцию,5,financial_income,0.4360110160893943
high_phi_pi,Сильная реакция на инфляцию,5,disposable_income,0.09489712639835363
high_phi_pi,Сильная реакция на инфляцию,6,labor_income,-0.0019131098654245383
high_phi_pi,Сильная реакция на инфляцию,6,financial_income,0.1577375167646132
high_phi_pi,Сильная реакция на инфляцию,6,disposable_income,0.041632937233250414
high_phi_pi,Сильная реакция на инфляцию,7,labor_income,0.013374026936081043
high_phi_pi,Сильная реакция на инфляцию,7,financial_income,0.01909564336338352
high_phi_pi,Сильная реакция на инфляцию,7,disposable_income,0.014934645792922443
high_phi_pi,Сильная реакция на инфляцию,8,labor_income,0.020463150591941506
high_phi_pi,Сильная реакция на инфляцию,8,financial_income,-0.04724194591340006
high_phi_pi,Сильная реакция на инфляцию,8,disposable_income,0.001996017806606153
high_phi_pi,Сильная реакция на инфляцию,9,labor_income,0.023357621150754605
high_phi_pi,Сильная реакция на инфляцию,9,financial_income,-0.07654285883593259
high_phi_pi,Сильная реакция на инфляцию,9,disposable_income,-0.0038910724404079694
high_phi_pi,Сильная реакция на инфляцию,10,labor_income,0.02414755744711447
high_phi_pi,Сильная реакция на инфляцию,10,financial_income,-0.08721522201664719
high_phi_pi,Сильная реакция на инфляцию,10,disposable_income,-0.006227574438865862
high_phi_pi,Сильная реакция на инфляцию,11,labor_income,0.023917949158321822
high_phi_pi,Сильная реакция на инфляцию,11,financial_income,-0.08880770353029616
high_phi_pi,Сильная реакция на инфляцию,11,disposable_income,-0.006828917827556637
high_phi_pi,Сильная реакция на инфляцию,12,labor_income,0.023226562078234505
high_phi_pi,Сильная реакция на инфляцию,12,financial_income,-0.08622122462060805
high_phi_pi,Сильная реакция на инфляцию,12,disposable_income,-0.006626239473731446
high_phi_pi,Сильная реакция на инфляцию,13,labor_income,0.022355469857377668
high_phi_pi,Сильная реакция на инфляцию,13,financial_income,-0.08192679644222285
high_phi_pi,Сильная реакция на инфляцию,13,disposable_income,-0.006088392692326715
high_phi_pi,Сильная реакция на инфляцию,14,labor_income,0.02144340173090778
high_phi_pi,Сильная реакция на инфляцию,14,financial_income,-0.07713312244055351
high_phi_pi,Сильная реакция на инфляцию,14,disposable_income,-0.005444171810159452
high_phi_pi,Сильная реакция на инфляцию,15,labor_income,0.02055529249124896
high_phi_pi,Сильная реакция на инфляцию,15,financial_income,-0.07240047730355853
high_phi_pi,Сильная реакция на инфляцию,15,disposable_income,-0.00479917316303846
high_phi_pi,Сильная реакция на инфляцию,16,labor_income,0.0197187209967116
high_phi_pi,Сильная реакция на инфляцию,16,financial_income,-0.06796238889904933
high_phi_pi,Сильная реакция на инфляцию,16,disposable_income,-0.004197036941592974
high_phi_pi,Сильная реакция на инфляцию,17,labor_income,0.01894288602559761
