label,training_seed,iteration,mean_episode_return,std_episode_return,best_return_so_far,validation_return,best_validation_return,critic_loss,mean_ratio,clip_fraction,mean_log_prob,mean_action_std,mean_entropy,num_steps
macro_core_moderate_gap_rawobs,11,0,-0.004271626819252303,0.0028033155787842872,-0.004271626819252303,-0.0032234928631270565,-0.0032234928631270565,4.765271488003879e-06,1.0008934692439007,0.05,7.388232460725234,0.00015233951839417636,-7.3704603212077995,720.0
macro_core_moderate_gap_rawobs,11,1,-0.003992109151409135,0.0024032607139021045,-0.003992109151409135,-0.005143995148229943,-0.0032234928631270565,5.440697676787255e-07,0.9890549676210606,0.0375,7.264891472941582,0.00015309283805262167,-7.365527502728883,720.0
macro_core_moderate_gap_rawobs,11,2,-0.0034238828248722235,0.00398213987318604,-0.0034238828248722235,-0.001842651855542496,-0.001842651855542496,8.070239817815517e-07,1.018216622804081,0.025,7.3102331506232,0.00015143634029172564,-7.376406684211515,720.0
macro_core_moderate_gap_rawobs,11,3,-0.0037419580201863635,0.002456754561458171,-0.0034238828248722235,-0.004715320643677506,-0.001842651855542496,4.6768208151145e-07,1.0112673413781146,0.0,7.3878082042756335,0.00015115965996153656,-7.378235395807593,720.0
macro_core_moderate_gap_rawobs,11,4,-0.004196050375717844,0.002984867316360673,-0.0034238828248722235,-0.003620317683263262,-0.001842651855542496,5.732662365661494e-07,1.00534894191407,0.0125,7.523108101198434,0.00015035875765223607,-7.383547868586215,720.0
macro_core_moderate_gap_rawobs,11,5,-0.0029998348235600446,0.0012252146084282213,-0.0029998348235600446,-0.002664357918023078,-0.001842651855542496,3.5686586651080246e-07,0.991323992065656,0.05,7.397664463198625,0.00014967674807572073,-7.388094068873441,720.0
macro_core_moderate_gap_rawobs,11,6,-0.00422075752950565,0.004500768064831639,-0.0029998348235600446,-0.0024424695340564003,-0.001842651855542496,1.3855674784288861e-06,0.9932061560759721,0.0,7.567574997361456,0.00014853868643892792,-7.395726585704665,720.0
macro_core_moderate_gap_rawobs,11,7,-0.0041239599600747315,0.003098635586824363,-0.0029998348235600446,-0.0024155253632542812,-0.001842651855542496,4.3070191634225724e-07,0.9924838063764441,0.0625,7.429317975238341,0.00014769104195957937,-7.401449487301383,720.0
macro_core_moderate_gap_rawobs,11,8,-0.0034469811805526453,0.0014484024037478783,-0.0029998348235600446,-0.0038364804250378692,-0.001842651855542496,5.918535668511311e-07,1.0046350952208538,0.0375,7.306067867089896,0.0001462559233591353,-7.411214037866879,720.0
macro_core_moderate_gap_rawobs,11,9,-0.0026699774989266483,0.0011493525450270061,-0.0026699774989266483,-0.0030015420764597112,-0.001842651855542496,4.4647672082859645e-07,1.0087606129739066,0.0125,7.396443468110671,0.00014578888905474307,-7.4144124148465185,720.0
macro_core_moderate_gap_rawobs,11,10,-0.0029638505159172335,0.001776553315729575,-0.0026699774989266483,-0.0028127306082931544,-0.001842651855542496,3.928519733010561e-07,1.009996645015368,0.05,7.461806349070386,0.00014529453315357792,-7.417809079436415,720.0
macro_core_moderate_gap_rawobs,11,11,-0.002584691752048589,0.0013273306284560219,-0.002584691752048589,-0.0024918048113502897,-0.001842651855542496,3.3200624660688053e-07,0.9948777040582779,0.0375,7.3464525506884915,0.00014657821406270408,-7.409012854380988,720.0
macro_core_moderate_gap_rawobs,11,12,-0.0026248219514445246,0.001297947286661992,-0.002584691752048589,-0.0020237889226955427,-0.001842651855542496,3.7053276099780733e-07,1.010018144642401,0.0125,7.473598103894497,0.00014497845829248296,-7.419986856875795,720.0
macro_core_moderate_gap_rawobs,11,13,-0.002726758514338437,0.001256688431388086,-0.002584691752048589,-0.0024207489604671953,-0.001842651855542496,4.612438812892975e-07,1.0008832986471934,0.0625,7.493261884676187,0.00014431300472645891,-7.424587440196115,720.0
macro_core_moderate_gap_rawobs,11,14,-0.002462871931085395,0.0013676228985914781,-0.002462871931085395,-0.002802117161385567,-0.001842651855542496,4.1337508616375056e-07,1.0031793728282832,0.0,7.433859850617043,0.0001441664458806979,-7.425603518520317,720.0
macro_core_moderate_gap_rawobs,11,15,-0.002546932907806389,0.0012675991190420313,-0.002462871931085395,-0.0025265367344397055,-0.001842651855542496,2.3527100555640062e-07,0.9998103373278159,0.0,7.443994424316325,0.00014371714278193652,-7.428724943160438,720.0
macro_core_moderate_gap_rawobs,11,16,-0.003174091037919455,0.002499152734659111,-0.002462871931085395,-0.0014698243033915647,-0.0014698243033915647,8.213358109941565e-07,0.9899961185595455,0.0,7.489472549563777,0.00014497801333253913,-7.419989926025735,720.0
macro_core_moderate_gap_rawobs,11,17,-0.002388034301649762,0.0009256567063312359,-0.002388034301649762,-0.002044361674503375,-0.0014698243033915647,1.7357800771652658e-07,1.0175412256150727,0.0,7.379560950335096,0.00014479952564139422,-7.421221820770574,720.0
macro_core_moderate_gap_rawobs,11,18,-0.0021439639912920103,0.0007137069868665013,-0.0021439639912920103,-0.0025290102229219443,-0.0014698243033915647,2.121068769492006e-07,0.99264522583544,0.125,7.2494306874413015,0.00014467318417179202,-7.422094728463366,720.0
macro_core_moderate_gap_rawobs,11,19,-0.00203338454711151,0.0010472667028011368,-0.00203338454711151,-0.002742427903641104,-0.0014698243033915647,2.141153441910142e-07,1.0052822445118743,0.0125,7.412709693459644,0.00014513542860064346,-7.4189047278873534,720.0
macro_core_moderate_gap_rawobs,11,20,-0.002669985848185719,0.0020539325946895837,-0.00203338454711151,-0.0034296465289407677,-0.0014698243033915647,3.9764552019579597e-07,0.982405656119502,0.0625,7.391723163574683,0.00014523491574105146,-7.418219484740183,720.0
macro_core_moderate_gap_rawobs,11,21,-0.0026896079140605873,0.001472788687648174,-0.00203338454711151,-0.002916295800440197,-0.0014698243033915647,2.6618402808640066e-07,0.9983467540024351,0.0625,7.311680144319757,0.0001458987810424246,-7.413658924012681,720.0
macro_core_moderate_gap_rawobs,11,22,-0.0021255585960789666,0.000800254293169079,-0.00203338454711151,-0.0027700915561338644,-0.0014698243033915647,1.7025424853920954e-07,0.9940875485110123,0.0125,7.523142043361602,0.00014485723868361367,-7.420823328140045,720.0
macro_core_moderate_gap_rawobs,11,23,-0.0025348068096233503,0.0014721820258969444,-0.00203338454711151,-0.0013186950746852933,-0.0013186950746852933,2.5750798332351446e-07,0.9915559572216857,0.0125,7.515154908082751,0.00014357700147462352,-7.429700537833911,720.0
macro_core_moderate_gap_rawobs,11,24,-0.002672884365153064,0.0015957215345411863,-0.00203338454711151,-0.0021471769641999085,-0.0013186950746852933,8.294861063623586e-07,1.0053398261711917,0.0875,7.2325005988674835,0.00014373160176857407,-7.428624340970144,720.0
macro_core_moderate_gap_rawobs,11,25,-0.002407183162325474,0.0016320504218489123,-0.00203338454711151,-0.0030252147604453187,-0.0013186950746852933,6.647535578039819e-07,1.0003850130458836,0.025,7.418993206483745,0.00014324113064304682,-7.432042586313367,720.0
macro_core_moderate_gap_rawobs,11,26,-0.002513103589236766,0.0016759428319485124,-0.00203338454711151,-0.00409662336384442,-0.0013186950746852933,5.728303840578707e-07,0.9683265893113167,0.125,7.405082864194062,0.00014294571389519714,-7.434107089685298,720.0
macro_core_moderate_gap_rawobs,11,27,-0.0018059689736263332,0.0008695023475801064,-0.0018059689736263332,-0.002257646236968249,-0.0013186950746852933,3.179604159122608e-07,0.9908979854111063,0.0125,7.598640264666915,0.00014381642245361867,-7.428034382560696,720.0
macro_core_moderate_gap_rawobs,11,28,-0.0018968454130138632,0.0011526782371388128,-0.0018059689736263332,-0.0012654127789773022,-0.0012654127789773022,2.1667539718806128e-07,1.0039738050567515,0.0,7.413412288867017,0.0001438139042381558,-7.428051892643808,720.0
macro_core_moderate_gap_rawobs,11,29,-0.0024178557808020415,0.0010407143820053125,-0.0018059689736263332,-0.001113162856830878,-0.001113162856830878,2.1109543208433315e-07,1.0036468664781435,0.0,7.480615222550743,0.00014344637831897379,-7.430610729643105,720.0
macro_core_moderate_gap_rawobs,11,30,-0.0022762789836032783,0.0010811541018035833,-0.0018059689736263332,-0.0013786532857874116,-0.001113162856830878,1.9292014935248585e-07,0.9753512959295202,0.025,7.484306081188322,0.00014370091208143961,-7.42883788457271,720.0
macro_core_moderate_gap_rawobs,11,31,-0.002285231698659113,0.0006656625651391984,-0.0018059689736263332,-0.003174454064906164,-0.001113162856830878,2.464236298599314e-07,0.9917012091230243,0.025,7.498537093408464,0.00014211822847312377,-7.439912718692037,720.0
macro_core_moderate_gap_rawobs,11,32,-0.001651282960080416,0.0005415755615664325,-0.001651282960080416,-0.0011951102983005228,-0.001113162856830878,1.2481637601680745e-07,1.001498089142152,0.0125,7.497103155666193,0.00014160660188349965,-7.44351922111578,720.0
macro_core_moderate_gap_rawobs,11,33,-0.002396117904272491,0.0009281869527932933,-0.001651282960080416,-0.0018445622144851203,-0.001113162856830878,1.378428222562325e-07,0.9883530694319536,0.0375,7.350735621299897,0.00014127343394324822,-7.445874764470604,720.0
macro_core_moderate_gap_rawobs,11,34,-0.0019853595582147894,0.00086658204489163,-0.001651282960080416,-0.0014369724907741053,-0.001113162856830878,1.3854075549527357e-07,1.043702404758578,0.0375,7.480190847763126,0.0001415430286394409,-7.4439682645774266,720.0
