variant_name,scenario_name,scenario_label,policy_name,policy_label,training_seed,evaluation_seed,input_mode,include_distributional_state,mean_policy_loss,cumulative_policy_loss,mean_reference_loss,cumulative_reference_loss,mean_excess_loss,cumulative_excess_loss,mean_abs_rate_gap,policy_rate_rmse,policy_instrument_volatility,mean_state_rmse,distribution_state_rmse,regime_accuracy,stress_brier_score,unstable,impact_nominal_rate_pp,impact_inflation_pp,impact_output_gap_pct,impact_low_liquidity_gap_pp,impact_mean_mpc_gap_pp,peak_low_liquidity_gap,peak_mean_mpc_gap,peak_low_liquidity_gap_difference_vs_reference,peak_mean_mpc_gap_difference_vs_reference
macro_core_moderate_gap_rawobs,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",classical_filtered_rule,Classical: normal-only filter + fixed rule,-1,700,raw_observations,1,2.186886896682693e-05,0.0013121321380096158,2.7622337672054473e-05,0.0016573402603232684,-5.7534687052275464e-06,-0.0003452081223136528,0.0006235599649206696,0.0007524519089079645,0.0015220721396449215,0.0005375062678582941,0.0007116407876827193,0.95,0.09733681091804357,0,-0.012625394091895099,-0.023519791633541766,-0.10215643292759186,-0.0054413993025247695,0.1468143378821827,0.0012004982478415486,0.006844117247525621,0.0003334578863303948,0.0014414075158017971
macro_core_moderate_gap_rawobs,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",learning_policy,Learning-based policy,11,700,raw_observations,1,1.4381509880294578e-05,0.0008628905928176747,2.186886896682693e-05,0.0013121321380096158,-7.487359086532349e-06,-0.0004492415451919409,0.0005213184709319651,0.0007010391573970004,0.0008955209283469977,0.0005366381440698846,0.0007088453118988901,0.9166666666666666,0.11935682304064758,0,-0.008491171537675491,-0.023519791633541766,-0.10215643292759186,-0.0054413993025247695,0.1468143378821827,0.001163183698540402,0.0067672553350717896,0.0002873871538204945,0.0014456487923518396
macro_core_moderate_gap_rawobs,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",full_information_rule,Полная информация,-1,700,raw_observations,1,2.7622337672054473e-05,0.0016573402603232684,2.7622337672054473e-05,0.0016573402603232684,0.0,0.0,0.0,0.0,0.0017649642916708654,0.0005383796171350404,0.0007139939036720952,0.9166666666666666,0.1145994949174604,0,-0.009445178238211562,-0.023519791633541766,-0.10215643292759186,-0.0054413993025247695,0.1468143378821827,0.0012480368336593565,0.007149846729724293,0.0,0.0
macro_core_moderate_gap_rawobs,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",classical_filtered_rule,Classical: normal-only filter + fixed rule,-1,701,raw_observations,1,0.00013390596775456512,0.008034358065273908,0.0001256707001206676,0.007540242007240057,8.235267633897569e-06,0.0004941160580338542,0.0009602811070404796,0.001124110611609396,0.004059631948701171,0.001115473261874199,0.0017888156938760391,0.6833333333333333,0.1429703744007614,0,0.025018381669313854,0.042632475409553144,0.2994669405207267,-0.01463410132443654,-0.08149330722347224,0.0072096930363431105,0.014970320661065718,0.0012021744921412534,0.0023382454350417622
macro_core_moderate_gap_rawobs,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",learning_policy,Learning-based policy,11,701,raw_observations,1,4.112360882219247e-05,0.0024674165293315483,0.00013390596775456512,0.008034358065273908,-9.27823589323727e-05,-0.005566941535942361,0.002225296058543334,0.0030717958229481437,0.0018260923982974203,0.0011077969264789284,0.0017778221839064366,0.6833333333333333,0.12668415657759347,0,0.01865184702749517,0.042632475409553144,0.2994669405207267,-0.01463410132443654,-0.08149330722347224,0.004276464241196303,0.011468863723711049,0.003427084120741851,0.0063613415251947605
macro_core_moderate_gap_rawobs,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",full_information_rule,Полная информация,-1,701,raw_observations,1,0.0001256707001206676,0.007540242007240057,0.0001256707001206676,0.007540242007240057,0.0,0.0,0.0,0.0,0.003878640198404836,0.0011155537644684764,0.0017851195879803716,0.5833333333333334,0.18706770517498397,0,0.03556025842642712,0.042632475409553144,0.2994669405207267,-0.01463410132443654,-0.08149330722347224,0.006494822962916356,0.01614653351454981,0.0,0.0
macro_core_moderate_gap_rawobs,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",classical_filtered_rule,Classical: normal-only filter + fixed rule,-1,702,raw_observations,1,0.00013270942973782208,0.007962565784269324,0.00011870340104918295,0.007122204062950977,1.4006028688639146e-05,0.0008403617213183488,0.0005183573471278368,0.0006139257121069518,0.0027526595404046774,0.0007788352600949721,0.0011621496926715656,0.9166666666666666,0.11876316811761721,0,-0.012124733412553702,-0.007919021502653865,-0.09179416226890942,0.0014947714296663088,0.04718515918793991,0.005365712659017151,0.012074501374065148,0.0009340110419258181,0.0018443302082234896
macro_core_moderate_gap_rawobs,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",learning_policy,Learning-based policy,11,702,raw_observations,1,3.020606220682244e-05,0.0018123637324093463,0.00013270942973782208,0.007962565784269324,-0.00010250336753099964,-0.0061502020518599786,0.0025466019609361326,0.0032522137832703226,0.0009560577742033897,0.0007612067893513811,0.0011232975535568758,0.7166666666666667,0.23120978460566607,0,-0.007949459964000071,-0.007919021502653865,-0.09179416226890942,0.0014947714296663088,0.04718515918793991,0.0024048116009517456,0.007423202658576002,0.0035880862757132746,0.006730605904715229
macro_core_moderate_gap_rawobs,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",full_information_rule,Полная информация,-1,702,raw_observations,1,0.00011870340104918295,0.007122204062950977,0.00011870340104918295,0.007122204062950977,0.0,0.0,0.0,0.0,0.002320003853292978,0.0007730633856856303,0.001150551682430237,0.9166666666666666,0.1107714577527599,0,-0.008396805683452434,-0.007919021502653865,-0.09179416226890942,0.0014947714296663088,0.04718515918793991,0.004966023738178382,0.01133549266170389,0.0,0.0
macro_core_moderate_gap_rawobs,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",classical_filtered_rule,Classical: normal-only filter + fixed rule,-1,703,raw_observations,1,6.839659758437712e-05,0.004103795855062628,3.392239089827016e-05,0.0020353434538962095,3.447420668610698e-05,0.002068452401166419,0.002631234221994821,0.003455581715012067,0.0030095468259952103,0.0010340703683546836,0.0017568719965499668,0.55,0.32554676289637957,0,0.011681442192732852,-0.0007570773888424353,0.18228575133415484,0.004526077367278449,0.08901540660133997,0.005676282050687379,0.013312172113150743,0.004390690688560786,0.00816181071623795
