код группы,группа,отклик при ударе,минимум отклика потребления,период минимума,максимум отклика потребления,период максимума,интегральный отклик потребления,пик отклика дохода,изменение ликвидного богатства к периоду минимума
low_liquid,Низкая ликвидность,-0.2583531860455096,-0.2583531860455096,0,0.2180644723556168,4,3.3398222932442834,8.250318959177383,0.0
wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),-0.24224285452971112,-0.24224285452971112,0,0.14586718508872723,4,2.519238311631137,9.694967509619733,0.0
high_liquid,Высоколиквидные,-0.1173012721965528,-0.6857611406019465,4,0.02251145597818726,57,-9.713819548995772,2.3478709344647353,0.002738608826904354
mpc_low,Низкая MPC,-0.13045240833163704,-0.21218692778993456,4,0.0036039783803636163,57,-3.86128625783751,2.7651286470355974,-0.0026123967563238537
mpc_mid,Средняя MPC,-0.2540230363077203,-0.2540230363077203,0,0.15333636621522068,6,2.353207545117822,5.1323214893410185,0.0
mpc_high,Высокая MPC,-0.24770228946237274,-0.26274880171064807,1,0.13502437265194053,6,2.6313551439976197,11.14060008016513,-6.164946195205592e-06
