scenario,scenario_label,solved_beta,solved_chi1,mean_mpc,median_mpc,share_mpc_above_0_2,share_low_liquidity,share_wealthy_htm,peak_output_response,peak_consumption_response,peak_inflation_response,peak_low_liquid_consumption,peak_wealthy_htm_consumption,peak_high_liquid_consumption,peak_redistribution_channel
baseline,Базовая калибровка,0.972632625655981,23.10109603944845,0.10616847305520215,0.08515434219915004,0.06539822808100489,0.5933819694104535,0.3574695597801803,-0.2182728942730371,-0.19570127549983332,-0.04394760726433386,-0.2583531860455096,-0.24224285452971112,-0.6857611406019465,0.0001274123200131656
lower_chi0,Меньший сдвиг в ребалансировочных издержках,0.9725940852243932,22.820994489977505,0.10625947377408376,0.0854137587224373,0.0652081078246407,0.5936358789851317,0.35933601568703577,-0.21841166977905757,-0.19582395243461204,-0.04395016616524181,-0.2581811524139192,-0.2418250375850069,-0.618164830400252,0.00011359234634663152
high_omega,Ещё больший клин liquid-rate,0.9716599938909969,28.01627951353213,0.11590097097842122,0.09334474270181739,0.20202532031506376,0.5933640102267471,0.363555302560712,-0.21906912564999023,-0.21399640802043524,-0.04749968860293329,-0.2974935252205485,-0.28521905963428007,-0.6999128069075226,0.00013433012819957836
high_sigma_z,Более высокий доходный риск,0.9720187770836268,21.208960305449395,0.10370973858497987,0.08428677947539406,0.0541835300254184,0.5975328307939456,0.3554370326635595,-0.2167956448338144,-0.18744680671771208,-0.0431839242511744,-0.24105153653385597,-0.2243003937761885,-0.5706332316871485,0.00014011298039143938
stronger_household_combo,Комбинация более жёсткого household block,0.9716180151560091,22.971168190865953,0.10848201960688243,0.08715317207465804,0.09158760881297555,0.5977126291111876,0.3594458904969131,-0.21711467617825503,-0.19518218429616005,-0.04455465681502014,-0.25670173891632714,-0.24128528318405812,-0.728613535600645,0.00011233990399206868
